map,symmetry_max_abs,diagonal_max_abs_error,minimum,maximum,offdiagonal_mean,offdiagonal_std,minimum_eigenvalue,negative_eigenvalue_count
custom_water_domain_r1_robust,0.0,0.0,6.208764990814787e-08,1.0,0.16220645823592603,0.1791822771121641,0.003775823961883318,0
custom_water_domain_r2_reupload_robust,0.0,0.0,3.044903161868469e-06,1.0,0.0751623799799402,0.10948868478252641,0.029569380802962925,0
pauli_xz_xxzz_linear_r1_robust,0.0,0.0,0.0008654376304118581,1.0,0.29542751970787534,0.1923459961486594,0.0012299180102186634,0
pauli_z_zz_linear_r1_robust,0.0,0.0,1.9425411478584017e-06,1.0,0.11902035551095476,0.1491805743454595,0.008809462661388783,0
pauli_z_zz_ring_r1_minmax,0.0,0.0,2.6295941645618156e-06,1.0,0.2047725412430268,0.19375600415701127,0.0015415937679782085,0
pauli_z_zz_ring_r1_robust,0.0,0.0,3.873863546061037e-06,1.0,0.12130429560115569,0.14542504899811529,0.009602231069153809,0
zz_full_r1_robust,0.0,0.0,0.00020499469083516198,1.0,0.16018427120787687,0.12993337627669171,0.019044380759342016,0
zz_linear_r1_robust,0.0,0.0,1.9425411478584017e-06,1.0,0.11902035551095476,0.1491805743454595,0.008809462661388783,0
zz_ring_r1_robust,0.0,0.0,3.873863546061037e-06,1.0,0.12130429560115569,0.14542504899811529,0.009602231069153809,0
zz_ring_r2_robust,0.0,0.0,6.590121425101018e-07,1.0,0.04798241268505008,0.06942810727264093,0.12347782622174369,0
