map,family,C,scaling,reps,topology,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,custom_water_domain,10.0,robust_atan,1,domain,0.625,0.1530931089239486,0.625,0.1530931089239486,0.6288888888888888,0.1563488034802641,0.625,0.1767766952966369,0.625,0.1767766952966369,0.6230065359477124,0.1537812801702613,0.2544653451025553,0.3111864601088462
zz_ring_r2_robust,ZZFeatureMap,0.1,robust_atan,2,ring,0.625,0.1593443597997745,0.625,0.1593443597997745,0.6088888888888888,0.1546401637573938,0.625,0.2651650429449553,0.625,0.1530931089239486,0.6071967248437836,0.2058803014544681,0.2539394970195093,0.3263105145440234
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,robust_atan,2,domain,0.6,0.1296027584582982,0.6,0.1296027584582982,0.5898412698412698,0.1139136359375247,0.625,0.1976423537605237,0.575,0.1425219281373922,0.601531279178338,0.1501712576337182,0.2028255671531231,0.261569314862308
pauli_z_zz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.5875,0.1438858054152667,0.5875,0.1438858054152667,0.5888888888888888,0.1375101636226257,0.575,0.1895718861012887,0.6,0.1629800601300662,0.5767693744164332,0.1537068376129442,0.1776279356191746,0.290465005498273
zz_linear_r1_robust,ZZFeatureMap,1.0,robust_atan,1,linear,0.5875,0.1438858054152667,0.5875,0.1438858054152667,0.5888888888888888,0.1375101636226257,0.575,0.1895718861012887,0.6,0.1629800601300662,0.5767693744164332,0.1537068376129442,0.1776279356191746,0.290465005498273
pauli_z_zz_ring_r1_robust,PauliFeatureMap,1.0,robust_atan,1,ring,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_ring_r1_robust,ZZFeatureMap,1.0,robust_atan,1,ring,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_full_r1_robust,ZZFeatureMap,1.0,robust_atan,1,full,0.5625,0.1530931089239486,0.5625,0.1530931089239486,0.5457142857142856,0.1377525509967871,0.6,0.2236067977499789,0.525,0.1045825033167594,0.5688888888888888,0.1749713380408416,0.1297217023143481,0.3122770200277661
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.55,0.1202211503854459,0.55,0.1202211503854459,0.5551948051948052,0.11665743002092,0.575,0.1425219281373922,0.525,0.2053959590644373,0.5587552213868003,0.1175066085961633,0.0982296370354187,0.2428011151613
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,minmax,1,ring,0.5125,0.1843485150469078,0.5125,0.1843485150469078,0.4857142857142857,0.1960694970397949,0.525,0.2850438562747845,0.5,0.2338535866733713,0.4956862745098038,0.2415961596227947,0.0105181038318172,0.3855790913343885
