map,family,C,scaling,reps,topology,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,custom_water_domain,0.1,robust_atan,1,domain,0.525,0.1296027584582982,0.525,0.1296027584582982,0.5079365079365079,0.0944077559791295,0.5,0.2931509849889643,0.55,0.1425219281373922,0.4864985994397758,0.1822316049782394,0.0650747907700282,0.2932173780280384
custom_water_domain_r1_robust,custom_water_domain,1.0,robust_atan,1,domain,0.5625,0.0988211768802618,0.5625,0.0988211768802618,0.5694949494949494,0.0939567704141781,0.6,0.2053959590644373,0.525,0.2236067977499789,0.5680794747048618,0.1122124002787841,0.1343141244096025,0.2086602766929258
custom_water_domain_r1_robust,custom_water_domain,10.0,robust_atan,1,domain,0.625,0.1530931089239486,0.625,0.1530931089239486,0.6288888888888888,0.1563488034802641,0.625,0.1767766952966369,0.625,0.1767766952966369,0.6230065359477124,0.1537812801702613,0.2544653451025553,0.3111864601088462
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,robust_atan,2,domain,0.5625,0.1169267933366856,0.5625,0.1169267933366856,0.5502991452991453,0.1195332452805465,0.575,0.273861278752583,0.55,0.1677050983124842,0.5473227752639517,0.1702727372886866,0.1455510442000063,0.2683585284429071
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,robust_atan,2,domain,0.6,0.1296027584582982,0.6,0.1296027584582982,0.5898412698412698,0.1139136359375247,0.625,0.1976423537605237,0.575,0.1425219281373922,0.601531279178338,0.1501712576337182,0.2028255671531231,0.261569314862308
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,robust_atan,2,domain,0.625,0.1767766952966369,0.625,0.1767766952966369,0.6333333333333333,0.2173067468400883,0.575,0.3010398644698074,0.675,0.2091650066335189,0.5838095238095238,0.2320078972774266,0.2703893876862218,0.3767562967180122
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.5,0.1169267933366856,0.5,0.1169267933366856,0.4837912087912087,0.0904530620287826,0.55,0.273861278752583,0.45,0.1118033988749894,0.5042063492063492,0.1599367828311972,0.0208792607491037,0.2770209960432157
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.5375,0.1688657010763287,0.5375,0.1688657010763287,0.5266666666666666,0.1554761702196604,0.525,0.2404423007708918,0.55,0.1895718861012887,0.5184945773181067,0.1974317664055674,0.0725780167557289,0.3432233438178131
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.55,0.1202211503854459,0.55,0.1202211503854459,0.5551948051948052,0.11665743002092,0.575,0.1425219281373922,0.525,0.2053959590644373,0.5587552213868003,0.1175066085961633,0.0982296370354187,0.2428011151613
pauli_z_zz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.525,0.1296027584582982,0.525,0.1296027584582982,0.4888888888888889,0.1204415743815488,0.475,0.3235544776386196,0.575,0.1425219281373922,0.4619098548510313,0.2208248781104086,0.0582467915429592,0.2991170052095543
pauli_z_zz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.5875,0.1438858054152667,0.5875,0.1438858054152667,0.5888888888888888,0.1375101636226257,0.575,0.1895718861012887,0.6,0.1629800601300662,0.5767693744164332,0.1537068376129442,0.1776279356191746,0.290465005498273
pauli_z_zz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.55,0.0814900300650331,0.55,0.0814900300650331,0.5614718614718615,0.1046777952937999,0.5,0.1530931089239486,0.6,0.1629800601300662,0.5206015037593984,0.1006193719591544,0.1050499188634456,0.1674893579619947
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,minmax,1,ring,0.5375,0.1568737549751391,0.5375,0.1568737549751391,0.4623376623376624,0.3051740805342431,0.475,0.2850438562747845,0.6,0.270993542358485,0.4652631578947367,0.289248716409595,0.0473803852217804,0.3429465618558743
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,minmax,1,ring,0.5125,0.1843485150469078,0.5125,0.1843485150469078,0.4857142857142857,0.1960694970397949,0.525,0.2850438562747845,0.5,0.2338535866733713,0.4956862745098038,0.2415961596227947,0.0105181038318172,0.3855790913343885
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,minmax,1,ring,0.45,0.0814900300650331,0.45,0.0814900300650331,0.4539743589743589,0.105226267585024,0.45,0.1895718861012887,0.45,0.2270737765573118,0.4387362637362638,0.1110838323059779,-0.1066974142119199,0.170343637606428
pauli_z_zz_ring_r1_robust,PauliFeatureMap,0.1,robust_atan,1,ring,0.5625,0.1082531754730548,0.5625,0.1082531754730548,0.5444444444444445,0.0724355822800294,0.525,0.298433409657833,0.6,0.1045825033167594,0.5157422969187675,0.1833904488905197,0.1406676853718736,0.2501346440754194
pauli_z_zz_ring_r1_robust,PauliFeatureMap,1.0,robust_atan,1,ring,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
pauli_z_zz_ring_r1_robust,PauliFeatureMap,10.0,robust_atan,1,ring,0.55,0.1026979795322186,0.55,0.1026979795322186,0.5535714285714286,0.1143415042398723,0.5,0.125,0.6,0.1045825033167594,0.524047619047619,0.1179124449377664,0.1003952630678969,0.2066604186206187
zz_full_r1_robust,ZZFeatureMap,0.1,robust_atan,1,full,0.55,0.1789727632909544,0.55,0.1789727632909544,0.5311111111111111,0.1871387508468812,0.525,0.270993542358485,0.575,0.1425219281373922,0.5214077425842131,0.2246435924333035,0.1015091929342832,0.3656894875385874
zz_full_r1_robust,ZZFeatureMap,1.0,robust_atan,1,full,0.5625,0.1530931089239486,0.5625,0.1530931089239486,0.5457142857142856,0.1377525509967871,0.6,0.2236067977499789,0.525,0.1045825033167594,0.5688888888888888,0.1749713380408416,0.1297217023143481,0.3122770200277661
zz_full_r1_robust,ZZFeatureMap,10.0,robust_atan,1,full,0.525,0.1296027584582982,0.525,0.1296027584582982,0.5067460317460317,0.1781167049847044,0.475,0.2053959590644373,0.575,0.1425219281373922,0.4857843137254901,0.1964487923803088,0.0426602361489343,0.2717830078031359
zz_linear_r1_robust,ZZFeatureMap,0.1,robust_atan,1,linear,0.525,0.1296027584582982,0.525,0.1296027584582982,0.4888888888888889,0.1204415743815488,0.475,0.3235544776386196,0.575,0.1425219281373922,0.4619098548510313,0.2208248781104086,0.0582467915429592,0.2991170052095543
zz_linear_r1_robust,ZZFeatureMap,1.0,robust_atan,1,linear,0.5875,0.1438858054152667,0.5875,0.1438858054152667,0.5888888888888888,0.1375101636226257,0.575,0.1895718861012887,0.6,0.1629800601300662,0.5767693744164332,0.1537068376129442,0.1776279356191746,0.290465005498273
zz_linear_r1_robust,ZZFeatureMap,10.0,robust_atan,1,linear,0.55,0.0814900300650331,0.55,0.0814900300650331,0.5614718614718615,0.1046777952937999,0.5,0.1530931089239486,0.6,0.1629800601300662,0.5206015037593984,0.1006193719591544,0.1050499188634456,0.1674893579619947
zz_ring_r1_robust,ZZFeatureMap,0.1,robust_atan,1,ring,0.5625,0.1082531754730548,0.5625,0.1082531754730548,0.5444444444444445,0.0724355822800294,0.525,0.298433409657833,0.6,0.1045825033167594,0.5157422969187675,0.1833904488905197,0.1406676853718736,0.2501346440754194
zz_ring_r1_robust,ZZFeatureMap,1.0,robust_atan,1,ring,0.5875,0.1296027584582982,0.5875,0.1296027584582982,0.578932178932179,0.115300917159252,0.575,0.2270737765573118,0.6,0.1369306393762915,0.5691169099218635,0.1653887512993458,0.1781537837022205,0.2608574216133896
zz_ring_r1_robust,ZZFeatureMap,10.0,robust_atan,1,ring,0.55,0.1026979795322186,0.55,0.1026979795322186,0.5535714285714286,0.1143415042398723,0.5,0.125,0.6,0.1045825033167594,0.524047619047619,0.1179124449377664,0.1003952630678969,0.2066604186206187
zz_ring_r2_robust,ZZFeatureMap,0.1,robust_atan,2,ring,0.625,0.1593443597997745,0.625,0.1593443597997745,0.6088888888888888,0.1546401637573938,0.625,0.2651650429449553,0.625,0.1530931089239486,0.6071967248437836,0.2058803014544681,0.2539394970195093,0.3263105145440234
zz_ring_r2_robust,ZZFeatureMap,1.0,robust_atan,2,ring,0.6125,0.2044428404224515,0.6125,0.2044428404224515,0.6136324786324787,0.2292602811203438,0.625,0.3061862178478972,0.6,0.2561737691489899,0.6017183796595561,0.2332289589775842,0.2501434662952606,0.4262002194668123
zz_ring_r2_robust,ZZFeatureMap,10.0,robust_atan,2,ring,0.5875,0.2146945504664708,0.5875,0.2146945504664708,0.6147435897435898,0.2754024011827998,0.55,0.3137475099502783,0.625,0.2931509849889643,0.555952380952381,0.2459853386852,0.2070914751008793,0.4552018331114068
