map,C,noise_level,kernel_mae,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,10.0,0.01,0.0014013137732031,0.65,0.121834929310112,0.65,0.121834929310112,0.649090909090909,0.1310350352725627,0.675,0.1677050983124842,0.625,0.1767766952966369,0.655204678362573,0.1286985572100709,0.3066309711350335,0.2466308735356568
custom_water_domain_r1_robust,10.0,0.03,0.0042039413196095,0.65,0.1505199322349037,0.65,0.1505199322349037,0.6503607503607503,0.1571924731888348,0.65,0.2053959590644373,0.65,0.1854049621773915,0.6434026242075778,0.1698351321478694,0.3041419413719629,0.302156426871122
custom_water_domain_r1_robust,10.0,0.05,0.0070065688660159,0.6125,0.1354967711792425,0.6125,0.1354967711792425,0.6200432900432901,0.1722841477094089,0.575,0.2091650066335189,0.65,0.1854049621773915,0.5873780605359553,0.1772358027136562,0.2284771874328129,0.277441071678868
zz_ring_r2_robust,0.1,0.01,0.0003812253646596,0.6375,0.1946551437799679,0.6375,0.1946551437799679,0.6276767676767677,0.2031528852520837,0.65,0.298433409657833,0.625,0.1976423537605237,0.6244578263154115,0.2272536772358393,0.2900923357085476,0.4064806469838625
zz_ring_r2_robust,0.1,0.03,0.0011436760939788,0.6375,0.1946551437799679,0.6375,0.1946551437799679,0.6276767676767677,0.2031528852520837,0.65,0.298433409657833,0.625,0.1976423537605237,0.6244578263154115,0.2272536772358393,0.2900923357085476,0.4064806469838625
zz_ring_r2_robust,0.1,0.05,0.001906126823298,0.6375,0.1946551437799679,0.6375,0.1946551437799679,0.6276767676767677,0.2031528852520837,0.65,0.298433409657833,0.625,0.1976423537605237,0.6244578263154115,0.2272536772358393,0.2900923357085476,0.4064806469838625
custom_water_domain_r2_reupload_robust,1.0,0.01,0.0006234068119731,0.5875,0.1745530005471117,0.5875,0.1745530005471117,0.575,0.1820027472320129,0.575,0.2592055169165965,0.6,0.1854049621773915,0.5666971916971917,0.2187069443150131,0.1746717834509025,0.3517091572517305
custom_water_domain_r2_reupload_robust,1.0,0.03,0.0018702204359193,0.5875,0.1745530005471117,0.5875,0.1745530005471117,0.575,0.1820027472320129,0.575,0.2592055169165965,0.6,0.1854049621773915,0.5666971916971917,0.2187069443150131,0.1746717834509025,0.3517091572517305
custom_water_domain_r2_reupload_robust,1.0,0.05,0.0031170340598655,0.5875,0.1745530005471117,0.5875,0.1745530005471117,0.575,0.1820027472320129,0.575,0.2592055169165965,0.6,0.1854049621773915,0.5666971916971917,0.2187069443150131,0.1746717834509025,0.3517091572517305
pauli_z_zz_linear_r1_robust,1.0,0.01,0.0009935372344153,0.575,0.1492167048289165,0.575,0.1492167048289165,0.5746031746031746,0.1433633008451832,0.575,0.1895718861012887,0.575,0.1677050983124842,0.5701027077497665,0.1567544199352793,0.1524303040852261,0.3013262730610736
pauli_z_zz_linear_r1_robust,1.0,0.03,0.0029806117032461,0.575,0.1492167048289165,0.575,0.1492167048289165,0.5746031746031746,0.1433633008451832,0.575,0.1895718861012887,0.575,0.1677050983124842,0.5701027077497665,0.1567544199352793,0.1524303040852261,0.3013262730610736
pauli_z_zz_linear_r1_robust,1.0,0.05,0.0049676861720769,0.575,0.1492167048289165,0.575,0.1492167048289165,0.5746031746031746,0.1433633008451832,0.575,0.1895718861012887,0.575,0.1677050983124842,0.5701027077497665,0.1567544199352793,0.1524303040852261,0.3013262730610736
zz_linear_r1_robust,1.0,0.01,0.0009935372344153,0.575,0.1492167048289165,0.575,0.1492167048289165,0.5746031746031746,0.1433633008451832,0.575,0.1895718861012887,0.575,0.1677050983124842,0.5701027077497665,0.1567544199352793,0.1524303040852261,0.3013262730610736
