map,result_kind,C,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,exact,10.0,0.625,0.14657549249448218,0.625,0.14657549249448218,0.6257142857142857,0.15299726554846044,0.65,0.16298006013006622,0.6,0.18540496217739158,0.6333333333333333,0.14358719981466764,0.2544653451025553,0.29816187720526344
zz_ring_r2_robust,exact,10.0,0.625,0.22534695471649932,0.625,0.22534695471649932,0.646965811965812,0.2569193841396023,0.65,0.270993542358485,0.6,0.3112474899497183,0.6312421891833656,0.22363641382192542,0.2781666649823322,0.46467002284401315
pauli_xz_xxzz_linear_r1_robust,exact,10.0,0.6,0.16298006013006622,0.6,0.16298006013006622,0.6,0.16298006013006622,0.625,0.1767766952966369,0.575,0.2091650066335189,0.6079365079365079,0.1652826606111937,0.2,0.32596012026013244
pauli_z_zz_linear_r1_robust,exact,10.0,0.5875,0.09478594305064438,0.5875,0.09478594305064438,0.598015873015873,0.1112138130795932,0.55,0.11180339887498948,0.625,0.125,0.570266106442577,0.10198487283555115,0.17723267255127767,0.19151549556856962
zz_linear_r1_robust,exact,10.0,0.5875,0.09478594305064438,0.5875,0.09478594305064438,0.598015873015873,0.1112138130795932,0.55,0.11180339887498948,0.625,0.125,0.570266106442577,0.10198487283555115,0.17723267255127767,0.19151549556856962
pauli_z_zz_ring_r1_robust,exact,1.0,0.5875,0.12960275845829825,0.5875,0.12960275845829825,0.578932178932179,0.11530091715925204,0.575,0.22707377655731187,0.6,0.13693063937629152,0.5691169099218635,0.16538875129934588,0.17815378370222057,0.26085742161338965
zz_ring_r1_robust,exact,1.0,0.5875,0.12960275845829825,0.5875,0.12960275845829825,0.578932178932179,0.11530091715925204,0.575,0.22707377655731187,0.6,0.13693063937629152,0.5691169099218635,0.16538875129934588,0.17815378370222057,0.26085742161338965
custom_water_domain_r2_reupload_robust,exact,1.0,0.5875,0.17455300054711176,0.5875,0.17455300054711176,0.575,0.18200274723201293,0.575,0.2592055169165965,0.6,0.18540496217739158,0.5666971916971917,0.21870694431501317,0.17467178345090253,0.3517091572517305
pauli_z_zz_ring_r1_minmax,exact,1.0,0.525,0.15687375497513917,0.525,0.15687375497513917,0.5279365079365079,0.14468125538180865,0.6,0.16298006013006622,0.45,0.2270737765573119,0.5574509803921568,0.14546456092532642,0.043509487962572674,0.32491562521376427
zz_full_r1_robust,exact,1.0,0.55,0.14921670482891652,0.55,0.14921670482891652,0.5284920634920636,0.1479292482379768,0.55,0.24366985862022408,0.55,0.06846531968814577,0.5353454715219421,0.1938058413184345,0.10163977794943221,0.3065640808914653
