map,C,shots,repeats,kernel_mae_mean,kernel_mae_std,f1_mean,f1_std_across_repeats,balanced_accuracy_mean,accuracy_mean
custom_water_domain_r1_robust,10.0,256,20,0.0099209781639349,0.0001479600633703,0.5393702274677508,0.0664000454181717,0.55125,0.55125
custom_water_domain_r1_robust,10.0,1024,20,0.0049912363744425,8.120373115598438e-05,0.5581868812302249,0.0463851318997089,0.5850000000000001,0.5850000000000001
custom_water_domain_r1_robust,10.0,4096,20,0.0024862772169074,2.725123438801181e-05,0.5919097479747635,0.0364764602398794,0.604375,0.604375
zz_ring_r2_robust,0.1,256,20,0.0060137361239709,8.75961650579472e-05,0.5941643907348243,0.0221348242670071,0.6075000000000002,0.6075000000000002
zz_ring_r2_robust,0.1,1024,20,0.0030081548254902,4.786869711795146e-05,0.5957074870434004,0.0143517675435286,0.6137499999999999,0.6137499999999999
zz_ring_r2_robust,0.1,4096,20,0.0015029749489747,2.7751758319113225e-05,0.610860243557612,0.0152133932079734,0.625,0.625
custom_water_domain_r2_reupload_robust,1.0,256,20,0.0070401715462212,0.0001171022626188,0.5884321408725433,0.027410339523128,0.6012500000000001,0.6012500000000001
custom_water_domain_r2_reupload_robust,1.0,1024,20,0.0035473863705183,5.183229575794316e-05,0.5824073787409699,0.0203067753250595,0.596875,0.596875
custom_water_domain_r2_reupload_robust,1.0,4096,20,0.0017593291346615,2.7898695314165744e-05,0.5792551249919671,0.0164936650449193,0.5956250000000001,0.5956250000000001
pauli_z_zz_linear_r1_robust,1.0,256,20,0.008738256353086,8.88878902901348e-05,0.5588994819250236,0.0276336424569096,0.5662499999999999,0.5662499999999999
pauli_z_zz_linear_r1_robust,1.0,1024,20,0.0043506130493503,9.937760145231438e-05,0.5567463851937536,0.0156969430594339,0.56375,0.56375
pauli_z_zz_linear_r1_robust,1.0,4096,20,0.002180465210176,3.176586564542455e-05,0.5616269482151834,0.0105720902777443,0.5706249999999999,0.5706249999999999
zz_linear_r1_robust,1.0,256,20,0.008785655755502,0.0001577349018525,0.5549840523253835,0.0217295003527499,0.5575000000000001,0.5575000000000001
zz_linear_r1_robust,1.0,1024,20,0.0043762981786017,5.091625191818013e-05,0.5561739454216235,0.0151149035404733,0.56625,0.56625
zz_linear_r1_robust,1.0,4096,20,0.0021942180121342,2.57721530730365e-05,0.5657242153271564,0.0115655373472144,0.5737499999999999,0.5737499999999999
pauli_z_zz_ring_r1_robust,1.0,256,20,0.0091082687134811,0.0001667506164332,0.571140768588137,0.0249881379286368,0.5856250000000001,0.5856250000000001
pauli_z_zz_ring_r1_robust,1.0,1024,20,0.0045549371598847,5.307930278393511e-05,0.5709782081523567,0.0147946000983302,0.585,0.585
pauli_z_zz_ring_r1_robust,1.0,4096,20,0.002270593961748,3.168311204809339e-05,0.5703995556387197,0.0093578628468071,0.5875000000000001,0.5875000000000001
zz_ring_r1_robust,1.0,256,20,0.0090643098232489,0.0001643207403065,0.5784785984569266,0.0203289834856104,0.5868749999999999,0.5868749999999999
zz_ring_r1_robust,1.0,1024,20,0.0045489189817685,6.467045346328159e-05,0.5670035458177872,0.0164288962204365,0.5824999999999999,0.5824999999999999
zz_ring_r1_robust,1.0,4096,20,0.0022637564036163,3.70524003436692e-05,0.5635546605956823,0.0162482348913102,0.581875,0.581875
zz_full_r1_robust,1.0,256,20,0.0113539200360638,0.0001719722740198,0.5428938271910408,0.0283643796247088,0.5599999999999999,0.5599999999999999
zz_full_r1_robust,1.0,1024,20,0.0056872313336055,0.0001163709770455,0.5421193160125048,0.0175122501241624,0.5543750000000001,0.5543750000000001
zz_full_r1_robust,1.0,4096,20,0.0028672506407613,3.869241411103487e-05,0.5394246031746033,0.0106856855327352,0.5531250000000002,0.5531250000000002
pauli_xz_xxzz_linear_r1_robust,10.0,256,20,0.0140652985815132,0.000147630922697,0.491556224649104,0.0651242389486224,0.5025,0.5025
pauli_xz_xxzz_linear_r1_robust,10.0,1024,20,0.0069951841528903,7.812959469803555e-05,0.5392093760212956,0.043217164110524,0.5331250000000001,0.5331250000000001
pauli_xz_xxzz_linear_r1_robust,10.0,4096,20,0.0034999857488867,3.828889932032956e-05,0.5773694953996811,0.0386100589029106,0.565625,0.565625
pauli_z_zz_ring_r1_minmax,1.0,256,20,0.0114465910125251,0.0001966077782067,0.54015075816856,0.0341433880058616,0.5187499999999999,0.5187499999999999
pauli_z_zz_ring_r1_minmax,1.0,1024,20,0.0057466428232146,8.650382636820567e-05,0.5521449485327194,0.0215274403047148,0.5268750000000001,0.5268750000000001
pauli_z_zz_ring_r1_minmax,1.0,4096,20,0.0028427532826431,3.184303057596912e-05,0.5617316651356898,0.0148169819891166,0.5293749999999999,0.5293749999999999
