i,j,Sample_ID_i,Sample_ID_j,Off_diagonal,Gates_total,Gates_2Q,Gates_1Q,Depth
0,0,W_021,W_021,False,4,0,4,1
0,1,W_021,W_060,True,22,5,17,11
0,2,W_021,W_040,True,22,5,17,11
0,3,W_021,W_075,True,21,5,16,11
0,4,W_021,W_050,True,19,5,14,10
0,5,W_021,W_018,True,21,5,16,11
0,6,W_021,W_052,True,19,5,14,10
0,7,W_021,W_061,True,19,5,14,10
0,8,W_021,W_013,True,19,5,14,10
0,9,W_021,W_017,True,22,5,17,11
0,10,W_021,W_011,True,22,5,17,11
0,11,W_021,W_010,True,21,5,16,11
1,1,W_060,W_060,False,4,0,4,1
1,2,W_060,W_040,True,22,5,17,11
1,3,W_060,W_075,True,21,5,16,11
1,4,W_060,W_050,True,19,5,14,10
1,5,W_060,W_018,True,21,5,16,11
1,6,W_060,W_052,True,19,5,14,10
1,7,W_060,W_061,True,17,5,12,8
1,8,W_060,W_013,True,19,5,14,10
1,9,W_060,W_017,True,22,5,17,11
1,10,W_060,W_011,True,22,5,17,11
1,11,W_060,W_010,True,21,5,16,11
2,2,W_040,W_040,False,4,0,4,1
2,3,W_040,W_075,True,21,5,16,11
2,4,W_040,W_050,True,19,5,14,10
2,5,W_040,W_018,True,21,5,16,11
2,6,W_040,W_052,True,19,5,14,10
2,7,W_040,W_061,True,17,5,12,8
2,8,W_040,W_013,True,19,5,14,10
2,9,W_040,W_017,True,22,5,17,11
2,10,W_040,W_011,True,22,5,17,11
2,11,W_040,W_010,True,21,5,16,11
3,3,W_075,W_075,False,4,0,4,1
3,4,W_075,W_050,True,20,5,15,10
3,5,W_075,W_018,True,22,5,17,11
3,6,W_075,W_052,True,20,5,15,10
3,7,W_075,W_061,True,18,5,13,8
3,8,W_075,W_013,True,20,5,15,10
3,9,W_075,W_017,True,21,5,16,11
3,10,W_075,W_011,True,21,5,16,11
3,11,W_075,W_010,True,22,5,17,11
4,4,W_050,W_050,False,4,0,4,1
4,5,W_050,W_018,True,22,5,17,12
4,6,W_050,W_052,True,22,5,17,11
4,7,W_050,W_061,True,20,5,15,9
4,8,W_050,W_013,True,22,5,17,11
4,9,W_050,W_017,True,21,5,16,12
4,10,W_050,W_011,True,21,5,16,12
4,11,W_050,W_010,True,22,5,17,12
5,5,W_018,W_018,False,4,0,4,1
5,6,W_018,W_052,True,20,5,15,10
5,7,W_018,W_061,True,20,5,15,10
5,8,W_018,W_013,True,20,5,15,10
5,9,W_018,W_017,True,21,5,16,11
5,10,W_018,W_011,True,21,5,16,11
5,11,W_018,W_010,True,22,5,17,11
6,6,W_052,W_052,False,4,0,4,1
6,7,W_052,W_061,True,22,5,17,11
6,8,W_052,W_013,True,22,5,17,11
6,9,W_052,W_017,True,21,5,16,12
6,10,W_052,W_011,True,21,5,16,12
6,11,W_052,W_010,True,22,5,17,12
7,7,W_061,W_061,False,4,0,4,1
7,8,W_061,W_013,True,22,5,17,11
7,9,W_061,W_017,True,19,5,14,10
7,10,W_061,W_011,True,19,5,14,10
7,11,W_061,W_010,True,22,5,17,12
8,8,W_013,W_013,False,4,0,4,1
8,9,W_013,W_017,True,21,5,16,12
8,10,W_013,W_011,True,21,5,16,12
8,11,W_013,W_010,True,22,5,17,12
9,9,W_017,W_017,False,4,0,4,1
9,10,W_017,W_011,True,22,5,17,11
9,11,W_017,W_010,True,21,5,16,11
10,10,W_011,W_011,False,4,0,4,1
10,11,W_011,W_010,True,21,5,16,11
11,11,W_010,W_010,False,4,0,4,1
