Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC,ROC_AUC,Specificity,Unsafe_Acceptance,TN,FP,FN,TP,Split,Model,Kernel_Lambda_Min,Support_Vectors,PSD_Regularized
0.46153846153846156,0.4642857142857143,0.5,0.42857142857142855,0.46153846153846156,-0.07142857142857142,0.40476190476190477,0.5,0.5,3,3,4,3,1,QSVM_Custom,0.002339838758224937,50,False
0.7692307692307693,0.7619047619047619,0.75,0.8571428571428571,0.8,0.5367450401216932,0.6666666666666667,0.6666666666666666,0.33333333333333337,4,2,1,6,1,SVM_RBF,,47,False
0.5384615384615384,0.5476190476190476,0.6,0.42857142857142855,0.5,0.09759000729485333,0.5238095238095238,0.6666666666666666,0.33333333333333337,4,2,4,3,2,QSVM_Custom,0.001100906291100664,49,False
0.6153846153846154,0.6309523809523809,0.75,0.42857142857142855,0.5454545454545454,0.2828894749305018,0.7857142857142857,0.8333333333333334,0.16666666666666663,5,1,4,3,2,SVM_RBF,,47,False
0.3076923076923077,0.30952380952380953,0.2857142857142857,0.3333333333333333,0.3076923076923077,-0.38095238095238093,0.45238095238095233,0.2857142857142857,0.7142857142857143,2,5,4,2,3,QSVM_Custom,0.004522468124965748,49,False
0.6153846153846154,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.23809523809523808,0.6190476190476191,0.5714285714285714,0.4285714285714286,4,3,2,4,3,SVM_RBF,,46,False
0.5384615384615384,0.5357142857142857,0.5,0.5,0.5,0.07142857142857142,0.4523809523809524,0.5714285714285714,0.4285714285714286,4,3,3,3,4,QSVM_Custom,0.002990247156694773,47,False
0.5384615384615384,0.5476190476190476,0.5,0.6666666666666666,0.5714285714285714,0.09759000729485333,0.6190476190476191,0.42857142857142855,0.5714285714285714,3,4,2,4,4,SVM_RBF,,45,False
0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3,3,3,3,5,QSVM_Custom,0.006010707892884555,49,False
0.6666666666666666,0.6666666666666667,0.625,0.8333333333333334,0.7142857142857143,0.3535533905932738,0.638888888888889,0.5,0.5,3,3,1,5,5,SVM_RBF,,48,False
0.15384615384615385,0.16666666666666666,0.0,0.0,0.0,-0.7200822998230956,0.16666666666666666,0.3333333333333333,0.6666666666666667,2,4,7,0,6,QSVM_Custom,0.0027711703034506907,46,False
0.3076923076923077,0.30952380952380953,0.3333333333333333,0.2857142857142857,0.3076923076923077,-0.38095238095238093,0.2857142857142857,0.3333333333333333,0.6666666666666667,2,4,5,2,6,SVM_RBF,,42,False
