Sample_ID,ph,Hardness,Sulfate,Conductivity,Potability
W_030,6.800119090315878,242.0080815075149,187.1707143624393,376.45659307467866,1
W_008,8.549692514107981,236.8615045978861,341.03633696679213,423.1100796600702,1
W_026,7.054266774415682,212.4291243157324,,396.052781798829,0
W_028,8.297725877791718,222.43632124474937,297.1386868703105,374.1195224685182,0
W_025,11.62114013448698,203.73036790881423,,447.0452134414225,0
W_070,7.539337775748651,227.31612786069545,345.1392345034016,343.2427106223277,0
W_005,8.83264111562239,199.4250376532799,,453.7579722364956,1
W_072,6.817608380056349,219.3374288103309,340.9376137555241,530.710025503962,1
W_031,7.490786675734917,202.45806075548336,312.9340248000838,306.3455625068792,1
W_044,4.103867855230838,168.28365132507074,,344.8695064057265,0
W_060,,192.9703798010064,324.7581837144696,332.95629802121806,0
W_067,7.310715695744376,185.8171403953804,,425.5328610356169,1
W_046,9.540252240007296,224.0545823004423,315.35908503766194,493.83637899978135,1
W_032,,178.23365945534152,,535.0863948480063,1
W_020,7.859489939100051,211.31102858658863,313.34419794784225,433.4446652298256,1
W_014,8.554096969890676,191.7084136291815,293.655798441055,518.9443622126387,0
W_061,,212.90913181434803,388.7877846681564,337.1910833477874,1
W_004,,256.9363777094222,290.31103360347373,384.90651624541937,1
W_039,7.05994023445362,178.80538032255842,281.3861971937521,520.2728605714389,1
W_063,6.904536858235756,110.86578832349096,368.3870379630723,417.2493946369874,0
W_011,7.880685942702883,226.00384439783844,356.33807937208684,472.3690935108408,1
W_017,7.446089059117263,179.14683615806922,328.4590221284618,364.1341733784949,0
W_054,8.163074030614228,162.23184570645637,423.9520283347408,487.3183456742148,0
W_071,6.622102936480842,196.8910612272637,,264.2839333983375,0
W_006,,184.0409883057969,277.6808372224047,382.8477409283204,1
W_029,7.650683237261012,239.4901476171355,373.4363117236974,425.3363524592642,1
W_075,6.960603501688507,201.7154524876896,,468.5913884755252,1
W_068,7.1910248566863455,151.30667357089163,403.788429906366,465.1268382545519,0
W_047,7.399811393921775,229.7762645225177,302.31575926455537,437.3669087698364,0
W_076,6.406797812679788,182.8851372288629,332.4867310535757,398.7797463906008,0
W_052,,214.65733127176668,326.1757087803023,385.8278293480579,1
W_040,7.24899119805637,184.07103372110927,322.3656611110505,345.35657568350507,0
W_049,8.837786915479438,195.8272127022547,332.7590286287097,514.9259969241641,1
W_016,9.75270322651984,269.6403780925448,298.0824622588364,580.0035335754574,1
W_022,6.256651147926919,181.0723072514765,,481.3070515511981,0
W_057,8.4795927987054,200.7656790297213,,485.0931670137117,0
W_037,7.88659122732868,213.05259073034645,281.70077681472634,326.1153502173294,1
W_064,9.014356734321137,225.3675191780493,296.63089872335604,445.7688121991064,1
W_018,,241.06692886610244,,315.6043274084115,1
W_074,8.550525459441477,209.682466228215,322.15603714649086,413.6735860767769,0
W_053,8.659113026830287,114.8075783848566,333.0272047391256,318.64067926297173,1
W_027,9.879071257570804,208.90564522641387,366.8176388395701,442.3374864089906,0
W_023,4.265269639731993,199.49945148957448,260.26120564084937,300.5479287887852,0
W_069,11.496702452694173,195.9894858228124,311.9650932551045,357.5225994193591,0
W_042,1.985383359263048,216.4800247293341,344.0142562201914,341.07837903416186,0
W_038,6.116023979953149,158.72890135461896,,458.99293585127856,1
W_059,7.13122185859695,165.9090202882548,,510.98232922456185,0
W_041,5.588537190733878,171.33312343988564,343.0415751407082,466.4454293513386,0
W_045,5.83610452509449,277.0657127768061,400.16759862891433,456.7328619773303,1
W_043,6.42064020641154,180.29299969001687,308.9578863873203,473.0648236129786,1
W_013,6.988206154718959,144.20953523100556,,409.0067884769262,0
W_001,7.756678950252448,186.68645891773843,342.9993828154195,320.9309662596464,0
W_077,,183.5211070261417,333.1194758732444,356.3690224100897,0
W_050,9.13569425989131,194.81561840868488,345.7142057734734,562.7714670568232,0
W_062,6.016889135653399,221.1473077918809,,383.20777481327895,1
W_015,6.342671183447911,157.04612543664243,318.8534483286764,351.0242556927136,0
W_058,7.557963629790507,156.4618716375418,257.2765540574624,277.23415452450695,1
W_078,,183.21990415570303,381.4590234839477,344.96706395847934,0
W_079,6.701940911688224,168.74541441395323,330.67472866893206,404.9307262933357,1
W_035,10.067632997838077,144.6139557266044,390.9103283338672,415.0507563086282,0
W_034,7.463915951229467,215.47906830550707,382.95873682470994,403.70350157171765,1
W_010,,250.5726829819492,345.1099622273243,426.10371511648304,0
W_021,7.273368228315567,175.0150826368574,337.6445728128531,322.4906894477517,1
W_048,8.41608681704654,208.32602177209543,297.3305280861984,444.56010847647343,1
