feature_set,fold,C,gamma,n_train,n_valid,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
raw9,0,0.1,scale,2096,524,0.6030534351145038,0.4930232558139535,0.5170731707317073,0.5047619047619047,0.658307210031348,0.5876901903815277,0.17400222872073065,210,109,99,106
raw9,1,0.1,scale,2096,524,0.5763358778625954,0.45933014354066987,0.4682926829268293,0.463768115942029,0.64576802507837,0.5570303540025996,0.11367891376909943,206,113,109,96
raw9,2,0.1,scale,2096,524,0.6164122137404581,0.5067873303167421,0.5490196078431373,0.5270588235294118,0.659375,0.6041973039215687,0.20575912258514334,211,109,92,112
raw9,3,0.1,scale,2096,524,0.5916030534351145,0.47619047619047616,0.49019607843137253,0.4830917874396135,0.65625,0.5732230392156863,0.14571133862497157,210,110,104,100
raw9,4,0.1,scale,2096,524,0.5954198473282443,0.4797979797979798,0.46568627450980393,0.472636815920398,0.678125,0.571905637254902,0.1446244142105815,217,103,109,95
raw9,0,0.1,auto,2096,524,0.601145038167939,0.49074074074074076,0.5170731707317073,0.503562945368171,0.6551724137931034,0.5861227922624054,0.17077257850819705,209,110,99,106
raw9,1,0.1,auto,2096,524,0.5763358778625954,0.45933014354066987,0.4682926829268293,0.463768115942029,0.64576802507837,0.5570303540025996,0.11367891376909943,206,113,109,96
raw9,2,0.1,auto,2096,524,0.6164122137404581,0.5067873303167421,0.5490196078431373,0.5270588235294118,0.659375,0.6041973039215687,0.20575912258514334,211,109,92,112
raw9,3,0.1,auto,2096,524,0.5896946564885496,0.47417840375586856,0.4950980392156863,0.4844124700239808,0.65,0.5725490196078431,0.14403950501631024,208,112,103,101
raw9,4,0.1,auto,2096,524,0.5973282442748091,0.4824120603015075,0.47058823529411764,0.47642679900744417,0.678125,0.5743566176470588,0.14940718254534843,217,103,108,96
raw9,0,0.1,0.01,2096,524,0.5877862595419847,0.44329896907216493,0.2097560975609756,0.2847682119205298,0.8307210031347962,0.5202385503478859,0.05086064513204665,265,54,162,43
raw9,1,0.1,0.01,2096,524,0.6316793893129771,0.6578947368421053,0.12195121951219512,0.205761316872428,0.9592476489028213,0.5405994342075082,0.15279611644033814,306,13,180,25
raw9,2,0.1,0.01,2096,524,0.6316793893129771,0.5901639344262295,0.17647058823529413,0.27169811320754716,0.921875,0.5491727941176471,0.149516644595047,295,25,168,36
raw9,3,0.1,0.01,2096,524,0.6450381679389313,0.6323529411764706,0.2107843137254902,0.3161764705882353,0.921875,0.5663296568627451,0.19248236292747248,295,25,161,43
raw9,4,0.1,0.01,2096,524,0.6068702290076335,0.48333333333333334,0.14215686274509803,0.2196969696969697,0.903125,0.522640931372549,0.0693393460402213,289,31,175,29
raw9,0,1.0,scale,2096,524,0.6259541984732825,0.5201793721973094,0.5658536585365853,0.5420560747663551,0.664576802507837,0.6152152305222112,0.22744504581041977,212,107,89,116
raw9,1,1.0,scale,2096,524,0.6049618320610687,0.4951923076923077,0.5024390243902439,0.49878934624697335,0.670846394984326,0.5866427096872849,0.17284590107664363,214,105,102,103
raw9,2,1.0,scale,2096,524,0.6736641221374046,0.5733333333333334,0.6323529411764706,0.6013986013986014,0.7,0.6661764705882353,0.3273879918982418,224,96,75,129
raw9,3,1.0,scale,2096,524,0.6297709923664122,0.5210084033613446,0.6078431372549019,0.5610859728506787,0.64375,0.6257965686274509,0.24638676102665127,206,114,80,124
raw9,4,1.0,scale,2096,524,0.6393129770992366,0.5355450236966824,0.553921568627451,0.5445783132530121,0.69375,0.6238357843137254,0.24623672777480612,222,98,91,113
raw9,0,1.0,auto,2096,524,0.6183206106870229,0.5111111111111111,0.5609756097560976,0.5348837209302325,0.6551724137931034,0.6080740117746005,0.21310649565253625,209,110,90,115
raw9,1,1.0,auto,2096,524,0.6030534351145038,0.49282296650717705,0.5024390243902439,0.4975845410628019,0.6677115987460815,0.5850753115681627,0.16958107970354863,213,106,102,103
raw9,2,1.0,auto,2096,524,0.6717557251908397,0.5707964601769911,0.6323529411764706,0.6,0.696875,0.6646139705882352,0.3241338647014737,223,97,75,129
raw9,3,1.0,auto,2096,524,0.6316793893129771,0.5232067510548524,0.6078431372549019,0.562358276643991,0.646875,0.6273590686274509,0.2495369264610546,207,113,80,124
raw9,4,1.0,auto,2096,524,0.6393129770992366,0.5358851674641149,0.5490196078431373,0.5423728813559322,0.696875,0.6229473039215687,0.24485594797001126,223,97,92,112
raw9,0,1.0,0.01,2096,524,0.5820610687022901,0.4627659574468085,0.424390243902439,0.44274809160305345,0.6833855799373041,0.5538879119198715,0.1096591966627379,218,101,118,87
raw9,1,1.0,0.01,2096,524,0.6164122137404581,0.5153846153846153,0.32682926829268294,0.4,0.8025078369905956,0.5646685526416393,0.14614219355055091,256,63,138,67
raw9,2,1.0,0.01,2096,524,0.6202290076335878,0.5190839694656488,0.3333333333333333,0.4059701492537313,0.803125,0.5682291666666667,0.1536590742882148,257,63,136,68
raw9,3,1.0,0.01,2096,524,0.6316793893129771,0.5533980582524272,0.27941176470588236,0.3713355048859935,0.85625,0.5678308823529412,0.16645156190331578,274,46,147,57
raw9,4,1.0,0.01,2096,524,0.5992366412213741,0.4765625,0.29901960784313725,0.3674698795180723,0.790625,0.5448223039215686,0.1017329567145769,253,67,143,61
raw9,0,10.0,scale,2096,524,0.6049618320610687,0.49557522123893805,0.5463414634146342,0.5197215777262181,0.6426332288401254,0.5944873461273799,0.18621453085332873,205,114,93,112
raw9,1,10.0,scale,2096,524,0.6106870229007634,0.5022222222222222,0.551219512195122,0.5255813953488372,0.6489028213166145,0.6000611667558682,0.19730631118533723,207,112,92,113
raw9,2,10.0,scale,2096,524,0.6412213740458015,0.5310077519379846,0.6715686274509803,0.5930735930735931,0.621875,0.6467218137254902,0.28619634572202723,199,121,67,137
raw9,3,10.0,scale,2096,524,0.6374045801526718,0.5282258064516129,0.6421568627450981,0.5796460176991151,0.634375,0.6382659313725491,0.27005664658751793,203,117,73,131
raw9,4,10.0,scale,2096,524,0.6145038167938931,0.5040983606557377,0.6029411764705882,0.5491071428571429,0.621875,0.612408088235294,0.21975749774339273,199,121,81,123
raw9,0,10.0,auto,2096,524,0.601145038167939,0.49122807017543857,0.5463414634146342,0.5173210161662818,0.6363636363636364,0.5913525498891352,0.17984967727306617,203,116,93,112
raw9,1,10.0,auto,2096,524,0.6106870229007634,0.5022222222222222,0.551219512195122,0.5255813953488372,0.6489028213166145,0.6000611667558682,0.19730631118533723,207,112,92,113
raw9,2,10.0,auto,2096,524,0.6412213740458015,0.5310077519379846,0.6715686274509803,0.5930735930735931,0.621875,0.6467218137254902,0.28619634572202723,199,121,67,137
raw9,3,10.0,auto,2096,524,0.6374045801526718,0.5282258064516129,0.6421568627450981,0.5796460176991151,0.634375,0.6382659313725491,0.27005664658751793,203,117,73,131
raw9,4,10.0,auto,2096,524,0.6145038167938931,0.5040650406504065,0.6078431372549019,0.5511111111111111,0.61875,0.613296568627451,0.2213843281233923,198,122,80,124
raw9,0,10.0,0.01,2096,524,0.6335877862595419,0.5351351351351351,0.48292682926829267,0.5076923076923077,0.7304075235109718,0.6066671763896323,0.21784487807901795,233,86,106,99
raw9,1,10.0,0.01,2096,524,0.6221374045801527,0.5259259259259259,0.3463414634146341,0.4176470588235294,0.799373040752351,0.5728572520834926,0.16260480314917747,255,64,134,71
raw9,2,10.0,0.01,2096,524,0.6526717557251909,0.5670731707317073,0.45588235294117646,0.5054347826086957,0.778125,0.6170036764705882,0.24606304974543397,249,71,111,93
raw9,3,10.0,0.01,2096,524,0.6316793893129771,0.535483870967742,0.4068627450980392,0.4623955431754875,0.775,0.5909313725490196,0.19429193918618642,248,72,121,83
raw9,4,10.0,0.01,2096,524,0.6278625954198473,0.5333333333333333,0.35294117647058826,0.4247787610619469,0.803125,0.5780330882352941,0.17400317727240552,257,63,132,72
chem5_prev,0,0.1,scale,2096,524,0.601145038167939,0.49107142857142855,0.5365853658536586,0.5128205128205128,0.6426332288401254,0.589609297346892,0.17679529500661326,205,114,95,110
chem5_prev,1,0.1,scale,2096,524,0.6259541984732825,0.5245901639344263,0.4682926829268293,0.4948453608247423,0.7272727272727273,0.5977827050997783,0.20019885115764668,232,87,109,96
chem5_prev,2,0.1,scale,2096,524,0.6526717557251909,0.5523809523809524,0.5686274509803921,0.5603864734299517,0.70625,0.6374387254901961,0.2734983535864529,226,94,88,116
chem5_prev,3,0.1,scale,2096,524,0.6297709923664122,0.5221238938053098,0.5784313725490197,0.5488372093023256,0.6625,0.6204656862745098,0.2372034907884226,212,108,86,118
chem5_prev,4,0.1,scale,2096,524,0.6164122137404581,0.5085714285714286,0.4362745098039216,0.46965699208443273,0.73125,0.5837622549019608,0.17319553468021973,234,86,115,89
chem5_prev,0,0.1,auto,2096,524,0.601145038167939,0.49107142857142855,0.5365853658536586,0.5128205128205128,0.6426332288401254,0.589609297346892,0.17679529500661326,205,114,95,110
