feature_set,n_features,features,C,gamma,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,specificity_mean,specificity_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,10.0,scale,0.6416030534351146,0.01745948551371402,0.5361537794249751,0.01932297475066396,0.601846006695361,0.04472420998131813,0.5666423731828814,0.027228982751298533,0.6670983542319748,0.024722068926331484,0.634472180463668,0.020301724883246317,0.2646275509233048,0.03904281681860052
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,10.0,auto,0.6377862595419848,0.01891143380433206,0.5314004299536716,0.02063852151879495,0.6028168340506934,0.04274413785633773,0.5645186517276723,0.027779115193878923,0.6602115987460815,0.022279124414424402,0.6315142163983875,0.021647529335811655,0.25845582456383964,0.04184351291939482
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,10.0,scale,0.6217557251908397,0.01643882096744887,0.512225872501299,0.01621828086416046,0.6028455284552845,0.05505953461657009,0.5534259453409812,0.03236272385270424,0.6339322100313479,0.012152938132419511,0.6183888692433163,0.023134447092567956,0.23190626641832077,0.04425875167478051
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,10.0,auto,0.6209923664122137,0.01746991220052793,0.5113497782875329,0.01741047869927871,0.6038259206121472,0.05510528674736688,0.5533466266797877,0.032953148713104174,0.6320532915360502,0.012129006975391408,0.6179396060740987,0.023925106704021572,0.23095866177826818,0.045869736772005655
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,1.0,auto,0.6458015267175573,0.010330052368491884,0.5450693413650515,0.013441571299519004,0.5617216642754663,0.06659120508653972,0.5515379221113188,0.03196148605216052,0.699637539184953,0.040941434328948555,0.6306796017302096,0.016491474129746376,0.260770925482204,0.029149298379732777
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,1.0,scale,0.6347328244274809,0.025122797303456516,0.5290516880561954,0.028691887234020438,0.5724820659971306,0.050322416925397774,0.5495816617031241,0.03700970034409125,0.6745846394984325,0.022793408361056644,0.6235333527477815,0.0285208687319539,0.24406048551735254,0.055455411777127324
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,1.0,scale,0.6435114503816795,0.009861076857071634,0.5422745924031637,0.012822892977039202,0.5578144428503109,0.06855778419759202,0.5481023503718847,0.0329944733163913,0.6983894984326019,0.04200886170040213,0.6281019706414563,0.01653713926913809,0.25573699031197805,0.029042564706320148
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,1.0,auto,0.632824427480916,0.025766892604687234,0.5267644912628493,0.029290416304341888,0.5705260640841703,0.05100174137521806,0.5474398839985916,0.03759657962909973,0.672701802507837,0.02328031509701446,0.6216139332960037,0.029164139010568597,0.2402428628977249,0.05673365488509987
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,0.1,auto,0.6251908396946566,0.019064875944644538,0.5195790325096435,0.02257347611178759,0.5196030607364897,0.06232339465321074,0.5182850744495904,0.03763393566797874,0.6927292319749216,0.03822824196377058,0.6061661463557056,0.02288348478121653,0.2126960032792223,0.04344261773818015
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,0.1,scale,0.6251908396946566,0.018921060393809825,0.519747573452709,0.02259016656050638,0.5176422764227642,0.06266924822522256,0.5173093096923931,0.03756718035393986,0.6939811912225705,0.03960900399753089,0.6058117338226674,0.022517596980239633,0.21217830504387103,0.04272449348660536
chem4_prev,4,Sulfate|ph|Solids|Chloramines,1.0,scale,0.6114503816793893,0.018234930054337815,0.5026034133856605,0.018918621145804712,0.5382496413199427,0.10252156346211018,0.5156906430109057,0.050348986722085806,0.6583307210031347,0.07052428482278993,0.5982901811615386,0.024401947893329872,0.19595569398512774,0.044447632897967784
chem4_prev,4,Sulfate|ph|Solids|Chloramines,1.0,auto,0.6099236641221374,0.01877614332251733,0.5008704573677507,0.01992781138384458,0.5343424198947873,0.10053106136399426,0.5130448282459085,0.049278182920237036,0.6583326802507837,0.07018540633646955,0.5963375500727854,0.02420456012535579,0.19216690717548202,0.04443809301712822
chem4_prev,4,Sulfate|ph|Solids|Chloramines,10.0,scale,0.5984732824427481,0.01117675607965366,0.48803589642621015,0.011617760966584175,0.5440841702534672,0.09645254745932405,0.5106214727173874,0.041649535814193304,0.6333013322884012,0.0737090551037673,0.5886927512709342,0.014226033040151376,0.1761836025898245,0.025065337730340805
chem4_prev,4,Sulfate|ph|Solids|Chloramines,10.0,auto,0.5973282442748091,0.012069762061711382,0.48663273454389644,0.012333097916303815,0.5440841702534672,0.09552292244329116,0.5099901368694546,0.04175563014504804,0.6314224137931035,0.07244871446133562,0.5877532920232853,0.015305619212100335,0.1742022705892123,0.02749142386047069
chem4_prev,4,Sulfate|ph|Solids|Chloramines,0.1,scale,0.6194656488549619,0.033535698681662264,0.5163258098963903,0.03946239915861074,0.49215686274509796,0.06843493510922823,0.501013914183889,0.03827435746809585,0.7008248432601881,0.07738039145310835,0.5964908530026432,0.02754999493768567,0.1962840755248662,0.05558187058899598
chem4_prev,4,Sulfate|ph|Solids|Chloramines,0.1,auto,0.6183206106870228,0.03720150513285866,0.5150216220774799,0.04399422500473501,0.4931420373027259,0.06831571904432615,0.5009297376956952,0.040839228393350996,0.6983228840125393,0.0798164042021472,0.5957324606576326,0.03125550549152441,0.19461345076398534,0.06317786203690395
preview4,4,ph|Solids|Conductivity|Turbidity,10.0,0.01,0.500381679389313,0.025006554702747614,0.40968388080031753,0.0039345419290241854,0.64,0.15781764052941158,0.4938589099603744,0.051066475962570745,0.4111775078369906,0.14133362372586286,0.5255887539184952,0.00943332277685901,0.054612112514256975,0.02357210459129031
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,0.1,auto,0.5961832061068701,0.014757721319985673,0.4826897357311057,0.017774301458983045,0.5000143472022955,0.033870522439658525,0.4910458307742074,0.024776022158786645,0.6576880877742947,0.012530325794428641,0.578851217488295,0.01754543463623106,0.1567314604848197,0.03416546943197346
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,0.1,scale,0.5965648854961833,0.014757721319985663,0.48302583713196423,0.017910779265673492,0.49805356288857006,0.03519365928652543,0.4902634895186714,0.025633173834622207,0.6595650470219436,0.011698690926576723,0.5788093049552568,0.017864841971707124,0.1567552035821053,0.034725832249963576
preview4,4,ph|Solids|Conductivity|Turbidity,1.0,scale,0.516793893129771,0.013041488216236522,0.4154394381409873,0.00801175729712552,0.5851315160210426,0.043483048305701016,0.4853127994271083,0.015706515141091632,0.4730799373040752,0.04341773964040491,0.5291057266625588,0.00917151780363084,0.05725640400850346,0.018084179497991654
preview4,4,ph|Solids|Conductivity|Turbidity,1.0,auto,0.516030534351145,0.012114939120689987,0.41462741084781857,0.007870997844396632,0.5841559062649451,0.04735452725366114,0.4843891495602162,0.018156032176218407,0.47245689655172407,0.043039382581704075,0.5283064014083345,0.00979407725468783,0.055717570409172176,0.019434684271748433
preview4,4,ph|Solids|Conductivity|Turbidity,0.1,auto,0.5236641221374045,0.022116007031783434,0.4178220755433776,0.008603982155020149,0.5578000956480154,0.10511122247062593,0.47404289293391494,0.03900329455991479,0.5019200626959247,0.10055481225146577,0.5298600791719701,0.009262700456322433,0.05922787904731597,0.017834727260344303
preview4,4,ph|Solids|Conductivity|Turbidity,0.1,scale,0.5232824427480917,0.02156572990307888,0.4172577522530858,0.008145820207615357,0.5568244858919178,0.10667013660606546,0.4732724236155298,0.040247542881753466,0.5019200626959247,0.10055481225146577,0.5293722742939212,0.009496314639656474,0.05826100429011377,0.018281626761461944
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,10.0,0.01,0.6335877862595419,0.011529624020605526,0.5393902872187687,0.015950581197612806,0.40899091343854616,0.06069675125402853,0.4635896906723934,0.042762402334979,0.7772061128526646,0.028978356817402687,0.5930985131456054,0.018687814420780397,0.19896156948644425,0.033695956855177206
preview4,4,ph|Solids|Conductivity|Turbidity,10.0,scale,0.5022900763358779,0.01352136609459415,0.398777852238565,0.010226719883788286,0.543036824485892,0.03060639532479133,0.45958439049621874,0.014815311026242247,0.476208855799373,0.03244903078518348,0.5096228401426325,0.011313747175443454,0.018807817186303002,0.02209891227149526
preview4,4,ph|Solids|Conductivity|Turbidity,10.0,auto,0.5,0.0106255045092176,0.39631391764261104,0.006763119174316945,0.5381396461023433,0.029500348727017626,0.45618100591972743,0.01213689743991591,0.475583855799373,0.03197814681285183,0.5068617509508583,0.007249559775902462,0.013410835723181382,0.014163836643089844
preview4,4,ph|Solids|Conductivity|Turbidity,1.0,0.01,0.5358778625954199,0.03197348086802956,0.42044265136942993,0.01827774986651897,0.4823672883787662,0.073618313785172,0.4460535545255717,0.022564571242062507,0.5700568181818182,0.09831862747401635,0.5262120532802921,0.014482307388942616,0.05216569490481807,0.028977360644418325
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,10.0,0.01,0.6530534351145038,0.016159513839707294,0.6051225451258658,0.04112676788638006,0.3229076996652319,0.015734788970501918,0.42073339594073034,0.019129449221735706,0.8641751567398119,0.022971465364131576,0.593541428202522,0.014276401594422668,0.22520677255499955,0.03753550018465058
preview4,4,ph|Solids|Conductivity|Turbidity,0.1,0.01,0.5488549618320612,0.03399411576678148,0.42525503603548576,0.024485511310970664,0.41974653275944523,0.11663520336250732,0.41431596255385894,0.05390198801517029,0.6313753918495297,0.12649536283388665,0.5255609623044876,0.013731598456176048,0.0529397728546365,0.029751372398330884
chem4_prev,4,Sulfate|ph|Solids|Chloramines,10.0,0.01,0.6538167938931296,0.01084600934227699,0.61307485123237,0.03261743343029972,0.31016738402678146,0.02395703197059987,0.41103717424517594,0.01966157828895975,0.87357170846395,0.024037362168458476,0.5918695462453657,0.009202104115184866,0.22566500939915798,0.02476915390636275
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,1.0,0.01,0.6099236641221374,0.01944318416328246,0.5054390201099,0.036193965445055064,0.33259684361549496,0.05571337150806382,0.3975047250521701,0.030462157060844264,0.78717868338558,0.06333443013932917,0.5598877635005375,0.010228567592905708,0.13552899662387927,0.02832385731217056
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,1.0,0.01,0.6374045801526717,0.013013532153612452,0.6112243563213751,0.06861253391050315,0.20448589191774272,0.01132960481662368,0.30547061613812077,0.01037594173523844,0.9142417711598746,0.02480526820407648,0.5593638315388086,0.009401326296451082,0.17322595261634732,0.03835245640000423
chem4_prev,4,Sulfate|ph|Solids|Chloramines,1.0,0.01,0.6358778625954198,0.009674650271478288,0.6096434519162857,0.055754126090937293,0.194701099952176,0.02631058111415152,0.2935160248634951,0.027622274441279526,0.9180094043887147,0.02443510032963732,0.5563552521704453,0.008446445965717109,0.16744364769194034,0.028767399617655242
raw9,9,ph|Hardness|Solids|Chloramines|Sulfate|Conductivity|Organic_carbon|Trihalomethanes|Turbidity,0.1,0.01,0.6206106870229007,0.02295635745602379,0.5614087829700607,0.09382853455699706,0.1722238163558106,0.03982767522115263,0.259620216457142,0.04602052217063259,0.9073687304075235,0.04744778509864051,0.539796273381667,0.019166343789924288,0.1229990230270251,0.060212731321694885
chem4_prev,4,Sulfate|ph|Solids|Chloramines,0.1,0.01,0.6297709923664122,0.012943377830391699,0.6577260981912144,0.07982187769982405,0.11641798182687708,0.059224944837860935,0.1914711536446842,0.08185913867937064,0.9580466300940438,0.03353622844793926,0.5372323059604605,0.017849506949448948,0.14269284650815392,0.047960356910248705
chem5_prev,5,Sulfate|ph|Solids|Chloramines|Hardness,0.1,0.01,0.6270992366412214,0.014062697272473727,0.6737725237725238,0.10582206908401438,0.110545193687231,0.05133956225763626,0.182933656794161,0.06693479898567088,0.9574118338557994,0.04510015128935414,0.5339785137715152,0.011748442250874028,0.13998247626156815,0.04297357699840844
