position,source_index,Potability,validation_fold
0,1235,0,2
1,617,0,1
2,3025,0,2
3,2814,1,2
4,1568,1,4
5,1529,1,1
6,711,1,0
7,2033,1,2
8,382,1,1
9,2554,0,3
10,2003,1,2
11,10,0,0
12,3034,0,0
13,2191,0,3
14,1678,0,1
15,2821,1,0
16,2069,0,3
17,2807,1,3
18,35,0,3
19,2362,1,1
20,3171,1,1
21,456,0,1
22,1297,0,4
23,2433,1,2
24,3020,0,1
25,2544,0,1
26,427,0,2
27,2052,0,3
28,2711,1,1
29,253,1,0
30,1534,1,2
31,1169,1,4
32,2073,0,1
33,1923,1,3
34,1668,0,0
35,1628,1,3
36,324,1,0
37,2038,1,4
38,1926,1,2
39,3095,0,0
40,1346,0,4
41,3094,0,3
42,2041,1,4
43,1464,0,2
44,3244,1,0
45,2370,1,2
46,2634,0,0
47,1550,1,1
48,1492,1,2
49,1232,0,0
50,326,1,0
51,1109,1,3
52,3230,1,4
53,1458,0,2
54,786,1,1
55,633,0,4
56,3050,0,4
57,1161,1,0
58,1726,0,4
59,937,0,0
60,1196,1,3
61,344,1,3
62,1868,0,1
63,1955,1,1
64,1344,0,3
65,3265,1,3
66,1152,1,4
67,1848,0,2
68,2945,0,4
69,2593,0,3
70,1282,0,1
71,3211,1,0
72,1388,0,2
73,2566,0,0
74,306,1,4
75,2603,0,4
76,2947,0,2
77,2590,0,4
78,2862,1,3
79,1911,1,4
