source_index,Sulfate,ph,Solids,Chloramines,Hardness,Potability
1235,342.9993828154195,7.756678950252448,22440.40104062623,7.462613332349711,186.68645891773843,0
617,334.4777947541068,6.284984822452388,29213.62038620881,8.52879260890159,196.77505624996635,0
3025,302.00274315475485,7.149124567592087,23158.38909647046,6.067812010702551,202.58254227278624,0
2814,290.31103360347373,,13766.330789042637,5.083865924715691,256.9363777094222,1
1568,,8.83264111562239,25100.13140450449,6.817660238042554,199.4250376532799,1
1529,277.6808372224047,,23727.094105198827,4.964448947647604,184.0409883057969,1
711,294.3477322344588,7.68878591609137,29568.535852018093,9.817335635498171,209.18562534531952,1
2033,341.03633696679213,8.549692514107981,17828.294523792538,4.752267562975149,236.8615045978861,1
382,273.2794476612648,5.772718094851822,26124.93141464389,8.63071896535268,213.3635445923109,1
2554,345.1099622273243,,24538.43729286854,7.287604792989669,250.57268298194916,0
2003,356.33807937208684,7.880685942702883,19486.881839128484,6.208574002625104,226.00384439783844,1
10,326.62435345560164,7.360640105838258,32452.614409143884,7.550700906704114,165.52079725952862,0
3034,,6.988206154718959,33357.51586288418,6.771944512116585,144.20953523100556,0
2191,293.655798441055,8.554096969890676,32112.569873527096,8.115355082281138,191.7084136291815,0
1678,318.8534483286764,6.342671183447911,21079.6062064613,7.275077845532682,157.04612543664243,0
2821,298.0824622588364,9.75270322651984,10194.32541115761,7.97804398390079,269.6403780925448,1
2069,328.4590221284618,7.446089059117263,17763.310992827992,9.876515048672626,179.14683615806922,0
2807,,,22656.714624811066,7.293822808555946,241.06692886610244,1
35,323.8363839136296,5.115817063771218,19620.545328612152,6.060712994989327,191.95274297485884,0
2362,313.34419794784225,7.859489939100051,31725.48776569772,7.519690678297841,211.31102858658863,1
3171,337.6445728128531,7.273368228315567,14206.357322954953,7.839066572142404,175.0150826368574,1
456,,6.256651147926919,16905.80152440072,11.586151077767036,181.0723072514765,0
1297,260.26120564084937,4.265269639731993,25634.533284034696,5.91488443806432,199.49945148957448,0
2433,339.1588774854099,,23103.65353882712,8.643088653923114,240.03627870637945,1
3020,,11.62114013448698,15102.237427658583,7.81641497645993,203.73036790881423,0
2544,,7.054266774415682,7450.074375057894,8.727110118375812,212.4291243157324,0
427,366.8176388395701,9.879071257570804,14673.670669338468,6.24024762050264,208.90564522641387,0
2052,297.1386868703105,8.297725877791718,20320.10845267344,7.32185864286384,222.43632124474937,0
2711,373.4363117236974,7.650683237261012,15326.925014361675,8.927896393026264,239.4901476171355,1
253,187.1707143624393,6.800119090315878,39143.40332881009,9.50169458771527,242.0080815075149,1
1534,312.9340248000838,7.490786675734917,26551.370104695576,7.12077230286162,202.45806075548336,1
1169,,,37861.44001203971,3.912714090018384,178.23365945534152,1
2073,257.4594811240221,6.642613909578337,13730.259117124957,9.060766955581316,226.52783194423617,0
1923,382.95873682470994,7.463915951229467,27150.39539959295,7.78291530782294,215.47906830550707,1
1668,390.9103283338672,10.067632997838077,39716.13180392068,4.503365935931103,144.6139557266044,0
1628,369.9062775175166,6.769769338622252,16980.25848095072,7.0516974329329605,178.3317527085839,1
324,281.70077681472634,7.88659122732868,38852.029635921295,11.1707886197812,213.05259073034645,1
2038,,6.116023979953149,22481.027318227305,8.467065245069403,158.72890135461896,1
1926,281.3861971937521,7.05994023445362,39484.63892065139,8.59111309966701,178.80538032255842,1
3095,322.3656611110505,7.24899119805637,33123.44297961029,7.186173311070744,184.07103372110927,0
1346,343.0415751407082,5.588537190733878,17732.240668204682,5.588614466203468,171.33312343988564,0
3094,344.0142562201914,1.985383359263048,23039.328505396858,6.769267636869141,216.4800247293341,0
2041,308.9578863873203,6.42064020641154,26034.52819812165,9.710618837152984,180.29299969001687,1
1464,,4.103867855230838,22207.470232223448,5.850079945096555,168.28365132507074,0
3244,400.16759862891433,5.83610452509449,17711.487773748795,3.4581916819703147,277.0657127768061,1
2370,315.35908503766194,9.540252240007296,31683.86459332765,11.994290224518096,224.0545823004423,1
2634,302.31575926455537,7.399811393921775,28630.954415716587,8.711705729168445,229.7762645225177,0
1550,297.3305280861984,8.41608681704654,28234.906857156184,7.784123048553013,208.32602177209543,1
1492,332.7590286287097,8.837786915479438,11610.20794869492,7.8700615413288,195.8272127022547,1
1232,345.7142057734734,9.13569425989131,9496.91035373795,6.18592511972857,194.81561840868488,0
326,,3.657123132566738,23736.816258284023,9.100772079375536,275.76714183651194,1
1109,326.1757087803023,,19692.464393722068,5.947389617427277,214.65733127176668,1
3230,333.0272047391256,8.659113026830287,23514.63664741336,8.735315343467212,114.8075783848566,1
1458,423.9520283347408,8.163074030614228,10494.573368799094,8.087495753688605,162.23184570645637,0
786,211.85159230220145,,9783.368727453491,6.400151955741599,242.41342924802117,1
633,304.4252752003144,5.433242116512631,31157.11016705372,7.286392323989023,201.78124550414304,0
3050,,8.4795927987054,14901.80814391939,7.379506080364964,200.7656790297213,0
1161,257.2765540574624,7.557963629790507,32833.43116851585,3.3116072571688484,156.4618716375418,1
1726,,7.13122185859695,18969.82488830444,7.690362628769103,165.9090202882548,0
937,324.7581837144696,,11125.443536741795,4.9549231765651935,192.9703798010064,0
1196,388.7877846681564,,14101.869291982675,9.112484615178165,212.90913181434803,1
344,,6.016889135653399,16656.062671606713,5.2016877576618334,221.1473077918809,1
1868,368.3870379630723,6.904536858235756,32981.25837721575,2.62126755562118,110.86578832349096,0
1955,296.63089872335604,9.014356734321137,49009.92465602681,6.002653035061753,225.36751917804932,1
1344,313.08348911159686,5.664845758430077,18678.950810888608,5.153872814055152,186.64835853783148,0
3265,328.88683761881884,8.197353369384867,27701.79405469116,6.472914285587643,203.1050914346406,1
1152,,7.310715695744376,21989.767441159336,8.4375149697106,185.8171403953804,1
1848,403.788429906366,7.1910248566863455,23781.328740155917,9.214409134571252,151.30667357089163,0
2945,311.9650932551045,11.496702452694173,14158.157282676424,7.235224038451399,195.9894858228124,0
2593,345.1392345034016,7.539337775748651,12610.936307246897,9.507584644945537,227.31612786069545,0
1282,,6.622102936480842,16010.524152308772,7.256071192506777,196.8910612272637,0
3211,340.9376137555241,6.817608380056349,27548.61417733812,6.298121347138782,219.3374288103309,1
1388,408.5912084282966,8.828326657522403,13527.989885696586,7.145967391374083,189.9755526527983,0
2566,322.15603714649086,8.550525459441477,22377.2729499167,2.654490953924924,209.682466228215,0
306,,6.960603501688507,11348.675997363987,4.297889825381638,201.7154524876896,1
2603,332.4867310535757,6.406797812679788,17851.064020849422,7.462757885345703,182.8851372288629,0
2947,333.1194758732444,,20461.252710219946,7.333212177578906,183.5211070261417,0
2590,381.4590234839477,,20311.402466290318,6.79089737329086,183.21990415570303,0
2862,330.67472866893206,6.701940911688224,17176.87895065498,6.390966016442871,168.74541441395323,1
1911,,6.85144260294889,15349.142584940451,7.446411726791615,197.33955943396484,1
