map,family,n_qubits,raw_n_gates,raw_depth,raw_2q_gates,raw_2q_depth,native_n_gates,native_depth,native_2q_gates,native_2q_depth,portable_qasm_n_gates,portable_qasm_2q_gates
zz_linear_r1_robust,ZZFeatureMap,5,14,6,4,4,50,31,8,8,22,8
zz_ring_r1_robust,ZZFeatureMap,5,15,7,5,5,60,38,10,10,25,10
zz_full_r1_robust,ZZFeatureMap,5,20,9,10,7,110,52,20,14,40,20
zz_ring_r2_robust,ZZFeatureMap,5,25,13,10,10,110,73,20,20,45,20
pauli_z_zz_linear_r1_robust,PauliFeatureMap,5,14,6,4,4,50,31,8,8,22,8
pauli_z_zz_ring_r1_robust,PauliFeatureMap,5,15,7,5,5,60,38,10,10,25,10
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,5,23,9,8,6,90,42,14,11,49,16
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,5,15,7,5,5,60,38,10,10,25,10
custom_water_domain_r1_robust,custom_water_domain,5,20,6,5,3,60,24,10,6,35,10
custom_water_domain_r2_reupload_robust,custom_water_domain,5,45,12,10,5,134,48,20,10,75,20
