map,family,C,scaling,reps,topology,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,custom_water_domain,0.1,robust_atan,1,domain,0.6375,0.12022115038544591,0.6375,0.12022115038544591,0.6358730158730159,0.13793824318049303,0.625,0.21650635094610965,0.65,0.16298006013006622,0.6188235294117648,0.17687100541555412,0.27841846175496854,0.24219724554183505
custom_water_domain_r1_robust,custom_water_domain,1.0,robust_atan,1,domain,0.65,0.13693063937629152,0.65,0.13693063937629152,0.6598484848484848,0.13468026620363951,0.675,0.24366985862022408,0.625,0.25,0.6415353222628764,0.18443995372193034,0.3115545143599222,0.2655328264883505
custom_water_domain_r1_robust,custom_water_domain,10.0,robust_atan,1,domain,0.5125,0.06846531968814577,0.5125,0.06846531968814577,0.5353535353535354,0.09602738223552205,0.475,0.16298006013006622,0.55,0.22707377655731187,0.48230415611220573,0.09567970772657357,0.030255267796436218,0.1473643319249277
custom_water_domain_r2_reupload_robust,custom_water_domain,0.1,robust_atan,2,domain,0.6,0.10458250331675945,0.6,0.10458250331675945,0.6123076923076922,0.0890891891824778,0.65,0.22360679774997896,0.55,0.27386127875258304,0.602699261522791,0.14449416496434697,0.20282556715312308,0.22247019474980986
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,robust_atan,2,domain,0.65,0.09478594305064438,0.65,0.09478594305064438,0.6972727272727273,0.19138468897368388,0.7,0.18957188610128875,0.6,0.2850438562747845,0.659792663476874,0.08770632787971226,0.32862065372807353,0.20682999709237593
custom_water_domain_r2_reupload_robust,custom_water_domain,10.0,robust_atan,2,domain,0.45,0.05229125165837972,0.45,0.05229125165837972,0.4488888888888889,0.050061690338083595,0.475,0.13693063937629152,0.425,0.14252192813739226,0.45565610859728506,0.0924503061194475,-0.10380540398191038,0.10821701719492022
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.675,0.128086884574495,0.675,0.128086884574495,0.679029304029304,0.11655336474470915,0.675,0.3010398644698074,0.675,0.2091650066335189,0.6479513623631271,0.20116210619105407,0.3788930491798636,0.25487286122513236
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.625,0.15934435979977452,0.625,0.15934435979977452,0.6160256410256411,0.16013456906735632,0.65,0.270993542358485,0.6,0.24044230077089182,0.6161764705882353,0.2068110473454303,0.2576185253628629,0.315896203462264
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.6125,0.10269797953221865,0.6125,0.10269797953221865,0.6183333333333334,0.144385671803757,0.575,0.2091650066335189,0.65,0.13693063937629152,0.5841251885369532,0.15866705887380103,0.23116866154833704,0.21601344919457177
pauli_z_zz_linear_r1_robust,PauliFeatureMap,0.1,robust_atan,1,linear,0.625,0.14657549249448218,0.625,0.14657549249448218,0.6118686868686869,0.15012408566864666,0.675,0.2592055169165965,0.575,0.22707377655731187,0.6256295149638803,0.19658801409679588,0.2599006529514407,0.2924664170316146
pauli_z_zz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
pauli_z_zz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.5125,0.12022115038544591,0.5125,0.12022115038544591,0.5,0.12422599874998831,0.525,0.18540496217739158,0.5,0.08838834764831845,0.5100840336134453,0.1552803842739726,0.02395311665241322,0.2441316664645436
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,0.1,minmax,1,ring,0.6,0.03423265984407289,0.6,0.03423265984407289,0.6588034188034187,0.1926610239355931,0.65,0.24044230077089182,0.55,0.27386127875258304,0.5976470588235294,0.11558985679648963,0.23609571279567582,0.09874030294417083
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,minmax,1,ring,0.6,0.07126096406869611,0.6,0.07126096406869611,0.6644444444444445,0.19726525352153018,0.625,0.21650635094610965,0.575,0.27386127875258304,0.5921568627450979,0.11777770523671534,0.22802319868707155,0.1645304474531611
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,10.0,minmax,1,ring,0.525,0.11353688827865593,0.525,0.11353688827865593,0.5111111111111112,0.13966450099973926,0.475,0.22360679774997896,0.575,0.11180339887498948,0.48394742512389566,0.17484098188712516,0.049869414984851,0.23538268909383375
pauli_z_zz_ring_r1_robust,PauliFeatureMap,0.1,robust_atan,1,ring,0.6,0.15687375497513917,0.6,0.15687375497513917,0.5952020202020203,0.15847745281493236,0.65,0.24044230077089182,0.55,0.2592055169165965,0.6056295149638803,0.19216743489654026,0.20216562603247817,0.31312941905437236
pauli_z_zz_ring_r1_robust,PauliFeatureMap,1.0,robust_atan,1,ring,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
pauli_z_zz_ring_r1_robust,PauliFeatureMap,10.0,robust_atan,1,ring,0.4625,0.08385254915624211,0.4625,0.08385254915624211,0.45595238095238094,0.09849347043749072,0.425,0.11180339887498948,0.5,0.08838834764831845,0.43880952380952376,0.10480112902059276,-0.07644214641548375,0.17016365196234717
zz_full_r1_robust,ZZFeatureMap,0.1,robust_atan,1,full,0.6375,0.10269797953221864,0.6375,0.10269797953221864,0.6722222222222223,0.12171612389003691,0.575,0.18957188610128875,0.7,0.18957188610128875,0.6008785332314746,0.1514116496431498,0.2857004497277788,0.2036725246446171
zz_full_r1_robust,ZZFeatureMap,1.0,robust_atan,1,full,0.65,0.10458250331675945,0.65,0.10458250331675945,0.6671861471861471,0.11770370917207516,0.65,0.22360679774997896,0.65,0.22360679774997896,0.6335528661225256,0.16347135949116784,0.3122144554805672,0.20173170246450778
zz_full_r1_robust,ZZFeatureMap,10.0,robust_atan,1,full,0.525,0.03423265984407288,0.525,0.03423265984407288,0.54,0.0547722557505166,0.5,0.125,0.55,0.18957188610128875,0.5068376068376068,0.047163691149816736,0.05393598899705937,0.07385489458759964
zz_linear_r1_robust,ZZFeatureMap,0.1,robust_atan,1,linear,0.625,0.14657549249448218,0.625,0.14657549249448218,0.6118686868686869,0.15012408566864666,0.675,0.2592055169165965,0.575,0.22707377655731187,0.6256295149638803,0.19658801409679588,0.2599006529514407,0.2924664170316146
zz_linear_r1_robust,ZZFeatureMap,1.0,robust_atan,1,linear,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
zz_linear_r1_robust,ZZFeatureMap,10.0,robust_atan,1,linear,0.5125,0.12022115038544591,0.5125,0.12022115038544591,0.5,0.12422599874998831,0.525,0.18540496217739158,0.5,0.08838834764831845,0.5100840336134453,0.1552803842739726,0.02395311665241322,0.2441316664645436
zz_ring_r1_robust,ZZFeatureMap,0.1,robust_atan,1,ring,0.6,0.15687375497513917,0.6,0.15687375497513917,0.5952020202020203,0.15847745281493236,0.65,0.24044230077089182,0.55,0.2592055169165965,0.6056295149638803,0.19216743489654026,0.20216562603247817,0.31312941905437236
zz_ring_r1_robust,ZZFeatureMap,1.0,robust_atan,1,ring,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6283333333333333,0.15496415356103777,0.675,0.24366985862022408,0.6,0.24044230077089182,0.6361764705882352,0.1973879068603293,0.27723267255127765,0.3113414668311104
zz_ring_r1_robust,ZZFeatureMap,10.0,robust_atan,1,ring,0.4625,0.08385254915624211,0.4625,0.08385254915624211,0.45595238095238094,0.09849347043749072,0.425,0.11180339887498948,0.5,0.08838834764831845,0.43880952380952376,0.10480112902059276,-0.07644214641548375,0.17016365196234717
zz_ring_r2_robust,ZZFeatureMap,0.1,robust_atan,2,ring,0.5,0.16535945694153692,0.5,0.16535945694153692,0.49852924852924846,0.1695872763460524,0.6,0.24044230077089182,0.4,0.2053959590644373,0.5371001031991745,0.1798273745584251,0.009388888327444079,0.3361964628133662
zz_ring_r2_robust,ZZFeatureMap,1.0,robust_atan,2,ring,0.5125,0.17343046156889508,0.5125,0.17343046156889508,0.5128571428571428,0.1759010206343803,0.55,0.18957188610128875,0.475,0.18540496217739158,0.5284313725490196,0.17511736054828464,0.027232672551277655,0.34912811008225036
zz_ring_r2_robust,ZZFeatureMap,10.0,robust_atan,2,ring,0.4,0.12183492931011204,0.4,0.12183492931011204,0.4111111111111111,0.10829771494232185,0.425,0.11180339887498948,0.375,0.1767766952966369,0.4151260504201681,0.10216220447347316,-0.20158105227158787,0.24559613253766904
