map,C,noise_level,kernel_mae,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r2_reupload_robust,1.0,0.01,0.0006724805446024658,0.6625,0.12183492931011204,0.6625,0.12183492931011204,0.6814285714285714,0.13735846147498706,0.675,0.18957188610128875,0.65,0.22360679774997896,0.6599999999999999,0.13231089463648174,0.33864251843700166,0.2449991260317516
custom_water_domain_r2_reupload_robust,1.0,0.03,0.0020174416338073937,0.6625,0.12183492931011204,0.6625,0.12183492931011204,0.6814285714285714,0.13735846147498706,0.675,0.18957188610128875,0.65,0.22360679774997896,0.6599999999999999,0.13231089463648174,0.33864251843700166,0.2449991260317516
custom_water_domain_r2_reupload_robust,1.0,0.05,0.0033624027230123223,0.6625,0.1505199322349037,0.6625,0.1505199322349037,0.655,0.14186260959111108,0.7,0.2091650066335189,0.625,0.19764235376052372,0.6673076923076924,0.16595907761570763,0.3318873283468263,0.30135907068196105
pauli_xz_xxzz_linear_r1_robust,0.1,0.01,0.0026869718447192505,0.7,0.12022115038544591,0.7,0.12022115038544591,0.7064102564102563,0.10818435363823921,0.7,0.28777161083053343,0.7,0.2091650066335189,0.6751082251082251,0.19533605218183603,0.4281025230440697,0.2318681765717135
pauli_xz_xxzz_linear_r1_robust,0.1,0.03,0.008060915534157762,0.7,0.12022115038544591,0.7,0.12022115038544591,0.7064102564102563,0.10818435363823921,0.7,0.28777161083053343,0.7,0.2091650066335189,0.6751082251082251,0.19533605218183603,0.4281025230440697,0.2318681765717135
pauli_xz_xxzz_linear_r1_robust,0.1,0.05,0.013434859223596263,0.7,0.12022115038544591,0.7,0.12022115038544591,0.7064102564102563,0.10818435363823921,0.7,0.28777161083053343,0.7,0.2091650066335189,0.6751082251082251,0.19533605218183603,0.4281025230440697,0.2318681765717135
custom_water_domain_r1_robust,1.0,0.01,0.0015394870387778798,0.675,0.1354967711792425,0.675,0.1354967711792425,0.6840909090909091,0.1327271862459937,0.7,0.2592055169165965,0.65,0.2561737691489899,0.664043062200957,0.19005422215223253,0.3667286521785097,0.25846017851539793
custom_water_domain_r1_robust,1.0,0.03,0.00461846111633364,0.675,0.1354967711792425,0.675,0.1354967711792425,0.6840909090909091,0.1327271862459937,0.7,0.2592055169165965,0.65,0.2561737691489899,0.664043062200957,0.19005422215223253,0.3667286521785097,0.25846017851539793
custom_water_domain_r1_robust,1.0,0.05,0.007697435193889395,0.675,0.1354967711792425,0.675,0.1354967711792425,0.6840909090909091,0.1327271862459937,0.7,0.2592055169165965,0.65,0.2561737691489899,0.664043062200957,0.19005422215223253,0.3667286521785097,0.25846017851539793
pauli_z_zz_linear_r1_robust,1.0,0.01,0.0010860704809921263,0.625,0.1711632992203644,0.625,0.1711632992203644,0.6131818181818182,0.1637341879312951,0.675,0.2592055169165965,0.575,0.24366985862022408,0.6276315789473684,0.2070737546344731,0.25557576694649153,0.34799065548999003
pauli_z_zz_linear_r1_robust,1.0,0.03,0.0032582114429763765,0.625,0.1711632992203644,0.625,0.1711632992203644,0.6131818181818182,0.1637341879312951,0.675,0.2592055169165965,0.575,0.24366985862022408,0.6276315789473684,0.2070737546344731,0.25557576694649153,0.34799065548999003
pauli_z_zz_linear_r1_robust,1.0,0.05,0.005430352404960625,0.625,0.1711632992203644,0.625,0.1711632992203644,0.6131818181818182,0.1637341879312951,0.675,0.2592055169165965,0.575,0.24366985862022408,0.6276315789473684,0.2070737546344731,0.25557576694649153,0.34799065548999003
pauli_z_zz_ring_r1_robust,1.0,0.01,0.001082532462122063,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6222727272727273,0.15367737483829585,0.7,0.2592055169165965,0.575,0.24366985862022408,0.6423684210526316,0.20058096982013485,0.28254376144502125,0.31370692718105736
pauli_z_zz_ring_r1_robust,1.0,0.03,0.0032475973863661843,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6222727272727273,0.15367737483829585,0.7,0.2592055169165965,0.575,0.24366985862022408,0.6423684210526316,0.20058096982013485,0.28254376144502125,0.31370692718105736
pauli_z_zz_ring_r1_robust,1.0,0.05,0.005412662310610307,0.6375,0.15562374497485915,0.6375,0.15562374497485915,0.6222727272727273,0.15367737483829585,0.7,0.2592055169165965,0.575,0.24366985862022408,0.6423684210526316,0.20058096982013485,0.28254376144502125,0.31370692718105736
zz_linear_r1_robust,1.0,0.01,0.0010860704809921263,0.625,0.1711632992203644,0.625,0.1711632992203644,0.6131818181818182,0.1637341879312951,0.675,0.2592055169165965,0.575,0.24366985862022408,0.6276315789473684,0.2070737546344731,0.25557576694649153,0.34799065548999003
zz_linear_r1_robust,1.0,0.03,0.0032582114429763765,0.625,0.1711632992203644,0.625,0.1711632992203644,0.6131818181818182,0.1637341879312951,0.675,0.2592055169165965,0.575,0.24366985862022408,0.6276315789473684,0.2070737546344731,0.25557576694649153,0.34799065548999003
zz_linear_r1_robust,1.0,0.05,0.005430352404960625,0.625,0.1711632992203644,0.625,0.1711632992203644,0.6131818181818182,0.1637341879312951,0.675,0.2592055169165965,0.575,0.24366985862022408,0.6276315789473684,0.2070737546344731,0.25557576694649153,0.34799065548999003
