map,C,shots,repeats,kernel_mae_mean,kernel_mae_std,f1_mean,f1_std_across_repeats,balanced_accuracy_mean,accuracy_mean
custom_water_domain_r2_reupload_robust,1.0,256,20,0.0072382747537752,0.00011985173284890685,0.6473294339819107,0.018618763033400217,0.6506250000000001,0.6506250000000001
custom_water_domain_r2_reupload_robust,1.0,1024,20,0.0036339702513993382,6.509028422741369e-05,0.6510733385121931,0.018080223930574364,0.6537499999999999,0.6537499999999999
custom_water_domain_r2_reupload_robust,1.0,4096,20,0.0018055652032485867,2.627919190307046e-05,0.6437491453335107,0.016930435457977185,0.6487499999999999,0.6487499999999999
pauli_xz_xxzz_linear_r1_robust,0.1,256,20,0.013880525844605165,0.0002024732166809985,0.6582847694101565,0.01380067043068393,0.686875,0.686875
pauli_xz_xxzz_linear_r1_robust,0.1,1024,20,0.006954767562380347,6.906150809430694e-05,0.6606977973007386,0.010619915358716347,0.685625,0.685625
pauli_xz_xxzz_linear_r1_robust,0.1,4096,20,0.003473961658583216,5.326840106520525e-05,0.6659491341991343,0.009402228554606084,0.6924999999999999,0.6924999999999999
custom_water_domain_r1_robust,1.0,256,20,0.010286999564721577,0.00017130179531809532,0.6531570942817073,0.024348814575602607,0.6625,0.6625
custom_water_domain_r1_robust,1.0,1024,20,0.005126965202746357,8.496273141737117e-05,0.6539550506253293,0.012008756181676497,0.66125,0.66125
custom_water_domain_r1_robust,1.0,4096,20,0.0025692970150716365,4.278696426120257e-05,0.6591335960221409,0.006976985579443964,0.669375,0.669375
pauli_z_zz_linear_r1_robust,1.0,256,20,0.00917981975544718,0.00013342747120214795,0.6382551930353788,0.011744966031006662,0.639375,0.639375
pauli_z_zz_linear_r1_robust,1.0,1024,20,0.0045486478535920255,7.169070590429528e-05,0.6396751342912335,0.009782849964029474,0.6387499999999999,0.6387499999999999
pauli_z_zz_linear_r1_robust,1.0,4096,20,0.0022959847428960204,2.552693348146904e-05,0.6371651186790508,0.009470949929930236,0.6362499999999999,0.6362499999999999
pauli_z_zz_ring_r1_robust,1.0,256,20,0.009391812028868676,0.00012322054614212269,0.6436145737647287,0.019669904642761107,0.64375,0.64375
pauli_z_zz_ring_r1_robust,1.0,1024,20,0.0046902079117863175,5.704132898296137e-05,0.6402239422084623,0.01047561719193608,0.64,0.64
pauli_z_zz_ring_r1_robust,1.0,4096,20,0.002343458914766887,3.9872827469509606e-05,0.6461953904368766,0.010819413799227845,0.6443749999999999,0.6443749999999999
zz_linear_r1_robust,1.0,256,20,0.009138950186899255,0.00015616743154067556,0.6391372549019609,0.014553181711995777,0.641875,0.641875
zz_linear_r1_robust,1.0,1024,20,0.004567863677386099,6.777561913595779e-05,0.6382289698605488,0.0091417169041267,0.6374999999999998,0.6374999999999998
zz_linear_r1_robust,1.0,4096,20,0.002297620849275479,3.102536165412811e-05,0.6377499140006881,0.010664774144897657,0.6368749999999999,0.6368749999999999
zz_ring_r1_robust,1.0,256,20,0.009400165071005528,0.00013516444754357648,0.6510625732196941,0.0192643405421262,0.6525,0.6525
zz_ring_r1_robust,1.0,1024,20,0.004712399119999934,6.851968316214933e-05,0.6471496388028897,0.014506090648099955,0.6481250000000001,0.6481250000000001
zz_ring_r1_robust,1.0,4096,20,0.0023548872295094006,3.66007931193085e-05,0.6418345373237015,0.013123656372025064,0.640625,0.640625
zz_full_r1_robust,1.0,256,20,0.01151923389099849,0.00014318275733116195,0.6616498766970903,0.016747486575412498,0.6825000000000001,0.6825000000000001
zz_full_r1_robust,1.0,1024,20,0.005772857255802453,5.547155287123529e-05,0.667526372750057,0.012330557441295222,0.690625,0.690625
zz_full_r1_robust,1.0,4096,20,0.0028726050337560785,4.416717163575369e-05,0.6711176236044658,0.005639246469480515,0.6918749999999999,0.6918749999999999
pauli_z_zz_ring_r1_minmax,0.1,256,20,0.011634197660875298,0.0001603857064487286,0.6041178469307424,0.011910260127846095,0.5987500000000001,0.5987500000000001
pauli_z_zz_ring_r1_minmax,0.1,1024,20,0.00584432161670736,0.00010851387194664117,0.5968871376301716,0.01088561320721451,0.593125,0.593125
pauli_z_zz_ring_r1_minmax,0.1,4096,20,0.002898770851312164,4.692462632536047e-05,0.5934046345811049,0.005041487234483011,0.5906250000000001,0.5906250000000001
zz_ring_r2_robust,0.1,256,20,0.006062837373823955,7.693978438298633e-05,0.592654442478746,0.02032225742974625,0.540625,0.540625
zz_ring_r2_robust,0.1,1024,20,0.0030139635936717248,5.14762889818318e-05,0.5958306673546611,0.012850363807856846,0.543125,0.543125
zz_ring_r2_robust,0.1,4096,20,0.0015067090298215538,2.2913039420936356e-05,0.5961222910216717,0.006820120662003696,0.5431250000000001,0.5431250000000001
