map,family,C,scaling,reps,topology,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std
custom_water_domain_r1_robust,custom_water_domain,10.0,robust_atan,1,domain,0.625,0.15309310892394862,0.625,0.15309310892394862,0.6288888888888888,0.15634880348026411,0.625,0.1767766952966369,0.625,0.1767766952966369,0.6230065359477124,0.1537812801702613,0.2544653451025553,0.3111864601088462
zz_ring_r2_robust,ZZFeatureMap,0.1,robust_atan,2,ring,0.625,0.15934435979977452,0.625,0.15934435979977452,0.6088888888888888,0.1546401637573938,0.625,0.2651650429449553,0.625,0.15309310892394862,0.6071967248437836,0.20588030145446817,0.25393949701950935,0.3263105145440234
custom_water_domain_r2_reupload_robust,custom_water_domain,1.0,robust_atan,2,domain,0.6,0.12960275845829825,0.6,0.12960275845829825,0.5898412698412698,0.11391363593752475,0.625,0.19764235376052372,0.575,0.14252192813739223,0.601531279178338,0.15017125763371827,0.2028255671531231,0.26156931486230806
pauli_z_zz_linear_r1_robust,PauliFeatureMap,1.0,robust_atan,1,linear,0.5875,0.14388580541526672,0.5875,0.14388580541526672,0.5888888888888888,0.1375101636226257,0.575,0.18957188610128875,0.6,0.16298006013006622,0.5767693744164332,0.15370683761294426,0.17762793561917462,0.290465005498273
zz_linear_r1_robust,ZZFeatureMap,1.0,robust_atan,1,linear,0.5875,0.14388580541526672,0.5875,0.14388580541526672,0.5888888888888888,0.1375101636226257,0.575,0.18957188610128875,0.6,0.16298006013006622,0.5767693744164332,0.15370683761294426,0.17762793561917462,0.290465005498273
pauli_z_zz_ring_r1_robust,PauliFeatureMap,1.0,robust_atan,1,ring,0.5875,0.12960275845829825,0.5875,0.12960275845829825,0.578932178932179,0.11530091715925204,0.575,0.22707377655731187,0.6,0.13693063937629152,0.5691169099218635,0.16538875129934588,0.17815378370222057,0.26085742161338965
zz_ring_r1_robust,ZZFeatureMap,1.0,robust_atan,1,ring,0.5875,0.12960275845829825,0.5875,0.12960275845829825,0.578932178932179,0.11530091715925204,0.575,0.22707377655731187,0.6,0.13693063937629152,0.5691169099218635,0.16538875129934588,0.17815378370222057,0.26085742161338965
zz_full_r1_robust,ZZFeatureMap,1.0,robust_atan,1,full,0.5625,0.15309310892394862,0.5625,0.15309310892394862,0.5457142857142856,0.13775255099678715,0.6,0.22360679774997896,0.525,0.10458250331675945,0.5688888888888888,0.1749713380408416,0.12972170231434818,0.3122770200277661
pauli_xz_xxzz_linear_r1_robust,PauliFeatureMap,10.0,robust_atan,1,linear,0.55,0.1202211503854459,0.55,0.1202211503854459,0.5551948051948052,0.11665743002092002,0.575,0.14252192813739223,0.525,0.2053959590644373,0.5587552213868003,0.11750660859616337,0.09822963703541879,0.2428011151613
pauli_z_zz_ring_r1_minmax,PauliFeatureMap,1.0,minmax,1,ring,0.5125,0.1843485150469078,0.5125,0.1843485150469078,0.48571428571428577,0.19606949703979493,0.525,0.2850438562747845,0.5,0.23385358667337133,0.49568627450980385,0.2415961596227947,0.010518103831817237,0.3855790913343885
