map,C,shots,repeats,kernel_mae_mean,kernel_mae_std,f1_mean,f1_std_across_repeats,balanced_accuracy_mean,accuracy_mean
custom_water_domain_r1_robust,10.0,256,20,0.009920978163934922,0.00014796006337035154,0.5393702274677508,0.0664000454181717,0.55125,0.55125
custom_water_domain_r1_robust,10.0,1024,20,0.004991236374442598,8.120373115598438e-05,0.5581868812302249,0.04638513189970894,0.5850000000000001,0.5850000000000001
custom_water_domain_r1_robust,10.0,4096,20,0.0024862772169074133,2.7251234388011814e-05,0.5919097479747635,0.03647646023987945,0.604375,0.604375
zz_ring_r2_robust,0.1,256,20,0.006013736123970928,8.75961650579472e-05,0.5941643907348243,0.02213482426700712,0.6075000000000002,0.6075000000000002
zz_ring_r2_robust,0.1,1024,20,0.0030081548254902264,4.786869711795146e-05,0.5957074870434004,0.01435176754352862,0.6137499999999999,0.6137499999999999
zz_ring_r2_robust,0.1,4096,20,0.0015029749489747005,2.7751758319113225e-05,0.610860243557612,0.015213393207973488,0.625,0.625
custom_water_domain_r2_reupload_robust,1.0,256,20,0.007040171546221258,0.00011710226261889253,0.5884321408725433,0.027410339523128022,0.6012500000000001,0.6012500000000001
custom_water_domain_r2_reupload_robust,1.0,1024,20,0.0035473863705183075,5.183229575794316e-05,0.5824073787409699,0.02030677532505957,0.596875,0.596875
custom_water_domain_r2_reupload_robust,1.0,4096,20,0.001759329134661565,2.7898695314165744e-05,0.5792551249919671,0.016493665044919375,0.5956250000000001,0.5956250000000001
pauli_z_zz_linear_r1_robust,1.0,256,20,0.00873825635308604,8.88878902901348e-05,0.5588994819250236,0.02763364245690968,0.5662499999999999,0.5662499999999999
pauli_z_zz_linear_r1_robust,1.0,1024,20,0.004350613049350334,9.937760145231438e-05,0.5567463851937536,0.015696943059433983,0.56375,0.56375
pauli_z_zz_linear_r1_robust,1.0,4096,20,0.002180465210176024,3.176586564542455e-05,0.5616269482151834,0.010572090277744313,0.5706249999999999,0.5706249999999999
zz_linear_r1_robust,1.0,256,20,0.008785655755502081,0.00015773490185256548,0.5549840523253835,0.021729500352749995,0.5575000000000001,0.5575000000000001
zz_linear_r1_robust,1.0,1024,20,0.004376298178601732,5.091625191818013e-05,0.5561739454216235,0.015114903540473337,0.56625,0.56625
zz_linear_r1_robust,1.0,4096,20,0.002194218012134251,2.57721530730365e-05,0.5657242153271564,0.011565537347214484,0.5737499999999999,0.5737499999999999
pauli_z_zz_ring_r1_robust,1.0,256,20,0.009108268713481114,0.00016675061643324095,0.571140768588137,0.024988137928636876,0.5856250000000001,0.5856250000000001
pauli_z_zz_ring_r1_robust,1.0,1024,20,0.004554937159884735,5.307930278393511e-05,0.5709782081523567,0.014794600098330252,0.585,0.585
pauli_z_zz_ring_r1_robust,1.0,4096,20,0.002270593961748066,3.168311204809339e-05,0.5703995556387197,0.00935786284680713,0.5875000000000001,0.5875000000000001
zz_ring_r1_robust,1.0,256,20,0.009064309823248956,0.00016432074030659177,0.5784785984569266,0.02032898348561045,0.5868749999999999,0.5868749999999999
zz_ring_r1_robust,1.0,1024,20,0.004548918981768552,6.467045346328159e-05,0.5670035458177872,0.01642889622043652,0.5824999999999999,0.5824999999999999
zz_ring_r1_robust,1.0,4096,20,0.0022637564036163595,3.7052400343669196e-05,0.5635546605956823,0.016248234891310227,0.581875,0.581875
zz_full_r1_robust,1.0,256,20,0.011353920036063824,0.00017197227401983384,0.5428938271910408,0.028364379624708825,0.5599999999999999,0.5599999999999999
zz_full_r1_robust,1.0,1024,20,0.005687231333605505,0.00011637097704552638,0.5421193160125048,0.01751225012416241,0.5543750000000001,0.5543750000000001
zz_full_r1_robust,1.0,4096,20,0.002867250640761377,3.869241411103487e-05,0.5394246031746033,0.010685685532735249,0.5531250000000002,0.5531250000000002
pauli_xz_xxzz_linear_r1_robust,10.0,256,20,0.014065298581513263,0.00014763092269706515,0.491556224649104,0.0651242389486224,0.5025,0.5025
pauli_xz_xxzz_linear_r1_robust,10.0,1024,20,0.006995184152890355,7.812959469803555e-05,0.5392093760212956,0.043217164110524044,0.5331250000000001,0.5331250000000001
pauli_xz_xxzz_linear_r1_robust,10.0,4096,20,0.0034999857488867076,3.828889932032956e-05,0.5773694953996811,0.03861005890291062,0.565625,0.565625
pauli_z_zz_ring_r1_minmax,1.0,256,20,0.011446591012525178,0.00019660777820671842,0.54015075816856,0.034143388005861634,0.5187499999999999,0.5187499999999999
pauli_z_zz_ring_r1_minmax,1.0,1024,20,0.00574664282321465,8.650382636820567e-05,0.5521449485327194,0.021527440304714863,0.5268750000000001,0.5268750000000001
pauli_z_zz_ring_r1_minmax,1.0,4096,20,0.0028427532826431857,3.184303057596912e-05,0.5617316651356898,0.01481698198911662,0.5293749999999999,0.5293749999999999
