position,source_index,Potability,validation_fold,selection_priority,Sulfate,ph,Conductivity,Chloramines,Hardness
6,2696,0,0,aab93df9d9e21e2ec54af6839774132757fa5d2ce26eec9b1610e16b84989ff6,,7.889079734906216,453.1669866413552,7.296281894131476,208.4023672254965
12,1735,0,0,52625296aeb908e3c505e3a0a8ed4e84d972bdc4219e3417375204ea5aedf7a2,,6.352973105397818,403.5604822630333,9.179441914873149,244.84671672623384
22,1410,0,0,54d9a5ebe456f8bc0019f655aeb4208dd076e094abcffffb745d1a77fa08c6c5,278.9492729760097,6.381977105096429,525.0754779310331,6.171162004840066,211.91727649843523
33,206,0,0,321482498116b6b6b76ddcacb80fc4cd3a4530bd33d33a83ca790d105c928093,258.3128793986873,7.895469245942458,407.7322172196032,7.205262042399628,154.26578033555626
48,130,0,0,797a4e259a8c55b34eea85f45ecd8c299ccfda1155b3990b05d6acc41ad6e450,240.93672213751188,6.643935774662305,437.9090051656054,3.749625148300965,151.8896001137799
54,2109,0,0,be0e3616a3aa0c8a99e60e6d87b919e9b45fb59138cb1f2e1359b285b581fab7,396.5287539986979,,534.3390860240023,8.671792922162801,180.6805980896203
68,1029,0,0,13858a28ab392f6b01b87b38e988e0325e16b4ed3bb217a2a4fa04218f09e2f4,354.05764852081126,,367.758689247449,7.53304200193721,178.77771608491037
9,2407,1,0,939437ad634fb2130ddf06edfda48acfe7098a82c121cd63531c4a506374d6b7,329.6193364555097,5.916930488243061,428.8327463475267,6.7746097430471695,185.9250211478212
13,1980,1,0,678e0b73fca988a8aa70ae75561f9ad05580d3af3d7ae7d84675809dac3e8156,342.2624978595313,7.776044112626788,349.43109890592496,7.764668384049106,215.5337952086968
40,1953,1,0,08dc79000a13cb936a6994961ae55d28080640b6a62cf31c71c9202f3475a284,317.50143972779523,6.277742483390635,605.3983749480118,8.257751124841384,149.5632817423873
51,3238,1,0,5f8b581d7dc18e361af791a229a2f0ecb75803c9e7cb76c0c0298e1e077036a1,,9.186453377063309,498.6353223340039,7.442479684166754,169.1198051240283
53,3125,1,0,c1b592cb5f513f635934bbdcaef7da39a14bba7272ca931cbca799a1f45c3404,,6.103731304612343,334.94973918912626,7.2755305858207535,184.32869274587483
62,2787,1,0,1682ee22d7fd29f9357a3897c8331019f36a97d795fcdebb05b5e294d7bfc5fa,343.4866326741927,5.376078292034362,347.56506646308213,9.649943357503718,185.5404778027724
75,395,1,0,25a09c7001d772f293f85f07ea8ecfb522af11b47f7847b1c89b78e05ea855dd,320.10087527999696,7.146976296126542,520.1113581748348,6.890505480307937,196.5626845593928
4,1341,0,1,dc455861fa0a6f6d4ddab68a2c522373a03dad0633bf02544bc18110c568a093,239.9119021206672,,362.500414204749,6.951665550292708,194.4453158082077
