map,result_kind,repeat,C,fold,n_train,n_valid,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,0,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,1,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,1,0
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,0,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,1,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,1,0
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,0,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,1,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,1,0
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
zz_ring_r2_robust,local_binomial_preview,0,0.1,0,12,4,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,1,1,1
zz_ring_r2_robust,local_binomial_preview,0,0.1,1,12,4,0.75,0.75,0.6666666666666666,1.0,0.5,0.8,0.5773502691896258,1,1,0,2
zz_ring_r2_robust,local_binomial_preview,0,0.1,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
zz_ring_r2_robust,local_binomial_preview,0,0.1,3,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
zz_ring_r2_robust,local_binomial_preview,0,0.1,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
zz_ring_r2_robust,local_binomial_preview,1,0.1,0,12,4,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,1,1,1
zz_ring_r2_robust,local_binomial_preview,1,0.1,1,12,4,0.75,0.75,0.6666666666666666,1.0,0.5,0.8,0.5773502691896258,1,1,0,2
zz_ring_r2_robust,local_binomial_preview,1,0.1,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
zz_ring_r2_robust,local_binomial_preview,1,0.1,3,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
zz_ring_r2_robust,local_binomial_preview,1,0.1,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
zz_ring_r2_robust,local_binomial_preview,2,0.1,0,12,4,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,1,1,1
zz_ring_r2_robust,local_binomial_preview,2,0.1,1,12,4,0.75,0.75,0.6666666666666666,1.0,0.5,0.8,0.5773502691896258,1,1,0,2
zz_ring_r2_robust,local_binomial_preview,2,0.1,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
zz_ring_r2_robust,local_binomial_preview,2,0.1,3,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
zz_ring_r2_robust,local_binomial_preview,2,0.1,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,0,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,1,12,4,0.25,0.25,0.0,0.0,0.5,0.0,-0.5773502691896258,1,1,2,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,1,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,0,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,1,12,4,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,1,1,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,1,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,2,1.0,0,12,4,0.5,0.5,0.0,0.0,1.0,0.0,0.0,2,0,2,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,2,1.0,1,12,4,0.25,0.25,0.0,0.0,0.5,0.0,-0.5773502691896258,1,1,2,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,2,1.0,2,12,4,0.75,0.75,1.0,0.5,1.0,0.6666666666666666,0.5773502691896258,2,0,1,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,2,1.0,3,14,2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,1,1,0
pauli_z_zz_linear_r1_robust,local_binomial_preview,2,1.0,4,14,2,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0,1,0,1
