map,map_tag,pair_index,i,j,source_index_i,source_index_j,circuit_name,exact_fidelity,shots
custom_water_domain_r1_robust,custom-r1,0,0,1,206,1029,tq-pilot32-strict-v1-custom-r1-p0000,0.10845114822804437,4096
custom_water_domain_r1_robust,custom-r1,1,0,2,206,1953,tq-pilot32-strict-v1-custom-r1-p0001,0.049147878923519885,4096
custom_water_domain_r1_robust,custom-r1,2,0,3,206,2787,tq-pilot32-strict-v1-custom-r1-p0002,0.04648937483802061,4096
custom_water_domain_r1_robust,custom-r1,3,0,4,206,3034,tq-pilot32-strict-v1-custom-r1-p0003,0.3322578234395333,4096
custom_water_domain_r1_robust,custom-r1,4,0,5,206,1321,tq-pilot32-strict-v1-custom-r1-p0004,0.10380469702691301,4096
custom_water_domain_r1_robust,custom-r1,5,0,6,206,802,tq-pilot32-strict-v1-custom-r1-p0005,0.08251707959444751,4096
custom_water_domain_r1_robust,custom-r1,6,0,7,206,3138,tq-pilot32-strict-v1-custom-r1-p0006,0.31824408579120517,4096
custom_water_domain_r1_robust,custom-r1,7,0,8,206,1770,tq-pilot32-strict-v1-custom-r1-p0007,0.06462488641859734,4096
custom_water_domain_r1_robust,custom-r1,8,0,9,206,2251,tq-pilot32-strict-v1-custom-r1-p0008,0.16507065213523334,4096
custom_water_domain_r1_robust,custom-r1,9,0,10,206,1579,tq-pilot32-strict-v1-custom-r1-p0009,0.0001255058717522962,4096
custom_water_domain_r1_robust,custom-r1,10,0,11,206,2717,tq-pilot32-strict-v1-custom-r1-p0010,1.808231338962171e-05,4096
custom_water_domain_r1_robust,custom-r1,11,0,12,206,2097,tq-pilot32-strict-v1-custom-r1-p0011,0.32445031468096075,4096
custom_water_domain_r1_robust,custom-r1,12,0,13,206,1152,tq-pilot32-strict-v1-custom-r1-p0012,0.2801786830850984,4096
custom_water_domain_r1_robust,custom-r1,13,0,14,206,1775,tq-pilot32-strict-v1-custom-r1-p0013,0.06584007882692389,4096
custom_water_domain_r1_robust,custom-r1,14,0,15,206,304,tq-pilot32-strict-v1-custom-r1-p0014,0.23466000795902678,4096
custom_water_domain_r1_robust,custom-r1,15,1,2,1029,1953,tq-pilot32-strict-v1-custom-r1-p0015,0.04657984960708482,4096
custom_water_domain_r1_robust,custom-r1,16,1,3,1029,2787,tq-pilot32-strict-v1-custom-r1-p0016,0.49524133723342445,4096
custom_water_domain_r1_robust,custom-r1,17,1,4,1029,3034,tq-pilot32-strict-v1-custom-r1-p0017,0.6227370728821395,4096
custom_water_domain_r1_robust,custom-r1,18,1,5,1029,1321,tq-pilot32-strict-v1-custom-r1-p0018,0.06926772470356604,4096
custom_water_domain_r1_robust,custom-r1,19,1,6,1029,802,tq-pilot32-strict-v1-custom-r1-p0019,0.023927391486979685,4096
custom_water_domain_r1_robust,custom-r1,20,1,7,1029,3138,tq-pilot32-strict-v1-custom-r1-p0020,0.5116530679090769,4096
custom_water_domain_r1_robust,custom-r1,21,1,8,1029,1770,tq-pilot32-strict-v1-custom-r1-p0021,0.7931332375615805,4096
custom_water_domain_r1_robust,custom-r1,22,1,9,1029,2251,tq-pilot32-strict-v1-custom-r1-p0022,0.6660706790756271,4096
custom_water_domain_r1_robust,custom-r1,23,1,10,1029,1579,tq-pilot32-strict-v1-custom-r1-p0023,0.45239676295403985,4096
custom_water_domain_r1_robust,custom-r1,24,1,11,1029,2717,tq-pilot32-strict-v1-custom-r1-p0024,0.14688286821164276,4096
custom_water_domain_r1_robust,custom-r1,25,1,12,1029,2097,tq-pilot32-strict-v1-custom-r1-p0025,0.2451448742382116,4096
custom_water_domain_r1_robust,custom-r1,26,1,13,1029,1152,tq-pilot32-strict-v1-custom-r1-p0026,0.6068516520791595,4096
custom_water_domain_r1_robust,custom-r1,27,1,14,1029,1775,tq-pilot32-strict-v1-custom-r1-p0027,0.07735059229003781,4096
custom_water_domain_r1_robust,custom-r1,28,1,15,1029,304,tq-pilot32-strict-v1-custom-r1-p0028,0.2396945975446862,4096
custom_water_domain_r1_robust,custom-r1,29,2,3,1953,2787,tq-pilot32-strict-v1-custom-r1-p0029,0.02184786370415818,4096
custom_water_domain_r1_robust,custom-r1,30,2,4,1953,3034,tq-pilot32-strict-v1-custom-r1-p0030,0.18439681420237528,4096
custom_water_domain_r1_robust,custom-r1,31,2,5,1953,1321,tq-pilot32-strict-v1-custom-r1-p0031,0.008551193805770485,4096
custom_water_domain_r1_robust,custom-r1,32,2,6,1953,802,tq-pilot32-strict-v1-custom-r1-p0032,0.002754592006438977,4096
custom_water_domain_r1_robust,custom-r1,33,2,7,1953,3138,tq-pilot32-strict-v1-custom-r1-p0033,0.05029179116923547,4096
custom_water_domain_r1_robust,custom-r1,34,2,8,1953,1770,tq-pilot32-strict-v1-custom-r1-p0034,0.007620149785969676,4096
custom_water_domain_r1_robust,custom-r1,35,2,9,1953,2251,tq-pilot32-strict-v1-custom-r1-p0035,4.5507625261213766e-05,4096
custom_water_domain_r1_robust,custom-r1,36,2,10,1953,1579,tq-pilot32-strict-v1-custom-r1-p0036,0.06407790859371038,4096
custom_water_domain_r1_robust,custom-r1,37,2,11,1953,2717,tq-pilot32-strict-v1-custom-r1-p0037,0.0010984769087533082,4096
custom_water_domain_r1_robust,custom-r1,38,2,12,1953,2097,tq-pilot32-strict-v1-custom-r1-p0038,0.0004844854907105476,4096
custom_water_domain_r1_robust,custom-r1,39,2,13,1953,1152,tq-pilot32-strict-v1-custom-r1-p0039,0.2359431249787903,4096
custom_water_domain_r1_robust,custom-r1,40,2,14,1953,1775,tq-pilot32-strict-v1-custom-r1-p0040,0.850311788940129,4096
custom_water_domain_r1_robust,custom-r1,41,2,15,1953,304,tq-pilot32-strict-v1-custom-r1-p0041,0.08313912420495741,4096
custom_water_domain_r1_robust,custom-r1,42,3,4,2787,3034,tq-pilot32-strict-v1-custom-r1-p0042,0.19316738769097425,4096
custom_water_domain_r1_robust,custom-r1,43,3,5,2787,1321,tq-pilot32-strict-v1-custom-r1-p0043,0.07072071193339027,4096
custom_water_domain_r1_robust,custom-r1,44,3,6,2787,802,tq-pilot32-strict-v1-custom-r1-p0044,0.009982656188016957,4096
custom_water_domain_r1_robust,custom-r1,45,3,7,2787,3138,tq-pilot32-strict-v1-custom-r1-p0045,0.06425489363793603,4096
custom_water_domain_r1_robust,custom-r1,46,3,8,2787,1770,tq-pilot32-strict-v1-custom-r1-p0046,0.4662109456204445,4096
custom_water_domain_r1_robust,custom-r1,47,3,9,2787,2251,tq-pilot32-strict-v1-custom-r1-p0047,0.47451701701227617,4096
custom_water_domain_r1_robust,custom-r1,48,3,10,2787,1579,tq-pilot32-strict-v1-custom-r1-p0048,0.43075514783870245,4096
custom_water_domain_r1_robust,custom-r1,49,3,11,2787,2717,tq-pilot32-strict-v1-custom-r1-p0049,0.16945955445723926,4096
custom_water_domain_r1_robust,custom-r1,50,3,12,2787,2097,tq-pilot32-strict-v1-custom-r1-p0050,0.024324965772051087,4096
custom_water_domain_r1_robust,custom-r1,51,3,13,2787,1152,tq-pilot32-strict-v1-custom-r1-p0051,0.3406393786878579,4096
custom_water_domain_r1_robust,custom-r1,52,3,14,2787,1775,tq-pilot32-strict-v1-custom-r1-p0052,0.04622360540861977,4096
custom_water_domain_r1_robust,custom-r1,53,3,15,2787,304,tq-pilot32-strict-v1-custom-r1-p0053,0.06602787383647542,4096
custom_water_domain_r1_robust,custom-r1,54,4,5,3034,1321,tq-pilot32-strict-v1-custom-r1-p0054,0.05418790472033911,4096
custom_water_domain_r1_robust,custom-r1,55,4,6,3034,802,tq-pilot32-strict-v1-custom-r1-p0055,0.0339195607852058,4096
custom_water_domain_r1_robust,custom-r1,56,4,7,3034,3138,tq-pilot32-strict-v1-custom-r1-p0056,0.4994424522487078,4096
custom_water_domain_r1_robust,custom-r1,57,4,8,3034,1770,tq-pilot32-strict-v1-custom-r1-p0057,0.34699006201356253,4096
custom_water_domain_r1_robust,custom-r1,58,4,9,3034,2251,tq-pilot32-strict-v1-custom-r1-p0058,0.5185735762296203,4096
custom_water_domain_r1_robust,custom-r1,59,4,10,3034,1579,tq-pilot32-strict-v1-custom-r1-p0059,0.19024247806073372,4096
custom_water_domain_r1_robust,custom-r1,60,4,11,3034,2717,tq-pilot32-strict-v1-custom-r1-p0060,0.01112996466006321,4096
custom_water_domain_r1_robust,custom-r1,61,4,12,3034,2097,tq-pilot32-strict-v1-custom-r1-p0061,0.1794280076316282,4096
custom_water_domain_r1_robust,custom-r1,62,4,13,3034,1152,tq-pilot32-strict-v1-custom-r1-p0062,0.4922029747396447,4096
custom_water_domain_r1_robust,custom-r1,63,4,14,3034,1775,tq-pilot32-strict-v1-custom-r1-p0063,0.21509777383357762,4096
custom_water_domain_r1_robust,custom-r1,64,4,15,3034,304,tq-pilot32-strict-v1-custom-r1-p0064,0.17489144223515626,4096
custom_water_domain_r1_robust,custom-r1,65,5,6,1321,802,tq-pilot32-strict-v1-custom-r1-p0065,0.3377118994065857,4096
custom_water_domain_r1_robust,custom-r1,66,5,7,1321,3138,tq-pilot32-strict-v1-custom-r1-p0066,0.15901006809800466,4096
custom_water_domain_r1_robust,custom-r1,67,5,8,1321,1770,tq-pilot32-strict-v1-custom-r1-p0067,0.1449521974771563,4096
custom_water_domain_r1_robust,custom-r1,68,5,9,1321,2251,tq-pilot32-strict-v1-custom-r1-p0068,0.05723428291252235,4096
custom_water_domain_r1_robust,custom-r1,69,5,10,1321,1579,tq-pilot32-strict-v1-custom-r1-p0069,6.532250575392329e-05,4096
custom_water_domain_r1_robust,custom-r1,70,5,11,1321,2717,tq-pilot32-strict-v1-custom-r1-p0070,0.00019198749375652936,4096
custom_water_domain_r1_robust,custom-r1,71,5,12,1321,2097,tq-pilot32-strict-v1-custom-r1-p0071,0.24582657177875625,4096
custom_water_domain_r1_robust,custom-r1,72,5,13,1321,1152,tq-pilot32-strict-v1-custom-r1-p0072,0.1908904244905563,4096
custom_water_domain_r1_robust,custom-r1,73,5,14,1321,1775,tq-pilot32-strict-v1-custom-r1-p0073,0.058616880207933285,4096
custom_water_domain_r1_robust,custom-r1,74,5,15,1321,304,tq-pilot32-strict-v1-custom-r1-p0074,0.013874407877715118,4096
custom_water_domain_r1_robust,custom-r1,75,6,7,802,3138,tq-pilot32-strict-v1-custom-r1-p0075,0.14661440247474813,4096
custom_water_domain_r1_robust,custom-r1,76,6,8,802,1770,tq-pilot32-strict-v1-custom-r1-p0076,0.045944409520693494,4096
custom_water_domain_r1_robust,custom-r1,77,6,9,802,2251,tq-pilot32-strict-v1-custom-r1-p0077,0.01572915127319948,4096
custom_water_domain_r1_robust,custom-r1,78,6,10,802,1579,tq-pilot32-strict-v1-custom-r1-p0078,4.1509279334661845e-05,4096
custom_water_domain_r1_robust,custom-r1,79,6,11,802,2717,tq-pilot32-strict-v1-custom-r1-p0079,0.0002995152428215041,4096
custom_water_domain_r1_robust,custom-r1,80,6,12,802,2097,tq-pilot32-strict-v1-custom-r1-p0080,0.22791304202987578,4096
custom_water_domain_r1_robust,custom-r1,81,6,13,802,1152,tq-pilot32-strict-v1-custom-r1-p0081,0.06645222465200774,4096
custom_water_domain_r1_robust,custom-r1,82,6,14,802,1775,tq-pilot32-strict-v1-custom-r1-p0082,0.012878935338430748,4096
custom_water_domain_r1_robust,custom-r1,83,6,15,802,304,tq-pilot32-strict-v1-custom-r1-p0083,0.0026680388831709463,4096
custom_water_domain_r1_robust,custom-r1,84,7,8,3138,1770,tq-pilot32-strict-v1-custom-r1-p0084,0.3873653458186617,4096
custom_water_domain_r1_robust,custom-r1,85,7,9,3138,2251,tq-pilot32-strict-v1-custom-r1-p0085,0.2717419548820467,4096
custom_water_domain_r1_robust,custom-r1,86,7,10,3138,1579,tq-pilot32-strict-v1-custom-r1-p0086,0.07379073509427807,4096
custom_water_domain_r1_robust,custom-r1,87,7,11,3138,2717,tq-pilot32-strict-v1-custom-r1-p0087,0.0487708884278739,4096
custom_water_domain_r1_robust,custom-r1,88,7,12,3138,2097,tq-pilot32-strict-v1-custom-r1-p0088,0.5641961331096554,4096
custom_water_domain_r1_robust,custom-r1,89,7,13,3138,1152,tq-pilot32-strict-v1-custom-r1-p0089,0.5244776287858837,4096
custom_water_domain_r1_robust,custom-r1,90,7,14,3138,1775,tq-pilot32-strict-v1-custom-r1-p0090,0.07035227091865932,4096
custom_water_domain_r1_robust,custom-r1,91,7,15,3138,304,tq-pilot32-strict-v1-custom-r1-p0091,0.2097491758834028,4096
custom_water_domain_r1_robust,custom-r1,92,8,9,1770,2251,tq-pilot32-strict-v1-custom-r1-p0092,0.4644111381933931,4096
custom_water_domain_r1_robust,custom-r1,93,8,10,1770,1579,tq-pilot32-strict-v1-custom-r1-p0093,0.38296068193885624,4096
custom_water_domain_r1_robust,custom-r1,94,8,11,1770,2717,tq-pilot32-strict-v1-custom-r1-p0094,0.3170084688517776,4096
custom_water_domain_r1_robust,custom-r1,95,8,12,1770,2097,tq-pilot32-strict-v1-custom-r1-p0095,0.23120860748835645,4096
custom_water_domain_r1_robust,custom-r1,96,8,13,1770,1152,tq-pilot32-strict-v1-custom-r1-p0096,0.4422554592143276,4096
custom_water_domain_r1_robust,custom-r1,97,8,14,1770,1775,tq-pilot32-strict-v1-custom-r1-p0097,0.04042550882635644,4096
custom_water_domain_r1_robust,custom-r1,98,8,15,1770,304,tq-pilot32-strict-v1-custom-r1-p0098,0.08948112365476674,4096
custom_water_domain_r1_robust,custom-r1,99,9,10,2251,1579,tq-pilot32-strict-v1-custom-r1-p0099,0.18541140867922326,4096
custom_water_domain_r1_robust,custom-r1,100,9,11,2251,2717,tq-pilot32-strict-v1-custom-r1-p0100,0.021776350977336878,4096
custom_water_domain_r1_robust,custom-r1,101,9,12,2251,2097,tq-pilot32-strict-v1-custom-r1-p0101,0.21493731757300533,4096
custom_water_domain_r1_robust,custom-r1,102,9,13,2251,1152,tq-pilot32-strict-v1-custom-r1-p0102,0.33303252377935455,4096
custom_water_domain_r1_robust,custom-r1,103,9,14,2251,1775,tq-pilot32-strict-v1-custom-r1-p0103,0.03212833726596008,4096
custom_water_domain_r1_robust,custom-r1,104,9,15,2251,304,tq-pilot32-strict-v1-custom-r1-p0104,0.17203106563700554,4096
custom_water_domain_r1_robust,custom-r1,105,10,11,1579,2717,tq-pilot32-strict-v1-custom-r1-p0105,0.14272577605448752,4096
custom_water_domain_r1_robust,custom-r1,106,10,12,1579,2097,tq-pilot32-strict-v1-custom-r1-p0106,0.011209716870432448,4096
custom_water_domain_r1_robust,custom-r1,107,10,13,1579,1152,tq-pilot32-strict-v1-custom-r1-p0107,0.21806842477580005,4096
custom_water_domain_r1_robust,custom-r1,108,10,14,1579,1775,tq-pilot32-strict-v1-custom-r1-p0108,0.04662086898127191,4096
custom_water_domain_r1_robust,custom-r1,109,10,15,1579,304,tq-pilot32-strict-v1-custom-r1-p0109,0.022148474125431725,4096
custom_water_domain_r1_robust,custom-r1,110,11,12,2717,2097,tq-pilot32-strict-v1-custom-r1-p0110,0.033953565843956715,4096
custom_water_domain_r1_robust,custom-r1,111,11,13,2717,1152,tq-pilot32-strict-v1-custom-r1-p0111,0.11083317231951846,4096
custom_water_domain_r1_robust,custom-r1,112,11,14,2717,1775,tq-pilot32-strict-v1-custom-r1-p0112,0.003371804324351002,4096
custom_water_domain_r1_robust,custom-r1,113,11,15,2717,304,tq-pilot32-strict-v1-custom-r1-p0113,0.012587690847402886,4096
custom_water_domain_r1_robust,custom-r1,114,12,13,2097,1152,tq-pilot32-strict-v1-custom-r1-p0114,0.25570796132979173,4096
custom_water_domain_r1_robust,custom-r1,115,12,14,2097,1775,tq-pilot32-strict-v1-custom-r1-p0115,0.006268116949774086,4096
custom_water_domain_r1_robust,custom-r1,116,12,15,2097,304,tq-pilot32-strict-v1-custom-r1-p0116,0.1665161616969855,4096
custom_water_domain_r1_robust,custom-r1,117,13,14,1152,1775,tq-pilot32-strict-v1-custom-r1-p0117,0.31464922092468983,4096
custom_water_domain_r1_robust,custom-r1,118,13,15,1152,304,tq-pilot32-strict-v1-custom-r1-p0118,0.4587119669061496,4096
custom_water_domain_r1_robust,custom-r1,119,14,15,1775,304,tq-pilot32-strict-v1-custom-r1-p0119,0.05790328091587188,4096
zz_ring_r2_robust,zz-ring-r2,0,0,1,206,1029,tq-pilot32-strict-v1-zz-ring-r2-p0000,0.11006808949745556,4096
zz_ring_r2_robust,zz-ring-r2,1,0,2,206,1953,tq-pilot32-strict-v1-zz-ring-r2-p0001,0.035887780371801015,4096
zz_ring_r2_robust,zz-ring-r2,2,0,3,206,2787,tq-pilot32-strict-v1-zz-ring-r2-p0002,0.019374410245142464,4096
zz_ring_r2_robust,zz-ring-r2,3,0,4,206,3034,tq-pilot32-strict-v1-zz-ring-r2-p0003,0.021439126865465105,4096
zz_ring_r2_robust,zz-ring-r2,4,0,5,206,1321,tq-pilot32-strict-v1-zz-ring-r2-p0004,0.04884064132476604,4096
zz_ring_r2_robust,zz-ring-r2,5,0,6,206,802,tq-pilot32-strict-v1-zz-ring-r2-p0005,0.0010180541514610757,4096
