map,result_kind,repeat,C,fold,n_train,n_valid,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,0,50,14,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,-0.5222329678670935,4,3,7,0
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,1,50,14,0.5,0.5,0.5,0.7142857142857143,0.2857142857142857,0.5882352941176471,0.0,2,5,2,5
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,2,52,12,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,3,3,3
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,3,52,12,0.9166666666666666,0.9166666666666667,0.8571428571428571,1.0,0.8333333333333334,0.9230769230769231,0.8451542547285166,5,1,0,6
custom_water_domain_r1_robust,local_binomial_preview,0,10.0,4,52,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,4,2,2,4
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,0,50,14,0.42857142857142855,0.4285714285714286,0.3333333333333333,0.14285714285714285,0.7142857142857143,0.2,-0.17407765595569785,5,2,6,1
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,1,50,14,0.6428571428571429,0.6428571428571428,0.625,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.28867513459481287,4,3,2,5
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,2,52,12,0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.5,0.6153846153846154,0.1690308509457033,3,3,2,4
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,3,52,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,5,1,1,5
custom_water_domain_r1_robust,local_binomial_preview,1,10.0,4,52,12,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.19245008972987526,2,4,1,5
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,0,50,14,0.42857142857142855,0.4285714285714286,0.3333333333333333,0.14285714285714285,0.7142857142857143,0.2,-0.17407765595569785,5,2,6,1
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,1,50,14,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285,4,3,3,4
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,2,52,12,0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,3,3,3
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,3,52,12,0.75,0.75,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.7692307692307693,0.50709255283711,4,2,1,5
custom_water_domain_r1_robust,local_binomial_preview,2,10.0,4,52,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,4,2,2,4
zz_ring_r2_robust,local_binomial_preview,0,0.1,0,50,14,0.35714285714285715,0.35714285714285715,0.0,0.0,0.7142857142857143,0.0,-0.40824829046386296,5,2,7,0
zz_ring_r2_robust,local_binomial_preview,0,0.1,1,50,14,0.7142857142857143,0.7142857142857142,0.8,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.4472135954999579,6,1,3,4
zz_ring_r2_robust,local_binomial_preview,0,0.1,2,52,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.0,2,4,2,4
zz_ring_r2_robust,local_binomial_preview,0,0.1,3,52,12,0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.5,0.6153846153846154,0.1690308509457033,3,3,2,4
zz_ring_r2_robust,local_binomial_preview,0,0.1,4,52,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.0,2,4,2,4
zz_ring_r2_robust,local_binomial_preview,1,0.1,0,50,14,0.35714285714285715,0.35714285714285715,0.0,0.0,0.7142857142857143,0.0,-0.40824829046386296,5,2,7,0
zz_ring_r2_robust,local_binomial_preview,1,0.1,1,50,14,0.7142857142857143,0.7142857142857142,0.8,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.4472135954999579,6,1,3,4
zz_ring_r2_robust,local_binomial_preview,1,0.1,2,52,12,0.4166666666666667,0.41666666666666663,0.4444444444444444,0.6666666666666666,0.16666666666666666,0.5333333333333333,-0.19245008972987526,1,5,2,4
zz_ring_r2_robust,local_binomial_preview,1,0.1,3,52,12,0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.5,0.6153846153846154,0.1690308509457033,3,3,2,4
zz_ring_r2_robust,local_binomial_preview,1,0.1,4,52,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.0,2,4,2,4
zz_ring_r2_robust,local_binomial_preview,2,0.1,0,50,14,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,-0.5222329678670935,4,3,7,0
zz_ring_r2_robust,local_binomial_preview,2,0.1,1,50,14,0.7857142857142857,0.7857142857142857,0.8333333333333334,0.7142857142857143,0.8571428571428571,0.7692307692307693,0.5773502691896257,6,1,2,5
zz_ring_r2_robust,local_binomial_preview,2,0.1,2,52,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.0,2,4,2,4
zz_ring_r2_robust,local_binomial_preview,2,0.1,3,52,12,0.5833333333333334,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.5,0.6153846153846154,0.1690308509457033,3,3,2,4
zz_ring_r2_robust,local_binomial_preview,2,0.1,4,52,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.0,2,4,2,4
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,0,50,14,0.42857142857142855,0.4285714285714286,0.3333333333333333,0.14285714285714285,0.7142857142857143,0.2,-0.17407765595569785,5,2,6,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,1,50,14,0.5,0.5,0.5,0.5714285714285714,0.42857142857142855,0.5333333333333333,0.0,3,4,3,4
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,2,52,12,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.2,-0.3535533905932738,3,3,5,1
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,3,52,12,0.75,0.75,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.7692307692307693,0.50709255283711,4,2,1,5
pauli_z_zz_linear_r1_robust,local_binomial_preview,0,1.0,4,52,12,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.4,0.0,4,2,4,2
pauli_z_zz_linear_r1_robust,local_binomial_preview,1,1.0,0,50,14,0.42857142857142855,0.4285714285714286,0.3333333333333333,0.14285714285714285,0.7142857142857143,0.2,-0.17407765595569785,5,2,6,1
