map,group,topology,depth,cx_count,total_gate_count,transpile_seconds
P_Z_r1_linear_a2_minmax,pauli_terms,all_to_all,3,0,27,0.1303415300000097
P_Z_r1_linear_a2_minmax,pauli_terms,ring,3,0,27,0.006694447000029413
P_Z_r1_linear_a2_minmax,pauli_terms,line,3,0,27,0.006147390000023734
P_ZZ_r1_linear_a2_minmax,pauli_terms,all_to_all,27,16,51,0.007177978000015628
P_ZZ_r1_linear_a2_minmax,pauli_terms,ring,27,16,51,0.006026111000039691
P_ZZ_r1_linear_a2_minmax,pauli_terms,line,27,16,51,0.0063592090000383905
P_Z_ZZ_r1_linear_a2_minmax,baseline,all_to_all,27,16,51,0.007340551999959644
P_Z_ZZ_r1_linear_a2_minmax,baseline,ring,27,16,51,0.007263812000019243
P_Z_ZZ_r1_linear_a2_minmax,baseline,line,27,16,51,0.007832161999999698
P_X_XX_r1_linear_a2_minmax,pauli_terms,all_to_all,28,16,60,0.007183187999999063
P_X_XX_r1_linear_a2_minmax,pauli_terms,ring,28,16,60,0.006972401000041373
P_X_XX_r1_linear_a2_minmax,pauli_terms,line,28,16,60,0.006207886999959555
P_Y_YY_r1_linear_a2_minmax,pauli_terms,all_to_all,30,16,78,0.007615402999988419
P_Y_YY_r1_linear_a2_minmax,pauli_terms,ring,30,16,78,0.006694444000004296
P_Y_YY_r1_linear_a2_minmax,pauli_terms,line,30,16,78,0.006670466000002762
P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,all_to_all,5,0,45,0.010705841999993027
P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,ring,5,0,45,0.009361480999984906
P_X_Y_Z_r1_linear_a2_minmax,pauli_terms,line,5,0,45,0.008379448000027878
P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,all_to_all,47,48,171,0.008651075999978275
P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,ring,47,48,171,0.007319008000024496
P_XYZ_XXYYZZ_r1_linear_a2_minmax,pauli_terms,line,47,48,171,0.00875355400000899
P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,all_to_all,44,32,107,0.013116926999998668
P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,ring,44,32,107,0.01192862100003822
P_Z_ZY_ZZ_r1_linear_a2_minmax,pauli_terms,line,44,32,107,0.01192816899998661
P_Z_ZZ_r2_linear_a2_minmax,reps,all_to_all,36,32,102,0.008051168000008602
P_Z_ZZ_r2_linear_a2_minmax,reps,ring,36,32,102,0.006458538000003955
P_Z_ZZ_r2_linear_a2_minmax,reps,line,36,32,102,0.00795664399998941
P_Z_ZZ_r1_circular_a2_minmax,entanglement,all_to_all,30,18,54,0.008313972999985708
P_Z_ZZ_r1_circular_a2_minmax,entanglement,ring,30,18,54,0.006755171000008886
P_Z_ZZ_r1_circular_a2_minmax,entanglement,line,46,37,73,0.008767159000001357
P_Z_ZZ_r1_full_a2_minmax,entanglement,all_to_all,48,72,135,0.007952637999949275
P_Z_ZZ_r1_full_a2_minmax,entanglement,ring,96,153,216,0.013548603000003823
P_Z_ZZ_r1_full_a2_minmax,entanglement,line,99,147,210,0.013756158999967738
P_Z_ZZ_r1_linear_a1_minmax,alpha,all_to_all,27,16,51,0.007456079000007776
P_Z_ZZ_r1_linear_a1_minmax,alpha,ring,27,16,51,0.00646427300000596
P_Z_ZZ_r1_linear_a1_minmax,alpha,line,27,16,51,0.006165617000021939
P_Z_ZZ_r1_linear_a4_minmax,alpha,all_to_all,27,16,51,0.00768562700000075
P_Z_ZZ_r1_linear_a4_minmax,alpha,ring,27,16,51,0.0060702679999735665
P_Z_ZZ_r1_linear_a4_minmax,alpha,line,27,16,51,0.005968849999987924
P_Z_ZZ_r1_linear_a2_stdclip,scaling,all_to_all,27,16,51,0.007212901999992027
P_Z_ZZ_r1_linear_a2_stdclip,scaling,ring,27,16,51,0.00614958200003457
P_Z_ZZ_r1_linear_a2_stdclip,scaling,line,27,16,51,0.006193668000037178
P_Z_ZZ_r1_linear_a2_atan,scaling,all_to_all,27,16,51,0.007016469000006964
P_Z_ZZ_r1_linear_a2_atan,scaling,ring,27,16,51,0.006377058999987639
P_Z_ZZ_r1_linear_a2_atan,scaling,line,27,16,51,0.006307634999984657
