map,noise_level,i,j,pair_type,exact_kernel,noisy_kernel,absolute_error,simulation_seconds
P_Z_ZZ_r1_linear_a2_minmax,mild,15,56,intra,0.000175509149389725,0.0,0.000175509149389725,0.3266819030000079
P_Z_ZZ_r1_linear_a2_minmax,mild,2,59,intra,0.002244852023383405,0.001953125,0.0002917270233834049,0.334236949000001
P_Z_ZZ_r1_linear_a2_minmax,mild,25,58,intra,0.00216594551846462,0.001953125,0.00021282051846462004,0.32201751599995987
P_Z_ZZ_r1_linear_a2_minmax,mild,32,62,intra,0.002154015942400186,0.0,0.002154015942400186,0.31585815599999023
P_Z_ZZ_r1_linear_a2_minmax,mild,28,52,inter,0.003400667698963561,0.005859375,0.002458707301036439,0.35249356799999987
P_Z_ZZ_r1_linear_a2_minmax,mild,6,51,inter,0.0022969827807283083,0.0,0.0022969827807283083,0.5542614160000312
P_Z_ZZ_r1_linear_a2_minmax,mild,3,9,inter,0.00018033968078961311,0.0,0.00018033968078961311,0.6236509639999781
P_Z_ZZ_r1_linear_a2_minmax,mild,19,61,inter,0.00035317563633051644,0.001953125,0.0015999493636694837,0.6054730440000071
P_Z_ZZ_r1_linear_a2_minmax,moderate,15,56,intra,0.000175509149389725,0.0,0.000175509149389725,0.5833659239999633
P_Z_ZZ_r1_linear_a2_minmax,moderate,2,59,intra,0.002244852023383405,0.0,0.002244852023383405,0.4896478719999777
P_Z_ZZ_r1_linear_a2_minmax,moderate,25,58,intra,0.00216594551846462,0.001953125,0.00021282051846462004,0.567767114999981
P_Z_ZZ_r1_linear_a2_minmax,moderate,32,62,intra,0.002154015942400186,0.0,0.002154015942400186,0.5655336300000045
P_Z_ZZ_r1_linear_a2_minmax,moderate,28,52,inter,0.003400667698963561,0.005859375,0.002458707301036439,0.6078671630000372
P_Z_ZZ_r1_linear_a2_minmax,moderate,6,51,inter,0.0022969827807283083,0.0,0.0022969827807283083,0.6246839990000126
P_Z_ZZ_r1_linear_a2_minmax,moderate,3,9,inter,0.00018033968078961311,0.0,0.00018033968078961311,0.5377940159999639
P_Z_ZZ_r1_linear_a2_minmax,moderate,19,61,inter,0.00035317563633051644,0.0,0.00035317563633051644,0.30401612100001785
P_X_XX_r1_linear_a2_minmax,mild,25,53,intra,0.9999999999999831,0.8046875,0.19531249999998312,0.2361142720000089
P_X_XX_r1_linear_a2_minmax,mild,1,30,intra,0.9999999999999831,0.8046875,0.19531249999998312,0.2405647439999825
P_X_XX_r1_linear_a2_minmax,mild,18,46,intra,0.9999999999999831,0.8046875,0.19531249999998312,0.2564411390000032
P_X_XX_r1_linear_a2_minmax,mild,14,26,intra,0.9999999999999831,0.8046875,0.19531249999998312,0.23546764299999268
P_X_XX_r1_linear_a2_minmax,mild,51,63,inter,0.9999999999999831,0.8046875,0.19531249999998312,0.24038897299999462
P_X_XX_r1_linear_a2_minmax,mild,17,19,inter,0.9999999999999831,0.8046875,0.19531249999998312,0.2645933659999855
P_X_XX_r1_linear_a2_minmax,mild,22,56,inter,0.9999999999999831,0.8046875,0.19531249999998312,0.2565833329999805
P_X_XX_r1_linear_a2_minmax,mild,38,40,inter,0.9999999999999831,0.830078125,0.16992187499998312,0.23232518800000435
P_X_XX_r1_linear_a2_minmax,moderate,25,53,intra,0.9999999999999831,0.5234375,0.4765624999999831,0.23418725599998425
P_X_XX_r1_linear_a2_minmax,moderate,1,30,intra,0.9999999999999831,0.521484375,0.4785156249999831,0.25595561199997974
P_X_XX_r1_linear_a2_minmax,moderate,18,46,intra,0.9999999999999831,0.5234375,0.4765624999999831,0.2710866780000174
P_X_XX_r1_linear_a2_minmax,moderate,14,26,intra,0.9999999999999831,0.5234375,0.4765624999999831,0.240855401000033
P_X_XX_r1_linear_a2_minmax,moderate,51,63,inter,0.9999999999999831,0.5234375,0.4765624999999831,0.2346819210000035
P_X_XX_r1_linear_a2_minmax,moderate,17,19,inter,0.9999999999999831,0.521484375,0.4785156249999831,0.2382894510000142
P_X_XX_r1_linear_a2_minmax,moderate,22,56,inter,0.9999999999999831,0.51953125,0.4804687499999831,0.26757239700003765
P_X_XX_r1_linear_a2_minmax,moderate,38,40,inter,0.9999999999999831,0.580078125,0.4199218749999831,0.23437316199999714
