accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,map,shots,repeat,fold,relative_kernel_error
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_Z_ZZ_r1_linear_a2_minmax,128,0,0,0.0260426258202343
0.625,0.625,0.6666666666666666,0.5,0.5714285714285714,6,2,4,4,P_Z_ZZ_r1_linear_a2_minmax,128,0,1,0.028418545945941887
0.5,0.5,0.5,0.375,0.42857142857142855,5,3,5,3,P_Z_ZZ_r1_linear_a2_minmax,128,0,2,0.029353410059692383
0.5625,0.5625,0.6,0.375,0.46153846153846156,6,2,5,3,P_Z_ZZ_r1_linear_a2_minmax,128,0,3,0.025307329125021528
0.4375,0.4375,0.4444444444444444,0.5,0.47058823529411764,3,5,4,4,P_Z_ZZ_r1_linear_a2_minmax,128,1,0,0.028152064464913973
0.6875,0.6875,0.7142857142857143,0.625,0.6666666666666666,6,2,3,5,P_Z_ZZ_r1_linear_a2_minmax,128,1,1,0.027744561025242802
0.625,0.625,0.625,0.625,0.625,5,3,3,5,P_Z_ZZ_r1_linear_a2_minmax,128,1,2,0.028570214408629762
0.4375,0.4375,0.4,0.25,0.3076923076923077,5,3,6,2,P_Z_ZZ_r1_linear_a2_minmax,128,1,3,0.028450579987583366
0.5625,0.5625,0.5714285714285714,0.5,0.5333333333333333,5,3,4,4,P_Z_ZZ_r1_linear_a2_minmax,128,2,0,0.027234608584480145
0.4375,0.4375,0.42857142857142855,0.375,0.4,4,4,5,3,P_Z_ZZ_r1_linear_a2_minmax,128,2,1,0.02935387673033804
0.625,0.625,0.6,0.75,0.6666666666666666,4,4,2,6,P_Z_ZZ_r1_linear_a2_minmax,128,2,2,0.028473573388899984
0.375,0.375,0.0,0.0,0.0,6,2,8,0,P_Z_ZZ_r1_linear_a2_minmax,128,2,3,0.02766366761156565
0.5,0.5,0.5,0.5,0.5,4,4,4,4,P_Z_ZZ_r1_linear_a2_minmax,128,3,0,0.030885670458559118
0.3125,0.3125,0.3333333333333333,0.375,0.35294117647058826,2,6,5,3,P_Z_ZZ_r1_linear_a2_minmax,128,3,1,0.02662859757381298
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_Z_ZZ_r1_linear_a2_minmax,128,3,2,0.02815388737290241
0.375,0.375,0.0,0.0,0.0,6,2,8,0,P_Z_ZZ_r1_linear_a2_minmax,128,3,3,0.027734437988027244
0.6875,0.6875,0.7142857142857143,0.625,0.6666666666666666,6,2,3,5,P_Z_ZZ_r1_linear_a2_minmax,128,4,0,0.026946802353853442
0.5,0.5,0.5,0.625,0.5555555555555556,3,5,3,5,P_Z_ZZ_r1_linear_a2_minmax,128,4,1,0.029566232699880853
