map,fold,best_C,train_rows,validation_rows,statevector_seconds,kernel_seconds,svc_seconds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp
pytket_linear_r1,0,10.0,48,16,0.02739916800055653,0.0002649429998200503,0.0022642710000582156,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,6,2,6,2
pytket_linear_r1,1,10.0,48,16,0.03944603099989763,0.0001947009996001725,0.00220379700022022,0.625,0.625,0.6666666666666666,0.5,0.75,0.5714285714285714,0.2581988897471611,6,2,4,4
pytket_linear_r1,2,0.1,48,16,0.044948849999855156,0.00043634400026348885,0.0021041599993623095,0.6875,0.6875,0.7142857142857143,0.625,0.75,0.6666666666666666,0.3779644730092272,6,2,3,5
pytket_linear_r1,3,10.0,48,16,0.03830334800022683,0.00019386100029805675,0.0021494740003618062,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5
pytket_ring_r1,0,10.0,48,16,0.06348655500005407,0.0021141470006114105,0.004415460000018356,0.5625,0.5625,0.5714285714285714,0.5,0.625,0.5333333333333333,0.1259881576697424,5,3,4,4
pytket_ring_r1,1,10.0,48,16,0.04862369199963723,0.007262359999913315,0.0023225659997478942,0.5,0.5,0.5,0.375,0.625,0.42857142857142855,0.0,5,3,5,3
pytket_ring_r1,2,0.1,48,16,0.054044457999225415,0.00022984099996392615,0.0022281390001808177,0.6875,0.6875,0.7142857142857143,0.625,0.75,0.6666666666666666,0.3779644730092272,6,2,3,5
pytket_ring_r1,3,10.0,48,16,0.06014386600054422,0.007099032000041916,0.0023330919993895805,0.625,0.625,0.6,0.75,0.5,0.6666666666666666,0.2581988897471611,4,4,2,6
pytket_linear_r2,0,0.1,48,16,0.07155415499983064,0.008377082999686536,0.0023043669998514815,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.0,6,2,6,2
pytket_linear_r2,1,1.0,48,16,0.08113524100008362,0.007724312999926042,0.004333609999775945,0.5625,0.5625,0.6,0.375,0.75,0.46153846153846156,0.13483997249264842,6,2,5,3
pytket_linear_r2,2,1.0,48,16,0.07882352700016781,0.014306399999441055,0.008678584000335832,0.625,0.625,0.6,0.75,0.5,0.6666666666666666,0.2581988897471611,4,4,2,6
pytket_linear_r2,3,10.0,48,16,0.154007733999606,0.0002380719997745473,0.00635648899969965,0.6875,0.6875,0.6666666666666666,0.75,0.625,0.7058823529411765,0.3779644730092272,5,3,2,6
