map,outer_fold,C,inner_f1_mean,inner_f1_std
pytket_linear_r1,0,10.0,0.7554998607630187,0.09342376049688808
pytket_linear_r1,0,0.1,0.6384615384615385,0.12355675695545394
pytket_linear_r1,0,1.0,0.5803085803085803,0.16447325100110816
pytket_linear_r1,1,10.0,0.4087542087542087,0.17257723480069484
pytket_linear_r1,1,1.0,0.3790849673202614,0.08455404773226786
pytket_linear_r1,1,0.1,0.3693121693121693,0.131923341723892
pytket_linear_r1,2,0.1,0.5340557275541795,0.06999688934984274
pytket_linear_r1,2,1.0,0.5133040935672515,0.10570104664375257
pytket_linear_r1,2,10.0,0.4663865546218487,0.02931155397262795
pytket_linear_r1,3,10.0,0.42835595776772245,0.05345413317245656
pytket_linear_r1,3,0.1,0.3769063180827887,0.04842289928299099
pytket_linear_r1,3,1.0,0.3452380952380952,0.04208968935634212
pytket_ring_r1,0,10.0,0.7250377073906485,0.031341352397268915
pytket_ring_r1,0,1.0,0.612942612942613,0.12263618588024143
pytket_ring_r1,0,0.1,0.611111111111111,0.11054276410463586
pytket_ring_r1,1,10.0,0.49289891395154556,0.15730796719719056
pytket_ring_r1,1,1.0,0.43274853801169594,0.15076381795856858
pytket_ring_r1,1,0.1,0.3444444444444444,0.1852592444503674
pytket_ring_r1,2,0.1,0.5340557275541795,0.06999688934984274
pytket_ring_r1,2,1.0,0.5316047471620227,0.11214114081383224
pytket_ring_r1,2,10.0,0.4358974358974359,0.09065471553673685
pytket_ring_r1,3,10.0,0.4481481481481482,0.040908744508100954
pytket_ring_r1,3,0.1,0.37738791423001944,0.07887200696390981
pytket_ring_r1,3,1.0,0.3703703703703704,0.07554102983100422
pytket_linear_r2,0,0.1,0.6123737373737373,0.05028360543368656
pytket_linear_r2,0,10.0,0.5732714138286893,0.05474908299154194
pytket_linear_r2,0,1.0,0.5490196078431372,0.05545935538718021
pytket_linear_r2,1,1.0,0.41830065359477125,0.1319160869180953
pytket_linear_r2,1,10.0,0.3614672364672365,0.1642761143564023
pytket_linear_r2,1,0.1,0.29273504273504275,0.12411569001245819
pytket_linear_r2,2,1.0,0.4655270655270655,0.11197414843224883
pytket_linear_r2,2,10.0,0.44466936572199733,0.0974514101617058
pytket_linear_r2,2,0.1,0.4161793372319688,0.1768354612996733
pytket_linear_r2,3,10.0,0.4108309990662932,0.05742107137823268
pytket_linear_r2,3,0.1,0.3239962651727358,0.028228228679422932
pytket_linear_r2,3,1.0,0.30354449472096534,0.0421277795729542
