quantum_row_id,source_index,Potability,fold
0,1896,1,2
1,1927,1,1
2,2921,0,0
3,931,0,1
4,490,0,3
5,57,0,2
6,2912,0,3
7,794,1,1
8,1772,0,0
9,2982,0,0
10,726,1,1
11,27,0,2
12,3062,0,1
13,753,1,1
14,313,1,3
15,1535,1,0
16,750,1,0
17,3018,0,1
18,2263,0,3
19,1531,1,1
20,1093,1,0
21,194,0,3
22,1424,0,1
23,1556,1,3
24,2857,1,0
25,1921,1,3
26,640,0,2
27,3194,1,0
28,325,1,1
29,1206,1,2
30,2176,0,0
31,1688,0,3
32,1902,1,2
33,816,1,3
34,3109,0,2
35,567,0,2
36,377,1,3
37,2312,1,0
38,1883,0,3
39,3023,0,3
40,1515,1,1
41,1765,0,1
42,2407,1,2
43,2356,1,0
44,1348,0,3
45,2094,0,2
46,3204,1,1
47,2088,0,0
48,1811,0,0
49,3025,0,1
50,8,0,2
51,853,0,1
52,790,1,0
53,2179,0,0
54,1084,1,3
55,806,1,2
56,1574,1,3
57,598,0,1
58,2061,0,2
59,1546,1,3
60,1509,1,2
61,835,0,0
62,1904,1,2
63,1956,1,2
