source_index,role
0,selector_pool
1,quantum_candidate_pool
2,selector_pool
3,selector_pool
4,selector_pool
5,locked_holdout
6,quantum_candidate_pool
7,locked_holdout
8,quantum_candidate_pool
9,locked_holdout
10,locked_holdout
11,selector_pool
12,quantum_candidate_pool
13,selector_pool
14,selector_pool
15,locked_holdout
16,selector_pool
17,locked_holdout
18,quantum_candidate_pool
19,locked_holdout
20,locked_holdout
21,quantum_candidate_pool
22,selector_pool
23,locked_holdout
24,quantum_candidate_pool
25,selector_pool
26,selector_pool
27,quantum_candidate_pool
28,selector_pool
29,selector_pool
30,selector_pool
31,locked_holdout
32,selector_pool
33,quantum_candidate_pool
34,selector_pool
35,locked_holdout
36,selector_pool
37,quantum_candidate_pool
38,quantum_candidate_pool
39,selector_pool
40,selector_pool
41,quantum_candidate_pool
42,selector_pool
43,locked_holdout
44,quantum_candidate_pool
45,selector_pool
46,locked_holdout
47,selector_pool
48,locked_holdout
49,locked_holdout
50,quantum_candidate_pool
51,selector_pool
52,quantum_candidate_pool
53,quantum_candidate_pool
54,selector_pool
55,quantum_candidate_pool
56,quantum_candidate_pool
57,quantum_candidate_pool
58,quantum_candidate_pool
59,selector_pool
60,selector_pool
61,locked_holdout
62,quantum_candidate_pool
63,selector_pool
64,selector_pool
65,selector_pool
66,selector_pool
67,selector_pool
68,selector_pool
69,locked_holdout
70,selector_pool
71,selector_pool
72,selector_pool
73,locked_holdout
74,selector_pool
75,selector_pool
76,quantum_candidate_pool
77,selector_pool
78,quantum_candidate_pool
79,selector_pool
80,selector_pool
81,selector_pool
82,selector_pool
83,locked_holdout
84,selector_pool
85,selector_pool
86,selector_pool
87,locked_holdout
88,quantum_candidate_pool
89,selector_pool
90,selector_pool
91,quantum_candidate_pool
92,selector_pool
93,selector_pool
94,locked_holdout
95,locked_holdout
96,selector_pool
97,selector_pool
98,selector_pool
99,selector_pool
100,selector_pool
101,quantum_candidate_pool
102,selector_pool
103,quantum_candidate_pool
104,selector_pool
105,selector_pool
106,locked_holdout
107,selector_pool
108,locked_holdout
109,quantum_candidate_pool
110,quantum_candidate_pool
111,locked_holdout
112,selector_pool
113,selector_pool
114,locked_holdout
115,locked_holdout
116,selector_pool
117,selector_pool
118,selector_pool
119,selector_pool
120,selector_pool
121,locked_holdout
122,selector_pool
123,selector_pool
124,quantum_candidate_pool
125,selector_pool
126,locked_holdout
127,selector_pool
128,quantum_candidate_pool
129,selector_pool
130,selector_pool
131,selector_pool
132,selector_pool
133,selector_pool
134,selector_pool
135,selector_pool
136,selector_pool
137,selector_pool
138,selector_pool
139,selector_pool
140,selector_pool
141,selector_pool
142,selector_pool
143,selector_pool
144,selector_pool
145,selector_pool
146,quantum_candidate_pool
147,selector_pool
148,locked_holdout
149,selector_pool
150,selector_pool
151,selector_pool
152,locked_holdout
153,selector_pool
154,locked_holdout
155,selector_pool
156,selector_pool
157,selector_pool
158,selector_pool
159,selector_pool
160,locked_holdout
161,locked_holdout
162,locked_holdout
163,selector_pool
164,selector_pool
165,quantum_candidate_pool
166,selector_pool
167,locked_holdout
168,selector_pool
169,selector_pool
170,selector_pool
171,selector_pool
172,quantum_candidate_pool
173,selector_pool
174,locked_holdout
175,selector_pool
176,selector_pool
177,quantum_candidate_pool
178,selector_pool
179,selector_pool
180,quantum_candidate_pool
181,selector_pool
182,locked_holdout
183,locked_holdout
184,quantum_candidate_pool
185,selector_pool
186,selector_pool
187,selector_pool
188,selector_pool
189,selector_pool
190,selector_pool
191,selector_pool
192,selector_pool
193,quantum_candidate_pool
194,quantum_candidate_pool
195,selector_pool
196,locked_holdout
197,locked_holdout
198,selector_pool
199,quantum_candidate_pool
200,selector_pool
201,quantum_candidate_pool
202,locked_holdout
203,quantum_candidate_pool
204,locked_holdout
205,quantum_candidate_pool
206,selector_pool
207,quantum_candidate_pool
208,selector_pool
209,locked_holdout
210,quantum_candidate_pool
211,selector_pool
212,selector_pool
213,quantum_candidate_pool
214,quantum_candidate_pool
215,locked_holdout
216,locked_holdout
217,selector_pool
218,selector_pool
219,selector_pool
220,selector_pool
221,selector_pool
222,quantum_candidate_pool
223,locked_holdout
224,quantum_candidate_pool
225,selector_pool
226,selector_pool
227,selector_pool
228,locked_holdout
229,selector_pool
230,quantum_candidate_pool
231,locked_holdout
232,selector_pool
233,selector_pool
