model,map,kernel_mode,fold,best_C,best_gamma,total_seconds,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,tn,fp,fn,tp,train_rows,validation_rows,statevector_seconds,kernel_seconds,svc_seconds
classical_rbf,classical_rbf,rbf,0,1.0,scale,0.008951068999976997,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,,,,,
classical_rbf,classical_rbf,rbf,1,1.0,scale,0.008613343000092755,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,2,6,6,2,,,,,
classical_rbf,classical_rbf,rbf,2,1.0,0.1,0.013805680000018583,0.375,0.375,0.4,0.5,0.25,0.4444444444444444,-0.2581988897471611,2,6,4,4,,,,,
classical_rbf,classical_rbf,rbf,3,10.0,scale,0.009969232999992528,0.375,0.375,0.4166666666666667,0.625,0.125,0.5,-0.2886751345948129,1,7,3,5,,,,,
classical_rbf,classical_rbf,rbf,4,10.0,1.0,0.009665603000030387,0.5,0.5,0.5,0.375,0.625,0.42857142857142855,0.0,5,3,5,3,,,,,
quantum,pauli_Z_ZZ_linear_r1_robust,raw,0,1.0,,,0.4375,0.4375,0.4,0.25,0.625,0.3076923076923077,-0.13483997249264842,5,3,6,2,64.0,16.0,0.11879679300000134,0.0030197410000027958,0.002933299000005718
quantum,pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,1.0,,,0.375,0.375,0.25,0.125,0.625,0.16666666666666666,-0.2886751345948129,5,3,7,1,64.0,16.0,0.09936148700001013,0.0006538889999774256,0.00270059100000708
quantum,pauli_Z_ZZ_linear_r1_robust,raw,1,10.0,,,0.5,0.5,0.5,0.625,0.375,0.5555555555555556,0.0,3,5,3,5,64.0,16.0,0.10649122000006628,0.00766527500002212,0.005618019999928947
quantum,pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,1.0,,,0.5625,0.5625,0.5454545454545454,0.75,0.375,0.631578947368421,0.13483997249264842,3,5,2,6,64.0,16.0,0.09894269500000519,0.0006001920000926475,0.002697754999985591
quantum,pauli_Z_ZZ_linear_r1_robust,raw,2,10.0,,,0.6875,0.6875,0.7142857142857143,0.625,0.75,0.6666666666666666,0.3779644730092272,6,2,3,5,64.0,16.0,0.0981384539999226,0.0003485400000045047,0.0028769819999752144
quantum,pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,1.0,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.09943190199999208,0.0008081990000619044,0.003321493999919767
quantum,pauli_Z_ZZ_linear_r1_robust,raw,3,1.0,,,0.6875,0.6875,0.6153846153846154,1.0,0.375,0.7619047619047619,0.48038446141526137,3,5,0,8,64.0,16.0,0.10056757099994229,0.00035345999992841826,0.0027923640000153682
quantum,pauli_Z_ZZ_linear_r1_robust,centered_normalized,3,10.0,,,0.6875,0.6875,0.6153846153846154,1.0,0.375,0.7619047619047619,0.48038446141526137,3,5,0,8,64.0,16.0,0.0996304829999417,0.0006877519999761716,0.003104594999967958
quantum,pauli_Z_ZZ_linear_r1_robust,raw,4,10.0,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.17917155099996762,0.0009427039999536646,0.008326793000037469
quantum,pauli_Z_ZZ_linear_r1_robust,centered_normalized,4,10.0,,,0.4375,0.4375,0.42857142857142855,0.375,0.5,0.4,-0.1259881576697424,4,4,5,3,64.0,16.0,0.15745140899991839,0.009999938999953883,0.007479206999960297
