model,map,kernel_mode,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std
quantum,pauli_Z_ZZ_ring_r1_robust,centered_normalized,0.575,0.027950849718747384,0.575,0.027950849718747384,0.5569568151147098,0.07144777395688429,0.15433125206495632,0.053663281883385296
quantum,pauli_Z_ZZ_ring_r1_robust,raw,0.5625,0.06249999999999999,0.5625,0.06249999999999999,0.5429824561403509,0.129521561418431,0.1269679944985297,0.12507743606155036
quantum,pauli_Z_ZZ_linear_r1_robust,raw,0.55,0.128086884574495,0.55,0.128086884574495,0.5383638583638584,0.18646824275004129,0.11950416085241955,0.2899461093789684
quantum,pauli_Z_ZZ_linear_r1_minmax,centered_normalized,0.5,0.0625,0.5,0.0625,0.5205228758169935,0.08278958834487779,0.0,0.1259881576697424
quantum,pauli_Z_ZZ_linear_r2_robust,centered_normalized,0.525,0.10458250331675945,0.525,0.10458250331675945,0.49244264507422403,0.12907969335605107,0.04862490010331576,0.2153953880961186
quantum,pauli_Z_ZZ_linear_r2_robust,raw,0.525,0.10458250331675945,0.525,0.10458250331675945,0.49244264507422403,0.12907969335605107,0.04862490010331576,0.2153953880961186
quantum,pauli_XZ_XXZZ_linear_r1_robust,centered_normalized,0.4875,0.09270248108869579,0.4875,0.09270248108869579,0.4890909090909091,0.12944750860456994,-0.04915074818636169,0.23093172430419215
quantum,pauli_Z_ZZ_linear_r1_robust,centered_normalized,0.5,0.125,0.5,0.125,0.4720300751879699,0.23081737983746464,0.014914596794722419,0.3012134575523927
quantum,pauli_Z_ZZ_linear_r1_minmax,raw,0.4625,0.07126096406869613,0.4625,0.07126096406869613,0.46676470588235297,0.08478295105106531,-0.07519763153394847,0.14304337513274618
quantum,pauli_XZ_XXZZ_linear_r1_robust,raw,0.45,0.12022115038544591,0.45,0.12022115038544591,0.45468671679198,0.1411226097493548,-0.10610161502953752,0.2532562680780734
classical_rbf,classical_rbf,rbf,0.3875,0.09270248108869578,0.3875,0.09270248108869578,0.4046031746031746,0.0937892439068188,-0.2345724364023433,0.1875845651128838
