map,kernel_mode,outer_fold,inner_fold,C,f1,balanced_accuracy,mcc
pauli_Z_ZZ_linear_r1_robust,raw,0,0,0.1,0.64,0.5909090909090909,0.18898223650461363
pauli_Z_ZZ_linear_r1_robust,raw,0,0,1.0,0.6086956521739131,0.5909090909090908,0.18257418583505536
pauli_Z_ZZ_linear_r1_robust,raw,0,0,10.0,0.4,0.45454545454545453,-0.09245003270420485
pauli_Z_ZZ_linear_r1_robust,raw,0,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,0,1,1.0,0.5217391304347826,0.4818181818181818,-0.03739787960033829
pauli_Z_ZZ_linear_r1_robust,raw,0,1,10.0,0.5,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_linear_r1_robust,raw,0,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,0,2,1.0,0.5833333333333334,0.5181818181818182,0.03739787960033829
pauli_Z_ZZ_linear_r1_robust,raw,0,2,10.0,0.47619047619047616,0.4772727272727273,-0.045454545454545456
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,0,0.1,0.64,0.5909090909090909,0.18898223650461363
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,0,1.0,0.5454545454545454,0.5454545454545454,0.09090909090909091
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,0,10.0,0.4,0.45454545454545453,-0.09245003270420485
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,1,1.0,0.5217391304347826,0.4818181818181818,-0.03739787960033829
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,1,10.0,0.5,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,2,1.0,0.5833333333333334,0.5181818181818182,0.03739787960033829
pauli_Z_ZZ_linear_r1_robust,centered_normalized,0,2,10.0,0.47619047619047616,0.4772727272727273,-0.045454545454545456
pauli_Z_ZZ_linear_r1_robust,raw,1,0,0.1,0.26666666666666666,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,1,0,1.0,0.5454545454545454,0.5454545454545454,0.09090909090909091
pauli_Z_ZZ_linear_r1_robust,raw,1,0,10.0,0.5217391304347826,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,1,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,1,1,1.0,0.48,0.3909090909090909,-0.2412090756622109
pauli_Z_ZZ_linear_r1_robust,raw,1,1,10.0,0.56,0.48636363636363633,-0.03015113445777636
pauli_Z_ZZ_linear_r1_robust,raw,1,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,1,2,1.0,0.5,0.5272727272727272,0.05504818825631803
pauli_Z_ZZ_linear_r1_robust,raw,1,2,10.0,0.5,0.5272727272727272,0.05504818825631803
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,0,0.1,0.375,0.5454545454545454,0.10846522890932808
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,0,1.0,0.5454545454545454,0.5454545454545454,0.09090909090909091
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,0,10.0,0.5217391304347826,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,1,1.0,0.5384615384615384,0.4409090909090909,-0.13858046563114676
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,1,10.0,0.56,0.48636363636363633,-0.03015113445777636
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,2,1.0,0.5,0.5272727272727272,0.05504818825631803
pauli_Z_ZZ_linear_r1_robust,centered_normalized,1,2,10.0,0.5,0.5272727272727272,0.05504818825631803
pauli_Z_ZZ_linear_r1_robust,raw,2,0,0.1,0.4,0.45454545454545453,-0.09245003270420485
pauli_Z_ZZ_linear_r1_robust,raw,2,0,1.0,0.45454545454545453,0.45454545454545453,-0.09090909090909091
pauli_Z_ZZ_linear_r1_robust,raw,2,0,10.0,0.5833333333333334,0.5454545454545454,0.09245003270420485
pauli_Z_ZZ_linear_r1_robust,raw,2,1,0.1,0.6451612903225806,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,2,1,1.0,0.45454545454545453,0.4318181818181818,-0.13762047064079508
pauli_Z_ZZ_linear_r1_robust,raw,2,1,10.0,0.36363636363636365,0.33636363636363636,-0.3302891295379082
pauli_Z_ZZ_linear_r1_robust,raw,2,2,0.1,0.0,0.5,0.0
pauli_Z_ZZ_linear_r1_robust,raw,2,2,1.0,0.3333333333333333,0.43636363636363634,-0.13483997249264842
pauli_Z_ZZ_linear_r1_robust,raw,2,2,10.0,0.3157894736842105,0.38636363636363635,-0.2337367475021143
pauli_Z_ZZ_linear_r1_robust,centered_normalized,2,0,0.1,0.4,0.45454545454545453,-0.09245003270420485
