position,source_index,Potability,validation_fold
0,530,0,2
1,2738,1,2
2,2495,0,1
3,183,0,2
4,2348,1,4
5,2728,1,1
6,2158,0,3
7,2828,1,0
8,1233,0,0
9,2401,1,2
10,1661,0,0
11,2313,1,1
12,472,0,3
13,216,0,1
14,416,0,3
15,2769,1,2
16,696,1,0
17,733,1,3
18,1870,0,3
19,1701,0,1
20,247,0,4
21,3077,0,1
22,2996,0,1
23,2148,0,2
24,2853,1,1
25,1062,0,3
26,956,0,1
27,340,1,1
28,2984,0,0
29,3124,1,2
30,2668,0,0
31,1568,1,1
32,142,0,4
33,1871,0,3
34,638,0,2
35,3020,0,0
36,111,0,0
37,1262,0,2
38,1173,1,0
39,377,1,2
40,1927,1,4
41,1446,0,4
42,1453,0,4
43,1121,1,3
44,1091,1,3
45,367,1,0
46,2854,1,4
47,1531,1,2
48,3181,1,4
49,2286,0,4
50,384,1,0
51,180,0,0
52,2684,0,1
53,1158,1,2
54,1567,1,1
55,3103,0,3
56,1940,1,2
57,3265,1,0
58,339,1,3
59,1232,0,2
60,2430,1,4
61,2781,1,1
62,1016,0,4
63,1767,0,3
64,2776,1,0
65,1978,1,3
66,1185,1,3
67,1222,1,1
68,270,1,3
69,653,0,1
70,1856,0,2
71,2870,0,0
72,1151,1,4
73,107,0,4
74,1088,1,0
75,667,1,4
76,1382,0,2
77,2446,1,3
78,815,1,4
79,58,0,4
