source_index,role
0,selector_pool
1,quantum_candidate_pool
2,locked_holdout
3,selector_pool
4,quantum_candidate_pool
5,selector_pool
6,quantum_candidate_pool
7,selector_pool
8,selector_pool
9,locked_holdout
10,selector_pool
11,quantum_candidate_pool
12,quantum_candidate_pool
13,selector_pool
14,locked_holdout
15,locked_holdout
16,selector_pool
17,quantum_candidate_pool
18,selector_pool
19,selector_pool
20,locked_holdout
21,selector_pool
22,selector_pool
23,quantum_candidate_pool
24,selector_pool
25,selector_pool
26,selector_pool
27,selector_pool
28,locked_holdout
29,locked_holdout
30,locked_holdout
31,selector_pool
32,selector_pool
33,locked_holdout
34,selector_pool
35,selector_pool
36,locked_holdout
37,quantum_candidate_pool
38,selector_pool
39,quantum_candidate_pool
40,selector_pool
41,selector_pool
42,selector_pool
43,selector_pool
44,selector_pool
45,selector_pool
46,locked_holdout
47,locked_holdout
48,quantum_candidate_pool
49,quantum_candidate_pool
50,selector_pool
51,selector_pool
52,selector_pool
53,selector_pool
54,selector_pool
55,selector_pool
56,selector_pool
57,selector_pool
58,quantum_candidate_pool
59,selector_pool
60,selector_pool
61,selector_pool
62,locked_holdout
63,quantum_candidate_pool
64,selector_pool
65,locked_holdout
66,selector_pool
67,selector_pool
68,selector_pool
69,selector_pool
70,quantum_candidate_pool
71,selector_pool
72,quantum_candidate_pool
73,selector_pool
74,selector_pool
75,selector_pool
76,selector_pool
77,locked_holdout
78,quantum_candidate_pool
79,selector_pool
80,selector_pool
81,selector_pool
82,selector_pool
83,locked_holdout
84,selector_pool
85,quantum_candidate_pool
86,selector_pool
87,selector_pool
88,quantum_candidate_pool
89,quantum_candidate_pool
90,selector_pool
91,locked_holdout
92,locked_holdout
93,locked_holdout
94,selector_pool
95,quantum_candidate_pool
96,selector_pool
97,selector_pool
98,selector_pool
99,selector_pool
100,quantum_candidate_pool
101,selector_pool
102,selector_pool
103,locked_holdout
104,selector_pool
105,selector_pool
106,selector_pool
107,quantum_candidate_pool
108,selector_pool
109,selector_pool
110,quantum_candidate_pool
111,quantum_candidate_pool
112,selector_pool
113,selector_pool
114,selector_pool
115,selector_pool
116,locked_holdout
117,selector_pool
118,locked_holdout
119,selector_pool
120,selector_pool
121,quantum_candidate_pool
122,selector_pool
123,quantum_candidate_pool
124,selector_pool
125,selector_pool
126,quantum_candidate_pool
127,selector_pool
128,selector_pool
129,selector_pool
130,selector_pool
131,selector_pool
132,selector_pool
133,selector_pool
134,quantum_candidate_pool
135,quantum_candidate_pool
136,selector_pool
137,selector_pool
138,selector_pool
139,locked_holdout
140,selector_pool
141,selector_pool
142,quantum_candidate_pool
143,selector_pool
144,quantum_candidate_pool
145,selector_pool
146,selector_pool
147,quantum_candidate_pool
148,selector_pool
149,selector_pool
150,locked_holdout
151,selector_pool
152,selector_pool
153,quantum_candidate_pool
154,locked_holdout
155,quantum_candidate_pool
156,selector_pool
157,quantum_candidate_pool
158,selector_pool
159,locked_holdout
160,locked_holdout
161,selector_pool
162,selector_pool
163,selector_pool
164,selector_pool
165,locked_holdout
166,selector_pool
167,selector_pool
168,quantum_candidate_pool
169,locked_holdout
170,locked_holdout
171,selector_pool
172,locked_holdout
173,locked_holdout
174,selector_pool
175,selector_pool
176,selector_pool
177,selector_pool
178,selector_pool
179,selector_pool
180,quantum_candidate_pool
181,locked_holdout
182,quantum_candidate_pool
183,quantum_candidate_pool
184,selector_pool
185,selector_pool
186,selector_pool
187,locked_holdout
188,quantum_candidate_pool
189,selector_pool
190,quantum_candidate_pool
191,selector_pool
192,quantum_candidate_pool
193,selector_pool
194,quantum_candidate_pool
195,quantum_candidate_pool
196,selector_pool
197,selector_pool
198,locked_holdout
199,locked_holdout
200,selector_pool
201,selector_pool
202,selector_pool
203,selector_pool
204,selector_pool
205,selector_pool
206,selector_pool
207,selector_pool
208,selector_pool
209,locked_holdout
210,quantum_candidate_pool
211,selector_pool
212,selector_pool
213,selector_pool
214,quantum_candidate_pool
215,selector_pool
216,quantum_candidate_pool
217,selector_pool
218,selector_pool
219,selector_pool
220,quantum_candidate_pool
221,selector_pool
222,selector_pool
223,locked_holdout
224,selector_pool
225,selector_pool
226,selector_pool
227,selector_pool
228,selector_pool
229,selector_pool
230,locked_holdout
231,selector_pool
232,selector_pool
233,locked_holdout
234,selector_pool
235,selector_pool
236,selector_pool
