source_index,Potability,split
0,0,training_pool
1,0,training_pool
2,0,training_pool
3,0,training_pool
4,0,training_pool
5,0,training_pool
6,0,training_pool
7,0,training_pool
8,0,training_pool
9,0,training_pool
10,0,training_pool
11,0,training_pool
12,0,training_pool
13,0,training_pool
14,0,training_pool
15,0,training_pool
16,0,training_pool
17,0,training_pool
18,0,locked_holdout
19,0,training_pool
20,0,training_pool
21,0,training_pool
22,0,training_pool
23,0,training_pool
24,0,training_pool
25,0,training_pool
26,0,locked_holdout
27,0,training_pool
28,0,locked_holdout
29,0,locked_holdout
30,0,training_pool
31,0,training_pool
32,0,training_pool
33,0,locked_holdout
34,0,training_pool
35,0,training_pool
36,0,training_pool
37,0,training_pool
38,0,training_pool
39,0,locked_holdout
40,0,locked_holdout
41,0,training_pool
42,0,training_pool
43,0,training_pool
44,0,training_pool
45,0,training_pool
46,0,training_pool
47,0,training_pool
48,0,training_pool
49,0,training_pool
50,0,training_pool
51,0,training_pool
52,0,training_pool
53,0,training_pool
54,0,locked_holdout
55,0,training_pool
56,0,training_pool
57,0,locked_holdout
58,0,locked_holdout
59,0,training_pool
60,0,training_pool
61,0,training_pool
62,0,locked_holdout
63,0,training_pool
64,0,training_pool
65,0,training_pool
66,0,training_pool
67,0,training_pool
68,0,training_pool
69,0,training_pool
70,0,locked_holdout
71,0,training_pool
72,0,training_pool
73,0,training_pool
74,0,training_pool
75,0,training_pool
76,0,training_pool
77,0,training_pool
78,0,training_pool
79,0,training_pool
80,0,training_pool
81,0,training_pool
82,0,training_pool
83,0,training_pool
84,0,training_pool
85,0,training_pool
86,0,locked_holdout
87,0,training_pool
88,0,training_pool
89,0,training_pool
90,0,training_pool
91,0,training_pool
92,0,training_pool
93,0,training_pool
94,0,training_pool
95,0,training_pool
96,0,training_pool
97,0,training_pool
98,0,training_pool
99,0,locked_holdout
100,0,locked_holdout
101,0,training_pool
102,0,training_pool
103,0,training_pool
104,0,training_pool
105,0,locked_holdout
106,0,training_pool
107,0,training_pool
108,0,training_pool
109,0,training_pool
110,0,training_pool
111,0,training_pool
112,0,training_pool
113,0,training_pool
114,0,locked_holdout
115,0,locked_holdout
116,0,training_pool
117,0,training_pool
118,0,training_pool
119,0,training_pool
120,0,training_pool
121,0,locked_holdout
122,0,training_pool
123,0,training_pool
124,0,training_pool
125,0,training_pool
126,0,training_pool
127,0,training_pool
128,0,training_pool
129,0,training_pool
130,0,training_pool
131,0,locked_holdout
132,0,training_pool
133,0,locked_holdout
134,0,training_pool
135,0,locked_holdout
136,0,training_pool
137,0,training_pool
138,0,locked_holdout
139,0,training_pool
140,0,training_pool
141,0,training_pool
142,0,training_pool
143,0,training_pool
144,0,training_pool
145,0,training_pool
146,0,training_pool
147,0,training_pool
148,0,training_pool
149,0,locked_holdout
150,0,training_pool
151,0,training_pool
152,0,training_pool
153,0,training_pool
154,0,training_pool
155,0,training_pool
156,0,training_pool
157,0,training_pool
158,0,training_pool
159,0,training_pool
160,0,training_pool
161,0,training_pool
162,0,training_pool
163,0,training_pool
164,0,locked_holdout
165,0,training_pool
166,0,training_pool
167,0,training_pool
168,0,training_pool
169,0,training_pool
170,0,training_pool
171,0,training_pool
