position,source_index,Potability,validation_fold
0,127,0,1
1,41,0,0
2,3183,1,0
3,1619,1,1
4,549,0,1
5,2012,1,1
6,1105,1,3
7,999,0,3
8,378,1,0
9,1256,0,1
10,3103,0,0
11,1184,1,1
12,3137,1,0
13,2145,0,3
14,542,0,3
15,1796,0,3
16,2110,0,1
17,680,1,2
18,1928,1,3
19,1394,0,2
20,373,1,1
21,1533,1,0
22,1539,1,1
23,1458,0,0
24,3253,1,3
25,628,0,0
26,414,0,0
27,2306,1,2
28,2751,1,1
29,1127,1,2
30,2653,0,0
31,2664,0,0
32,2580,0,2
33,275,1,3
34,2395,1,0
35,2030,1,2
36,2669,0,1
37,1185,1,2
38,1807,0,3
39,106,0,2
40,2363,1,3
41,118,0,2
42,261,1,3
43,2681,0,3
44,1200,1,0
45,122,0,1
46,1153,1,1
47,3193,1,2
48,855,0,2
49,3139,1,2
50,2066,0,0
51,1328,0,3
52,2089,0,3
53,1262,0,2
54,2734,1,3
55,2723,1,0
56,1679,0,2
57,1874,0,2
58,2586,0,1
59,3261,1,2
60,1190,1,0
61,698,1,3
62,2258,0,1
63,329,1,1
