check,passed
dataset_has_3276_rows,True
split_before_preprocessing,True
holdout_not_used_for_selection,True
full_model_uses_frozen_params,True
full_holdout_f1_gate_passed,True
raw64_hash_matches,True
folds64_hash_matches,True
subset64_balanced_32_32,True
subset64_training_pool_only,True
subset64_no_holdout_overlap,True
four_folds_are_8_8,True
classical64_is_exact_same_pipeline,True
one_quantum_map_only,True
quantum_uses_all_9_original_features,True
quantum_preprocessing_is_fold_local,True
quantum_C_is_frozen,True
quantum_kernel_mode_is_frozen,True
no_qiskit_imported,True
