number,value,params_C,params_balance_strategy,params_gamma,params_imputer,params_knn_neighbors,params_knn_weights,params_positive_class_weight,params_sampling_strategy,params_scaler,params_smote_k_neighbors,user_attrs_mean_average_precision,user_attrs_mean_f1_default,user_attrs_mean_roc_auc,user_attrs_std_average_precision,state
0,0.5605065786629673,0.05415244119402541,borderline_smote,0.008179499475211672,median_indicator,,,,0.7243186887373967,standard,3.0,0.5629727776488909,0.0,0.6385110540077716,0.024661989859235893,COMPLETE
1,0.4371858945194543,17.12337597316399,smote,0.008200518402245833,knn_indicator,3.0,distance,,0.9821099380386666,robust,9.0,0.4397186185183643,0.4150836838826188,0.5220397348025723,0.02532723998910008,COMPLETE
2,0.5095690785956738,75.56810141274431,class_weight_balanced,0.2115429079726121,median_indicator,,,,,power,,0.511904765185132,0.504207519739017,0.621536811930216,0.02335686589458109,COMPLETE
3,0.537927350768111,16.172900811143155,smote,0.0016736010167825778,median,,,,0.839943629105387,robust,3.0,0.5410074128969964,0.0,0.6127743578005979,0.030800621288853205,COMPLETE
4,0.56042559232637,0.17535949529764422,borderline_smote,0.009452571391072306,median,,,,0.7658143086984273,standard,3.0,0.5629265145819362,0.0,0.6384568873926396,0.02500922255566155,COMPLETE
5,0.5480266063489305,42.68407710065497,smote_tomek,0.005595986878006083,knn,3.0,distance,,0.7600245933767144,robust,7.0,0.5507958497656132,0.008723839201245536,0.6282740966612771,0.02769243416682704,COMPLETE
6,0.5700160243737484,38.40300419098858,smote_tomek,0.008995191735587165,median_indicator,,,,0.8387697846704778,power,9.0,0.5724541820349627,0.4384168872975084,0.6544505651412833,0.02438157661214273,COMPLETE
7,0.4776967543091669,77.11312991331113,class_weight_balanced,0.7715105777813047,knn_indicator,15.0,distance,,,standard,,0.4804378603252081,0.2938450189747696,0.6123886183874689,0.02741106016041166,COMPLETE
8,0.5603651909749162,0.09294394155644994,class_weight_custom,0.10385003379927414,median_indicator,,,2.9551452922306627,,robust,,0.562402635527133,0.5612294427109242,0.654816732340348,0.020374445522168178,COMPLETE
9,0.41775218360095673,5.131654955148327,class_weight_balanced,0.0011214075785991131,median,,,,,robust,,0.41991470347266546,0.3238906932430972,0.4896025203270772,0.02162519871708742,COMPLETE
10,0.560804255648202,10.584627600919594,borderline_smote,0.005442271907786736,median_indicator,,,,0.8417757837552156,power,9.0,0.5629045683307181,0.268207303044015,0.6388915755536866,0.021003126825160683,COMPLETE
11,0.5559376976678582,31.09967890667109,borderline_smote,0.0022084311239302717,median_indicator,,,,0.8329219818319151,power,9.0,0.5580559571529541,0.18883062838373044,0.6327443208053922,0.021182594850959743,COMPLETE
12,0.5616944213326178,3.9820867907305493,smote_tomek,0.0363172255195015,median_indicator,,,,0.8946186495094569,power,7.0,0.5642215213151565,0.47775390311013705,0.6470992305525696,0.025270999825386428,COMPLETE
13,0.5409238336467133,1.022579566577713,smote_tomek,0.02671520363137398,median_indicator,,,,0.9525872257593395,power,5.0,0.5436009206206329,0.46264585949917425,0.6218925031042504,0.02677086973919673,COMPLETE
14,0.5426366975393416,22.020335525868404,smote_tomek,0.10096096397428315,median_indicator,,,,0.6950484895687715,standard,9.0,0.5448416319505818,0.48856354989817163,0.64198733699172,0.022049344112401937,COMPLETE
15,0.5105413686791829,0.33785531456516676,smote_tomek,0.003859760355369963,knn,9.0,uniform,,0.899040148107568,power,7.0,0.5143807625568135,0.0,0.5804922724499234,0.03839393877630634,COMPLETE
16,0.553798813762851,72.14636784148742,class_weight_custom,0.02413638042427387,knn_indicator,9.0,distance,1.0621836732210197,,power,,0.5561589045769872,0.4396170059179312,0.6451569756993324,0.02360090814136262,COMPLETE
17,0.5432266268860361,91.913016735413,smote_tomek,0.030542030474229518,median_indicator,,,,0.8535485963474764,power,7.0,0.5463371056391699,0.4933704771639129,0.6347763161815304,0.031104787531338333,COMPLETE
18,0.5111872384637515,91.06353447447947,smote_tomek,0.0012628522257239342,knn_indicator,15.0,uniform,,0.9813817242447472,power,7.0,0.5130264064767242,0.44801953153730817,0.5912530910153457,0.018391680129727195,COMPLETE
19,0.5458114562497941,2.567080235143819,borderline_smote,0.0721270769552486,knn_indicator,3.0,uniform,,0.9822567315676288,power,3.0,0.5492363591614561,0.5359526050902763,0.6452784498734313,0.03424902911661941,COMPLETE
20,0.5768228901267394,7.824520430340897,smote_tomek,0.05564284242478379,median,,,,0.8234281858502869,power,5.0,0.5792785279939329,0.4859238831750619,0.6696161774356888,0.024556378671935445,COMPLETE
