repeat,average_precision,roc_auc,maxf1_threshold,maxf1_accuracy,maxf1_precision,maxf1_recall,maxf1_f1,maxf1_specificity,maxf1_false_positive_rate,maxf1_balanced_accuracy,maxf1_mcc,maxf1_tn,maxf1_fp,maxf1_fn,maxf1_tp,safety_threshold,safety_accuracy,safety_precision,safety_recall,safety_f1,safety_specificity,safety_false_positive_rate,safety_balanced_accuracy,safety_mcc,safety_tn,safety_fp,safety_fn,safety_tp
0,0.6293115504524853,0.603515625,-0.008768592673637825,0.5625,0.5333333333333333,1.0,0.6956521739130435,0.125,0.875,0.5625,0.2581988897471611,4.0,28.0,0.0,32.0,0.00887932869016457,0.5625,0.6111111111111112,0.34375,0.44,0.78125,0.21875,0.5625,0.13900960937138318,25.0,7.0,21.0,11.0
1,0.6560644426628162,0.6416015625,0.0005839089380338481,0.625,0.5769230769230769,0.9375,0.7142857142857143,0.3125,0.6875,0.625,0.32025630761017426,10.0,22.0,2.0,30.0,0.0069708249334296405,0.5625,0.6,0.375,0.46153846153846156,0.75,0.25,0.5625,0.13483997249264842,24.0,8.0,20.0,12.0
2,0.6762041745505458,0.6640625,0.002422157072874872,0.625,0.5740740740740741,0.96875,0.7209302325581395,0.28125,0.71875,0.625,0.34426518632954817,9.0,23.0,1.0,31.0,0.008661613305090849,0.609375,0.6521739130434783,0.46875,0.5454545454545454,0.75,0.25,0.609375,0.22795136315904263,24.0,8.0,17.0,15.0
3,0.6205135823398993,0.671875,0.002963757719406377,0.703125,0.6511627906976745,0.875,0.7466666666666667,0.53125,0.46875,0.703125,0.43261291166581917,17.0,15.0,4.0,28.0,0.00696013105298363,0.546875,0.5789473684210527,0.34375,0.43137254901960786,0.75,0.25,0.546875,0.10259783520851541,24.0,8.0,21.0,11.0
4,0.626959209792779,0.6494140625,0.0005572116118240622,0.609375,0.5636363636363636,0.96875,0.7126436781609196,0.25,0.75,0.609375,0.3146266024828463,8.0,24.0,1.0,31.0,0.008069619099255054,0.578125,0.6190476190476191,0.40625,0.49056603773584906,0.75,0.25,0.578125,0.16638958140993043,24.0,8.0,19.0,13.0
5,0.6068117202790799,0.62109375,-0.0013723057521136106,0.59375,0.5535714285714286,0.96875,0.7045454545454546,0.21875,0.78125,0.59375,0.2834733547569204,7.0,25.0,1.0,31.0,0.0066296906779186905,0.578125,0.6190476190476191,0.40625,0.49056603773584906,0.75,0.25,0.578125,0.16638958140993043,24.0,8.0,19.0,13.0
6,0.6624753278370814,0.6484375,0.00234007363959474,0.625,0.58,0.90625,0.7073170731707317,0.34375,0.65625,0.625,0.30237157840738177,11.0,21.0,3.0,29.0,0.007295081088202866,0.59375,0.65,0.40625,0.5,0.78125,0.21875,0.59375,0.20225995873897262,25.0,7.0,19.0,13.0
7,0.5875505856564474,0.5986328125,-0.00136537942676481,0.625,0.5714285714285714,1.0,0.7272727272727273,0.25,0.75,0.625,0.3779644730092272,8.0,24.0,0.0,32.0,0.007080287811392917,0.515625,0.5294117647058824,0.28125,0.3673469387755102,0.75,0.25,0.515625,0.03537745688386125,24.0,8.0,23.0,9.0
8,0.6777437843209285,0.6533203125,0.004130886177692685,0.625,0.5769230769230769,0.9375,0.7142857142857143,0.3125,0.6875,0.625,0.32025630761017426,10.0,22.0,2.0,30.0,0.008019069800171082,0.625,0.7,0.4375,0.5384615384615384,0.8125,0.1875,0.625,0.26967994498529685,26.0,6.0,18.0,14.0
9,0.5635336450791113,0.583984375,0.0005637229721215289,0.578125,0.5454545454545454,0.9375,0.6896551724137931,0.21875,0.78125,0.578125,0.22473328748774737,7.0,25.0,2.0,30.0,0.008782965630214605,0.546875,0.5789473684210527,0.34375,0.43137254901960786,0.75,0.25,0.546875,0.10259783520851541,24.0,8.0,21.0,11.0
