source_index,Potability,validation_fold
127,0,1
41,0,0
3183,1,0
1619,1,1
549,0,1
2012,1,1
1105,1,3
999,0,3
378,1,0
1256,0,1
3103,0,0
1184,1,1
3137,1,0
2145,0,3
542,0,3
1796,0,3
2110,0,1
680,1,2
1928,1,3
1394,0,2
373,1,1
1533,1,0
1539,1,1
1458,0,0
3253,1,3
628,0,0
414,0,0
2306,1,2
2751,1,1
1127,1,2
2653,0,0
2664,0,0
2580,0,2
275,1,3
2395,1,0
2030,1,2
2669,0,1
1185,1,2
1807,0,3
106,0,2
2363,1,3
118,0,2
261,1,3
2681,0,3
1200,1,0
122,0,1
1153,1,1
3193,1,2
855,0,2
3139,1,2
2066,0,0
1328,0,3
2089,0,3
1262,0,2
2734,1,3
2723,1,0
1679,0,2
1874,0,2
2586,0,1
3261,1,2
1190,1,0
698,1,3
2258,0,1
329,1,1
