number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,user_attrs_mean_average_precision,user_attrs_mean_roc_auc,user_attrs_std_average_precision,state
0,0.6769894943295894,2026-07-21 21:50:33.536074,2026-07-21 21:50:33.608874,0 days 00:00:00.072800,0.014843641541707532,0.4052083675363218,0.7034631167443668,0.63671875,0.06450312391467283,COMPLETE
1,0.6673084849982647,2026-07-21 21:50:33.611611,2026-07-21 21:50:33.686367,0 days 00:00:00.074756,29.05059959549512,0.5146849395723732,0.6881555076867576,0.6328125,0.04244120382465538,COMPLETE
2,0.42690264663278216,2026-07-21 21:50:33.691518,2026-07-21 21:50:33.763045,0 days 00:00:00.071527,1.3856024160824512,0.0033444582912761788,0.4663145881895882,0.359375,0.0733006509992955,COMPLETE
3,0.43736023816723196,2026-07-21 21:50:33.764451,2026-07-21 21:50:33.828001,0 days 00:00:00.063550,0.011417146705021574,0.0014822594767412618,0.4742567328504828,0.375,0.07119474828105966,COMPLETE
4,0.4662500629043729,2026-07-21 21:50:33.833574,2026-07-21 21:50:33.908433,0 days 00:00:00.074859,10.115475427115173,0.002068078350898673,0.5051110347985348,0.40625,0.09202661454601488,COMPLETE
5,0.4789719579512557,2026-07-21 21:50:33.910260,2026-07-21 21:50:33.988585,0 days 00:00:00.078325,2.1944000095446294,0.031799696107372676,0.5158117923742924,0.43359375,0.12174421710748938,COMPLETE
6,0.48842842689298194,2026-07-21 21:50:33.992727,2026-07-21 21:50:34.085388,0 days 00:00:00.092661,3.078078398989548,0.029235842852090313,0.5242073031135532,0.44921875,0.13282310286505278,COMPLETE
7,0.4726107355207137,2026-07-21 21:50:34.087283,2026-07-21 21:50:34.160475,0 days 00:00:00.073192,0.2593510220324036,0.05686214228974677,0.5167160964035964,0.4140625,0.13309281961803776,COMPLETE
8,0.5035152188168394,2026-07-21 21:50:34.166501,2026-07-21 21:50:34.244546,0 days 00:00:00.078045,40.61378314728614,0.004827284447578989,0.540745279026529,0.4609375,0.13287726501730915,COMPLETE
9,0.4836328882814499,2026-07-21 21:50:34.246551,2026-07-21 21:50:34.317430,0 days 00:00:00.070879,3.2467841417330208,0.02587947451248404,0.5202152014652015,0.44140625,0.1293962774419109,COMPLETE
10,0.6871258361457928,2026-07-21 21:50:34.324647,2026-07-21 21:50:34.411984,0 days 00:00:00.087337,0.01127387780450154,0.7492776701043377,0.7019092019092019,0.671875,0.05773105190648529,COMPLETE
11,0.6871258361457928,2026-07-21 21:50:34.413755,2026-07-21 21:50:34.469482,0 days 00:00:00.055727,0.011906814992785406,0.7630827289966329,0.7019092019092019,0.671875,0.05773105190648529,COMPLETE
12,0.6995078310256094,2026-07-21 21:50:34.473969,2026-07-21 21:50:34.527832,0 days 00:00:00.053863,0.06286312440262014,0.9805120710310026,0.7128809558497058,0.6875,0.05758838069184571,COMPLETE
13,0.5707399719275066,2026-07-21 21:50:34.531624,2026-07-21 21:50:34.581962,0 days 00:00:00.050338,0.08675648478236818,0.19207038602307966,0.6018078275890776,0.53515625,0.11072382384847713,COMPLETE
14,0.5818592859462426,2026-07-21 21:50:34.586126,2026-07-21 21:50:34.647408,0 days 00:00:00.061282,0.09438552919365609,0.20102549681551832,0.6124037420912422,0.546875,0.10885833517626989,COMPLETE
15,0.6947465415108034,2026-07-21 21:50:34.648761,2026-07-21 21:50:34.698757,0 days 00:00:00.049996,0.0528818132420795,0.8650942355651974,0.7093085733710734,0.6796875,0.05675709848947946,COMPLETE
16,0.567776312922444,2026-07-21 21:50:34.701771,2026-07-21 21:50:34.765912,0 days 00:00:00.064141,0.31403593727231177,0.18634410867618142,0.5995756847319348,0.53125,0.11301666389910424,COMPLETE
17,0.49131024140845864,2026-07-21 21:50:34.767290,2026-07-21 21:50:34.812747,0 days 00:00:00.045457,0.04433860853984227,0.09740815626643787,0.5321866501554001,0.44140625,0.1364228870032139,COMPLETE
18,0.6969435779835689,2026-07-21 21:50:34.816184,2026-07-21 21:50:34.878918,0 days 00:00:00.062734,0.47458250148369063,0.8922037194793385,0.710710816960817,0.68359375,0.05632118889002962,COMPLETE
19,0.6746973624059045,2026-07-21 21:50:34.880331,2026-07-21 21:50:34.928385,0 days 00:00:00.048054,0.5002553036643415,0.3858245329959847,0.7020894903707404,0.6328125,0.06609030853613741,COMPLETE
20,0.6108063104042751,2026-07-21 21:50:34.931288,2026-07-21 21:50:35.001334,0 days 00:00:00.070046,0.7695818743661541,0.26501905516704904,0.6388433614996114,0.58203125,0.10993417645452827,COMPLETE
21,0.6995078310256094,2026-07-21 21:50:35.005031,2026-07-21 21:50:35.058211,0 days 00:00:00.053180,0.0647697340767785,0.9379288603478536,0.7128809558497058,0.6875,0.05758838069184571,COMPLETE
22,0.6995078310256094,2026-07-21 21:50:35.064650,2026-07-21 21:50:35.127548,0 days 00:00:00.062898,0.13862079168049715,0.9467223621014592,0.7128809558497058,0.6875,0.05758838069184571,COMPLETE
23,0.6742528826256805,2026-07-21 21:50:35.129103,2026-07-21 21:50:35.176433,0 days 00:00:00.047330,0.16091707792048124,0.5413841730564725,0.6931179931179932,0.6484375,0.05460962556914683,COMPLETE
24,0.6995078310256094,2026-07-21 21:50:35.181792,2026-07-21 21:50:35.238296,0 days 00:00:00.056504,0.03271127684162712,0.9578952003220178,0.7128809558497058,0.6875,0.05758838069184571,COMPLETE
25,0.6314783543626422,2026-07-21 21:50:35.239745,2026-07-21 21:50:35.285992,0 days 00:00:00.046247,0.02987545787978252,0.3120197923698112,0.6572145736208237,0.6015625,0.09040597171934327,COMPLETE
26,0.493099935079078,2026-07-21 21:50:35.288967,2026-07-21 21:50:35.347064,0 days 00:00:00.058097,0.12432753276483219,0.10775119921897212,0.5296816898379398,0.44921875,0.12442872807479825,COMPLETE
27,0.6684194277383061,2026-07-21 21:50:35.348477,2026-07-21 21:50:35.398842,0 days 00:00:00.050365,0.17227784791993112,0.49789186471442803,0.6892518072205573,0.63671875,0.05072462316084023,COMPLETE
28,0.5219598108327419,2026-07-21 21:50:35.401935,2026-07-21 21:50:35.460907,0 days 00:00:00.058972,0.06434804703256478,0.13672289635757265,0.5538453733766234,0.484375,0.11044450530894465,COMPLETE
29,0.6769894943295894,2026-07-21 21:50:35.462345,2026-07-21 21:50:35.508014,0 days 00:00:00.045669,0.022924205794841588,0.4086980239358648,0.7034631167443668,0.63671875,0.06450312391467283,COMPLETE
30,0.6771000248208254,2026-07-21 21:50:35.511371,2026-07-21 21:50:35.574912,0 days 00:00:00.063541,0.02178091626624173,0.5777227569115294,0.695350135975136,0.65234375,0.053481953617696906,COMPLETE
31,0.6969435779835689,2026-07-21 21:50:35.576853,2026-07-21 21:50:35.624959,0 days 00:00:00.048106,0.032619677749937445,0.9302910942081143,0.710710816960817,0.68359375,0.05632118889002962,COMPLETE
32,0.6366523007807449,2026-07-21 21:50:35.628711,2026-07-21 21:50:35.693557,0 days 00:00:00.064846,0.07706501233019948,0.33010460971987027,0.6611039134476635,0.609375,0.08932938632619583,COMPLETE
33,0.6771000248208254,2026-07-21 21:50:35.694956,2026-07-21 21:50:35.746001,0 days 00:00:00.051045,0.22363340785850586,0.5786763047643795,0.695350135975136,0.65234375,0.053481953617696906,COMPLETE
34,0.6969435779835689,2026-07-21 21:50:35.749451,2026-07-21 21:50:35.811252,0 days 00:00:00.061801,0.033033813374011456,0.9073926859965834,0.710710816960817,0.68359375,0.05632118889002962,COMPLETE
35,0.698854942161409,2026-07-21 21:50:35.812813,2026-07-21 21:50:35.861755,0 days 00:00:00.048942,91.66821418273669,0.9913821022634995,0.7128809558497058,0.6875,0.06411726933384986,COMPLETE
36,0.6742528826256805,2026-07-21 21:50:35.865129,2026-07-21 21:50:35.923399,0 days 00:00:00.058270,0.05369343539609418,0.5513260481062947,0.6931179931179932,0.6484375,0.05460962556914683,COMPLETE
37,0.5988556644943468,2026-07-21 21:50:35.924824,2026-07-21 21:50:35.973687,0 days 00:00:00.048863,0.021595876602847,0.25064736536780896,0.6279428904428904,0.56640625,0.10626233815676409,COMPLETE
38,0.6787899621199143,2026-07-21 21:50:35.977855,2026-07-21 21:50:36.057077,0 days 00:00:00.079222,0.11659522246972881,0.41596074284812934,0.7045047834110334,0.640625,0.06550886267809052,COMPLETE
39,0.4375351197345293,2026-07-21 21:50:36.058497,2026-07-21 21:50:36.106365,0 days 00:00:00.047868,0.7994511721375048,0.009636703568198315,0.47901976495726495,0.37109375,0.09106840735556139,COMPLETE
40,0.6759874479214796,2026-07-21 21:50:36.109782,2026-07-21 21:50:36.167038,0 days 00:00:00.057256,8.123694517866458,0.5868575188952517,0.6956303245365745,0.64453125,0.043131542541225976,COMPLETE
41,0.6801491467782492,2026-07-21 21:50:36.168446,2026-07-21 21:50:36.215411,0 days 00:00:00.046965,81.84250220593742,0.6771460176131822,0.6962713501776002,0.66015625,0.052876733460708036,COMPLETE
42,0.698854942161409,2026-07-21 21:50:36.218215,2026-07-21 21:50:36.282233,0 days 00:00:00.064018,10.496430032242591,0.9925740732251572,0.7128809558497058,0.6875,0.06411726933384986,COMPLETE
43,0.6551047663828785,2026-07-21 21:50:36.283680,2026-07-21 21:50:36.332759,0 days 00:00:00.049079,24.609357422686962,0.43626488642614614,0.6766218156843157,0.62109375,0.048586295961423207,COMPLETE
44,0.6995078310256094,2026-07-21 21:50:36.339030,2026-07-21 21:50:36.396209,0 days 00:00:00.057179,0.017208082644251138,0.9874480738637739,0.7128809558497058,0.6875,0.05758838069184571,COMPLETE
