number,value,datetime_start,datetime_complete,duration,params_C,params_cleaning_neighbors,params_feature_mode,params_gamma,params_geometry_clusters,params_geometry_neighbors,params_imputer,params_local_geometry,params_sampling_strategy_name,params_scaler,params_smote_neighbors,params_smote_ratio,params_winsor_mode,user_attrs_mean_average_precision,user_attrs_mean_roc_auc,user_attrs_std_average_precision,state
0,0.5367557354140193,2026-07-21 21:36:26.885316,2026-07-21 21:36:34.218563,0 days 00:00:07.333247,0.0629064429458615,7.0,basic,0.034890188454913866,,,median,none,allknn,power,,,p01,0.5059869953331919,0.6221704701932,0.040863023771750315,COMPLETE
1,0.4930513552225367,2026-07-21 21:36:34.223169,2026-07-21 21:36:49.592834,0 days 00:00:15.369665,48.696409415209004,5.0,ratios,0.0018427970406864537,,7.0,median_indicator,density_anomaly,ncr,robust,,,none,0.46513691723493783,0.5691556477726232,0.03291181173706717,COMPLETE
2,0.552157274881568,2026-07-21 21:36:49.600248,2026-07-21 21:37:00.446202,0 days 00:00:10.845954,0.17535949529764422,,full,0.009452571391072306,,,median_indicator,none,smote_tomek,robust,3.0,0.7658143086984273,p025,0.5285208993829994,0.6170863994013003,0.02933274506921675,COMPLETE
3,0.5874392907076955,2026-07-21 21:37:00.451363,2026-07-21 21:37:10.926973,0 days 00:00:10.475610,52.334804885400885,,ratios,0.26568139241144917,,7.0,median_indicator,density_anomaly,class_weight_balanced,robust,,,p025,0.560615272318337,0.659687932421229,0.028977796415090684,COMPLETE
4,0.5474741892945469,2026-07-21 21:37:10.932627,2026-07-21 21:37:17.233567,0 days 00:00:06.300940,0.9749762207436125,,basic,0.007991621920384355,,9.0,median,density,smote_enn,power,5.0,0.9868565532297389,p01,0.5165311863038738,0.6298191092516218,0.030433738936513317,COMPLETE
5,0.5227963860653199,2026-07-21 21:37:17.237624,2026-07-21 21:37:19.249719,0 days 00:00:02.012095,0.011650681118986135,7.0,ratios,0.03437788661779579,,9.0,median_indicator,density,allknn,robust,,,none,0.49456818945433056,0.5938369068286387,0.015524186013031033,COMPLETE
6,0.5674968435642713,2026-07-21 21:37:19.252707,2026-07-21 21:37:24.692805,0 days 00:00:05.440098,13.16746532693615,,full,0.0843519134174305,,7.0,median_indicator,density,tomek,standard,,,p01,0.5387300487347353,0.6431605855030291,0.025623662009520737,COMPLETE
7,0.5393945556196174,2026-07-21 21:37:24.697218,2026-07-21 21:37:27.934509,0 days 00:00:03.237291,3.346220103048383,,ratios,0.24234491447023154,,13.0,median_indicator,density,smote_enn,robust,9.0,0.7875842036333661,none,0.5072148046892504,0.6192752730297333,0.014383895717779387,COMPLETE
8,0.554099369327812,2026-07-21 21:37:27.939094,2026-07-21 21:37:35.297237,0 days 00:00:07.358143,2.8842234716878457,,basic,0.9336015204266915,7.0,15.0,median,density_clusters,smote_tomek,robust,3.0,0.8495214095312777,p01,0.5230918961846618,0.6336127415140497,0.021487804556661865,COMPLETE
9,0.5564071392164102,2026-07-21 21:37:35.300303,2026-07-21 21:37:40.766339,0 days 00:00:05.466036,2.308516815110802,,ratios,0.001234527446602447,6.0,13.0,median_indicator,density_clusters,none,power,,,p025,0.5315017193721839,0.6226107634328868,0.02427293373984634,COMPLETE
