threshold,accuracy,precision,recall,f1,specificity,false_positive_rate,balanced_accuracy,mcc,tn,fp,fn,tp,outer_fold,policy,average_precision,roc_auc
-0.8142136389415817,0.5572519083969466,0.45930232558139533,0.7745098039215687,0.5766423357664233,0.41875,0.58125,0.5966299019607844,0.19843402133920165,134,186,46,158,1,max_f1,0.6143513196384018,0.692233455882353
-0.27885784871737096,0.6603053435114504,0.5738636363636364,0.4950980392156863,0.531578947368421,0.765625,0.234375,0.6303615196078431,0.2691680616145515,245,75,103,101,1,safety,0.6143513196384018,0.692233455882353
-1.0552710640913636,0.4751908396946565,0.4198645598194131,0.9117647058823529,0.5749613601236476,0.196875,0.803125,0.5543198529411765,0.14653260874788082,63,257,18,186,2,max_f1,0.6078818069611543,0.6979473039215687
-0.2540161502096987,0.6641221374045801,0.5823529411764706,0.4852941176470588,0.5294117647058824,0.778125,0.22187500000000004,0.6317095588235294,0.2743539844640009,249,71,105,99,2,safety,0.6078818069611543,0.6979473039215687
-0.7759017232120644,0.5534351145038168,0.45588235294117646,0.7598039215686274,0.5698529411764706,0.421875,0.578125,0.5908394607843137,0.18558644218380072,135,185,49,155,3,max_f1,0.5665585925216188,0.6566789215686275
-0.28786558461331513,0.6393129770992366,0.5418994413407822,0.47549019607843135,0.5065274151436031,0.74375,0.25625,0.6096200980392157,0.2254105255940173,238,82,107,97,3,safety,0.5665585925216188,0.6566789215686275
-0.8187299268533558,0.5782442748091603,0.4751552795031056,0.7463414634146341,0.5806451612903226,0.4702194357366771,0.5297805642633229,0.6082804495756556,0.21714443186301138,150,169,52,153,4,max_f1,0.6089406258962828,0.6922547595381909
-0.26556088403348554,0.6736641221374046,0.6036585365853658,0.48292682926829267,0.5365853658536586,0.7962382445141066,0.20376175548589337,0.6395825368911996,0.29380567531461665,254,65,106,99,4,safety,0.6089406258962828,0.6922547595381909
-0.9408342625515969,0.5095419847328244,0.4362745098039216,0.8682926829268293,0.5807504078303426,0.27899686520376177,0.7210031347962382,0.5736447740652955,0.17313510142381805,89,230,27,178,5,max_f1,0.571869720309351,0.6675739735453782
-0.29002939132123995,0.6431297709923665,0.5511363636363636,0.47317073170731705,0.5091863517060368,0.7523510971786834,0.24764890282131657,0.6127609144430002,0.2330316450405409,240,79,108,97,5,safety,0.571869720309351,0.6675739735453782
