Split_Number,Repeat,Fold,Sample_ID,Potability,Role
1,1,1,WP_1593,0,Train
1,1,1,WP_1669,1,Train
1,1,1,WP_1651,0,Train
1,1,1,WP_1081,0,Train
1,1,1,WP_0491,1,Train
1,1,1,WP_1748,1,Train
1,1,1,WP_0594,0,Train
1,1,1,WP_1366,0,Train
1,1,1,WP_1247,1,Train
1,1,1,WP_1410,1,Train
1,1,1,WP_0693,1,Train
1,1,1,WP_0062,0,Train
1,1,1,WP_1489,1,Train
1,1,1,WP_0626,0,Train
1,1,1,WP_1325,0,Train
1,1,1,WP_0973,1,Train
1,1,1,WP_1324,0,Train
1,1,1,WP_2009,1,Train
1,1,1,WP_1190,1,Train
1,1,1,WP_1869,0,Train
1,1,1,WP_0564,0,Train
1,1,1,WP_1437,1,Train
1,1,1,WP_0090,0,Train
1,1,1,WP_1604,0,Train
1,1,1,WP_0653,0,Train
1,1,1,WP_1841,0,Train
1,1,1,WP_1623,0,Train
1,1,1,WP_0258,0,Train
1,1,1,WP_0055,0,Train
1,1,1,WP_1834,0,Train
1,1,1,WP_1291,0,Train
1,1,1,WP_0710,1,Train
1,1,1,WP_1673,1,Train
1,1,1,WP_1319,0,Train
1,1,1,WP_1020,0,Train
1,1,1,WP_1471,1,Train
1,1,1,WP_1817,0,Train
1,1,1,WP_1750,1,Train
1,1,1,WP_1777,0,Train
1,1,1,WP_0739,1,Train
1,1,1,WP_0086,0,Train
1,1,1,WP_1873,0,Train
1,1,1,WP_1225,1,Train
1,1,1,WP_1974,1,Train
1,1,1,WP_1686,1,Train
1,1,1,WP_0150,0,Train
1,1,1,WP_1812,0,Train
1,1,1,WP_1198,1,Train
1,1,1,WP_0590,0,Train
1,1,1,WP_1820,0,Train
1,1,1,WP_1248,1,Train
1,1,1,WP_1731,1,Train
1,1,1,WP_1851,0,Train
1,1,1,WP_0110,0,Train
1,1,1,WP_0097,0,Train
1,1,1,WP_1603,0,Train
1,1,1,WP_0040,0,Train
1,1,1,WP_1148,0,Train
1,1,1,WP_1273,0,Train
1,1,1,WP_0764,0,Train
1,1,1,WP_1159,1,Train
1,1,1,WP_1949,1,Train
1,1,1,WP_1465,1,Train
1,1,1,WP_0905,0,Train
1,1,1,WP_0422,1,Train
1,1,1,WP_0862,0,Train
