Split_Number,Repeat,Fold,Train_N,Train_Class_0,Train_Class_1,Validation_N,Validation_Class_0,Validation_Class_1
1,1,1,1286,768,518,322,192,130
2,1,2,1286,768,518,322,192,130
3,1,3,1286,768,518,322,192,130
4,1,4,1287,768,519,321,192,129
5,1,5,1287,768,519,321,192,129
6,2,1,1286,768,518,322,192,130
7,2,2,1286,768,518,322,192,130
8,2,3,1286,768,518,322,192,130
9,2,4,1287,768,519,321,192,129
10,2,5,1287,768,519,321,192,129
11,3,1,1286,768,518,322,192,130
12,3,2,1286,768,518,322,192,130
13,3,3,1286,768,518,322,192,130
14,3,4,1287,768,519,321,192,129
15,3,5,1287,768,519,321,192,129
