Model,Split_Number,Repeat,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC,ROC_AUC,Specificity,Unsafe_Acceptance
Raw-9,1,1,1,0.6739130434782609,0.6483173076923077,0.6146788990825688,0.5153846153846153,0.5606694560669456,0.30756794354714573,0.6913461538461538,0.78125,0.21875
Raw-9,2,1,2,0.6304347826086957,0.6118589743589744,0.5447154471544715,0.5153846153846153,0.5296442687747036,0.2259144577599844,0.6699519230769231,0.7083333333333334,0.29166666666666663
Raw-9,3,1,3,0.6801242236024845,0.6522836538461538,0.6285714285714286,0.5076923076923077,0.5617021276595745,0.318772654038547,0.7355769230769231,0.796875,0.203125
Raw-9,4,1,4,0.7133956386292835,0.6980983527131783,0.6504065040650406,0.6201550387596899,0.6349206349206349,0.39955004001092126,0.7530684754521964,0.7760416666666666,0.22395833333333337
Raw-9,5,1,5,0.6448598130841121,0.6369912790697674,0.5539568345323741,0.5968992248062015,0.5746268656716418,0.27109736208057966,0.6808381782945736,0.6770833333333334,0.32291666666666663
Raw-9,6,2,1,0.6428571428571429,0.6297275641025641,0.5572519083969466,0.5615384615384615,0.5593869731800766,0.25913866561731264,0.6913060897435896,0.6979166666666666,0.30208333333333337
Raw-9,7,2,2,0.6801242236024845,0.6696714743589745,0.6015037593984962,0.6153846153846154,0.6083650190114068,0.33814611120433885,0.7114583333333333,0.7239583333333334,0.27604166666666663
Raw-9,8,2,3,0.6583850931677019,0.640264423076923,0.5819672131147541,0.5461538461538461,0.5634920634920635,0.2837297678761727,0.6764022435897434,0.734375,0.265625
Raw-9,9,2,4,0.6542056074766355,0.6409883720930233,0.5692307692307692,0.5736434108527132,0.5714285714285714,0.28162447907965815,0.6866521317829456,0.7083333333333334,0.29166666666666663
Raw-9,10,2,5,0.719626168224299,0.698219476744186,0.672566371681416,0.5891472868217055,0.628099173553719,0.40695922850035404,0.7668362403100775,0.8072916666666666,0.19270833333333337
Raw-9,11,3,1,0.6335403726708074,0.6094951923076923,0.5526315789473685,0.4846153846153846,0.5163934426229508,0.22467939393018638,0.6839342948717949,0.734375,0.265625
Raw-9,12,3,2,0.6677018633540373,0.654286858974359,0.5891472868217055,0.5846153846153846,0.5868725868725869,0.30896388266348845,0.6983173076923077,0.7239583333333334,0.27604166666666663
Raw-9,13,3,3,0.6739130434782609,0.6557692307692308,0.6033057851239669,0.5615384615384615,0.5816733067729084,0.31560454406710875,0.7370592948717949,0.75,0.25
