Split_Number,BA_Chem4_minus_PCA4,BA_Chem4_minus_Raw9,MCC_Chem4_minus_PCA4
1,-0.03393429487179489,-0.09571314102564099,-0.07853499563178445
2,0.017788461538461586,-0.043749999999999956,0.0291519433753904
3,0.007171474358974361,-0.09827724358974355,0.012461095152676308
4,-0.03882025193798444,-0.16054990310077522,-0.0775017235519238
5,0.0611676356589147,-0.06692102713178294,0.12555961895481968
6,0.0010817307692307931,-0.11229967948717956,0.006499653701627549
7,0.0009214743589743835,-0.09683493589743597,-0.0003831859321235531
8,0.014102564102564163,-0.10424679487179478,0.030226407012686737
9,-0.032158430232558155,-0.11107073643410859,-0.06254428346138208
10,0.0017562984496123368,-0.11101017441860472,-0.0023594011536930137
11,0.0015625000000001332,-0.054887820512820484,-0.002230936356874269
12,0.036738782051282004,-0.07163461538461546,0.07968731452682128
13,-0.07483974358974355,-0.14403044871794868,-0.14025867517437038
14,0.018955910852713087,-0.12257751937984507,0.034121146243497436
15,-0.004421027131782829,-0.10834544573643412,-0.008676829172001868
