Model,Split_Number,Repeat,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,MCC,ROC_AUC,Specificity,Unsafe_Acceptance
Common-4,1,1,1,0.6677018633540373,0.6331730769230769,0.6210526315789474,0.45384615384615384,0.5244444444444445,0.2865457615949391,0.6588942307692307,0.8125,0.1875
Common-4,2,1,2,0.6242236024844721,0.6041666666666667,0.5371900826446281,0.5,0.5179282868525896,0.21105242144405423,0.6400641025641025,0.7083333333333334,0.29166666666666663
Common-4,3,1,3,0.6801242236024845,0.6510416666666667,0.6310679611650486,0.5,0.5579399141630901,0.31776670126763445,0.7141025641025642,0.8020833333333334,0.19791666666666663
Common-4,4,1,4,0.6635514018691588,0.6437136627906976,0.5882352941176471,0.5426356589147286,0.5645161290322581,0.2917590646581785,0.7235142118863049,0.7447916666666666,0.25520833333333337
Common-4,5,1,5,0.6573208722741433,0.6270591085271318,0.5922330097087378,0.4728682170542636,0.5258620689655172,0.2668912955966352,0.6677971576227391,0.78125,0.21875
Common-4,6,2,1,0.6645962732919255,0.6516826923076924,0.5846153846153846,0.5846153846153846,0.5846153846153846,0.3033653846153846,0.6969150641025642,0.71875,0.28125
Common-4,7,2,2,0.6583850931677019,0.6340544871794871,0.5892857142857143,0.5076923076923077,0.5454545454545454,0.276194472703812,0.6766826923076923,0.7604166666666666,0.23958333333333337
Common-4,8,2,3,0.6708074534161491,0.6407451923076923,0.6176470588235294,0.4846153846153846,0.5431034482758621,0.29687554801958554,0.6702724358974359,0.796875,0.203125
Common-4,9,2,4,0.6510903426791277,0.6307533914728682,0.5714285714285714,0.5271317829457365,0.5483870967741935,0.26544788057185315,0.6806766795865633,0.734375,0.265625
Common-4,10,2,5,0.6635514018691588,0.6271802325581395,0.6129032258064516,0.4418604651162791,0.5135135135135135,0.27490724286976526,0.7395429586563308,0.8125,0.1875
Common-4,11,3,1,0.6490683229813664,0.6175480769230769,0.5841584158415841,0.45384615384615384,0.5108225108225108,0.2486056479447134,0.6757612179487181,0.78125,0.21875
Common-4,12,3,2,0.6490683229813664,0.6274839743589744,0.5726495726495726,0.5153846153846153,0.5425101214574899,0.26009860268814644,0.6880608974358974,0.7395833333333334,0.26041666666666663
Common-4,13,3,3,0.6801242236024845,0.6584935897435897,0.6173913043478261,0.5461538461538461,0.5795918367346938,0.32458608312145076,0.7406650641025642,0.7708333333333334,0.22916666666666663
Common-4,14,3,4,0.7071651090342679,0.673812984496124,0.6842105263157895,0.5038759689922481,0.5803571428571429,0.3733719257312094,0.7000565245478035,0.84375,0.15625
Common-4,15,3,5,0.67601246105919,0.6503149224806202,0.6146788990825688,0.5193798449612403,0.5630252100840336,0.3112406996747693,0.6872981266149871,0.78125,0.21875
