Feature_Map,i,j,Sample_ID_i,Sample_ID_j,Optimisation_Level,Target_2Q_Gate,Valid_H2,P0000_Qiskit,P0000_Compiled,Equivalence_Error,Compiled_Total_Gates,Compiled_1Q_Gates,Compiled_2Q_Gates,Compiled_ZZPhase,Compiled_ZZMax,Compiled_TK2,Compiled_Depth,Compiled_2Q_Depth
ZZ_Linear,0,1,WP_0977,WP_1851,2,ZZPhase,True,0.07030435484282944,0.07030435484282894,4.996003610813204e-16,21,16,5,5,0,0,10,5
ZZ_Linear,0,2,WP_0977,WP_0061,2,ZZPhase,True,0.09942429273857058,0.09942429273856924,1.3322676295501878e-15,19,14,5,5,0,0,10,5
ZZ_Linear,0,3,WP_0977,WP_1896,2,ZZPhase,True,0.09955765239018664,0.09955765239018713,4.85722573273506e-16,23,18,5,5,0,0,12,5
ZZ_Linear,0,4,WP_0977,WP_1242,2,ZZPhase,True,0.20023353037336322,0.20023353037336247,7.494005416219807e-16,21,16,5,5,0,0,10,5
ZZ_Linear,0,5,WP_0977,WP_0970,2,ZZPhase,True,0.14690561506781313,0.14690561506781305,8.326672684688674e-17,21,16,5,5,0,0,10,5
ZZ_Linear,0,6,WP_0977,WP_0376,2,ZZPhase,True,0.06634860531295333,0.06634860531295307,2.636779683484747e-16,21,16,5,5,0,0,11,5
ZZ_Linear,0,7,WP_0977,WP_1377,2,ZZPhase,True,0.08368517789103813,0.08368517789103871,5.828670879282072e-16,21,16,5,5,0,0,11,5
ZZ_Linear,0,8,WP_0977,WP_0829,2,ZZPhase,True,0.01530289003952153,0.015302890039521273,2.5673907444456745e-16,21,16,5,5,0,0,11,5
ZZ_Linear,0,9,WP_0977,WP_0433,2,ZZPhase,True,0.005123019260664207,0.005123019260664463,2.5587171270657905e-16,20,15,5,5,0,0,10,5
ZZ_Linear,0,10,WP_0977,WP_0579,2,ZZPhase,True,0.004115568742024649,0.004115568742024496,1.5352302762394743e-16,23,18,5,5,0,0,12,5
ZZ_Linear,0,11,WP_0977,WP_1409,2,ZZPhase,True,0.026663825142187774,0.026663825142187965,1.9081958235744878e-16,20,15,5,5,0,0,11,5
ZZ_Linear,0,12,WP_0977,WP_1720,2,ZZPhase,True,0.07522604797336407,0.07522604797336396,1.1102230246251565e-16,18,13,5,5,0,0,9,5
ZZ_Linear,0,13,WP_0977,WP_0101,2,ZZPhase,True,0.24162619443485012,0.24162619443485023,1.1102230246251565e-16,22,17,5,5,0,0,11,5
ZZ_Linear,0,14,WP_0977,WP_1458,2,ZZPhase,True,0.0003186424931420732,0.0003186424931419685,1.0467971975347545e-16,20,15,5,5,0,0,11,5
