Split_Number,Train_Size,Validation_Size,Train_Lambda_Min_Exact,Balanced_Accuracy,MCC,F1,Specificity,Unsafe_Acceptance,TN,FP,FN,TP
1,12,4,0.18253268189677674,0.25,-0.5773502691896258,0.4,0.0,1.0,0,2,1,1
2,12,4,0.13899527097598313,0.25,-0.5773502691896258,0.0,0.5,0.5,1,1,2,0
3,12,4,0.16649840550737696,0.75,0.5773502691896258,0.8,0.5,0.5,1,1,0,2
4,12,4,0.10928211296524487,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,2,0,1,1
5,12,4,0.24833579834083316,1.0,1.0,1.0,1.0,0.0,2,0,0,2
6,12,4,0.14222527930766388,0.25,-0.5773502691896258,0.4,0.0,1.0,0,2,1,1
7,12,4,0.14176226627470886,0.25,-0.5773502691896258,0.0,0.5,0.5,1,1,2,0
8,12,4,0.22722825060411742,0.5,0.0,0.6666666666666666,0.0,1.0,0,2,0,2
9,12,4,0.20348688277952376,0.5,0.0,0.0,1.0,0.0,2,0,2,0
10,12,4,0.11313414997085579,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,2,0,1,1
11,12,4,0.16903048168899312,0.5,0.0,0.5,0.5,0.5,1,1,1,1
12,12,4,0.22258536692299122,0.5,0.0,0.6666666666666666,0.0,1.0,0,2,0,2
13,12,4,0.10928211296524487,0.75,0.5773502691896258,0.6666666666666666,1.0,0.0,2,0,1,1
14,12,4,0.17351436137980256,0.5,0.0,0.0,1.0,0.0,2,0,2,0
15,12,4,0.18253268189677674,0.25,-0.5773502691896258,0.4,0.0,1.0,0,2,1,1
16,12,4,0.14571247735819404,0.25,-0.5773502691896258,0.0,0.5,0.5,1,1,2,0
17,12,4,0.1337927353219635,0.5,0.0,0.5,0.5,0.5,1,1,1,1
18,12,4,0.15096077965929697,0.5,0.0,0.0,1.0,0.0,2,0,2,0
19,12,4,0.1793975825505229,0.75,0.5773502691896258,0.8,0.5,0.5,1,1,0,2
20,12,4,0.17351436137980256,0.5,0.0,0.0,1.0,0.0,2,0,2,0
