,WP_0977,WP_1851,WP_0061,WP_1896,WP_1242,WP_0970,WP_0376,WP_1377,WP_0829,WP_0433,WP_0579,WP_1409,WP_1720,WP_0101,WP_1458,WP_1713
WP_0977,0.9999999999999989,0.007942520537766177,0.03523528377257401,0.003940399075152495,0.12604363618664666,0.2381428896031703,0.02838172646511686,0.002604591500407563,0.08734209663518416,0.00042947351506048297,0.012363313122809272,2.2261752597378093e-05,0.2686452291829963,0.000415052211890585,0.0034906739942158877,0.16070254635023534
WP_1851,0.007942520537766177,0.999999999999998,0.03265758383737173,0.24539337075971826,0.1122404911694994,0.011895179891140223,0.010938357461997486,0.022410816083910545,0.00101371063491841,0.017191884165268904,0.014709989749258953,0.10810715954928472,0.00012196600080771727,0.20392171997050668,0.0010939051372636805,0.0020017194707341963
WP_0061,0.03523528377257401,0.03265758383737173,0.9999999999999991,0.10670524603559303,0.5161220686653337,0.18163054400160708,0.1463282669924711,0.01692601050160289,0.024822689868273587,0.0033856627875865726,0.19529872314096702,0.03598662373204926,0.018576841446291403,0.14276463475358322,0.0010911825015824954,0.13478168089047485
WP_1896,0.003940399075152495,0.24539337075971826,0.10670524603559307,0.9999999999999973,0.17506481777640193,0.03335755609346359,0.025832262444087806,0.09451287040952992,0.0023201147167174695,0.08858587850689435,0.10343327229838702,0.493778116015894,0.00020366407511540337,0.08058830654643603,0.0004004184004497055,0.012193518779107636
WP_1242,0.12604363618664666,0.1122404911694994,0.5161220686653338,0.17506481777640193,0.9999999999999991,0.5504718807196775,0.5706130217499098,0.19026803802462605,0.07900710528050243,0.04740693980754343,0.22052843392418175,0.061805516178034724,0.052373389268537233,0.22732317951645364,0.007802581103749265,0.41977761188356816
WP_0970,0.2381428896031703,0.011895179891140226,0.18163054400160708,0.03335755609346359,0.5504718807196773,0.9999999999999978,0.2490421556709724,0.08169934118746462,0.21852878750949478,0.00913970156229618,0.04343230342387838,0.0035655693059983293,0.3096644880184791,0.04653282494535314,0.05129701854995939,0.6946630497690972
WP_0376,0.028381726465116854,0.010938357461997486,0.14632826699247103,0.025832262444087806,0.5706130217499098,0.2490421556709724,0.9999999999999991,0.30619054898790915,0.008989254612230898,0.08184916791845924,0.029247220623442833,0.013980274774439442,0.013698550962723615,0.034778707831975966,0.0019125734324990564,0.20608500816677222
WP_1377,0.0026045915004075625,0.022410816083910545,0.016926010501602883,0.09451287040952996,0.19026803802462605,0.08169934118746455,0.30619054898790904,0.9999999999999989,0.012550101638998128,0.7852430726744916,0.011319823064011395,0.02827550257882085,0.0017147590677391495,0.010098277825443215,0.002132297043651941,0.03431797639295044
WP_0829,0.08734209663518412,0.0010137106349184114,0.02482268986827358,0.0023201147167174673,0.07900710528050243,0.21852878750949478,0.008989254612230903,0.012550101638998123,0.9999999999999991,0.000858121858721392,0.0024705650563875826,0.0001312868826830964,0.23438267529831897,0.0029280343330801424,0.0036655194340606575,0.6112095160205624
WP_0433,0.00042947351506048324,0.017191884165268904,0.0033856627875865726,0.08858587850689435,0.04740693980754343,0.00913970156229618,0.08184916791845927,0.7852430726744916,0.0008581218587213941,0.9999999999999987,0.0015376735118531677,0.0363938689511721,0.0003135516558776266,0.014017481465476973,1.1836538289841937e-05,0.0021447950043462206
WP_0579,0.012363313122809272,0.014709989749258946,0.19529872314096702,0.10343327229838699,0.2205284339241818,0.0434323034238784,0.029247220623442833,0.011319823064011395,0.0024705650563875826,0.0015376735118531673,0.9999999999999987,0.19392918191377664,6.627963012108296e-05,0.052675037107123936,0.0004313861493510267,0.06109284482794774
WP_1409,2.2261752597378093e-05,0.10810715954928472,0.03598662373204926,0.493778116015894,0.06180551617803475,0.0035655693059983276,0.013980274774439447,0.02827550257882085,0.0001312868826830964,0.036393868951172095,0.19392918191377664,0.9999999999999987,3.4241370948065376e-06,0.06771581051896498,0.00014828149052609622,0.0032640196222278378
WP_1720,0.2686452291829962,0.00012196600080771719,0.018576841446291393,0.0002036640751154039,0.052373389268537233,0.30966448801847923,0.013698550962723618,0.001714759067739149,0.23438267529831885,0.00031355165587762735,6.627963012108296e-05,3.4241370948063826e-06,0.9999999999999982,0.0005232181052301463,0.023556051012018315,0.19468878018138766
WP_0101,0.00041505221189058414,0.20392171997050668,0.1427646347535833,0.08058830654643606,0.22732317951645364,0.04653282494535312,0.034778707831975966,0.010098277825443215,0.002928034333080144,0.014017481465476976,0.05267503710712392,0.06771581051896496,0.0005232181052301463,0.9999999999999993,0.01808877515521758,0.011607824304727654
WP_1458,0.0034906739942158855,0.001093905137263681,0.0010911825015824967,0.0004004184004497047,0.007802581103749265,0.051297018549959376,0.0019125734324990553,0.002132297043651941,0.0036655194340606554,1.1836538289841816e-05,0.0004313861493510267,0.00014828149052609622,0.023556051012018315,0.01808877515521758,0.9999999999999991,0.005527241747743324
WP_1713,0.16070254635023534,0.002001719470734202,0.13478168089047485,0.012193518779107624,0.41977761188356816,0.6946630497690975,0.20608500816677222,0.03431797639295045,0.6112095160205624,0.0021447950043462253,0.06109284482794775,0.0032640196222278365,0.19468878018138766,0.011607824304727654,0.005527241747743324,0.999999999999998
