,WP_0977,WP_1851,WP_0061,WP_1896,WP_1242,WP_0970,WP_0376,WP_1377,WP_0829,WP_0433,WP_0579,WP_1409,WP_1720,WP_0101,WP_1458,WP_1713
WP_0977,0.9999999999999989,0.07030435484282944,0.09942429273857054,0.0995576523901866,0.20023353037336308,0.14690561506781283,0.06634860531295325,0.08368517789103808,0.015302890039521505,0.005123019260664207,0.004115568742024646,0.026663825142187767,0.07522604797336399,0.2416261944348498,0.00031864249314206923,0.03799791106587986
WP_1851,0.07030435484282944,0.9999999999999984,0.05110691907896984,0.28586637656952385,0.11815114287502314,0.011956155523543503,0.011286341350510218,0.018429924716922695,0.003837767493511333,0.01776641150754339,0.00637348128103865,0.003298771148372609,0.08837811218082622,0.2074601600332004,0.055392560318154635,0.0017103275029763017
WP_0061,0.09942429273857054,0.05110691907896984,0.9999999999999982,0.10793841985802231,0.555169048951388,0.1857846926029989,0.2087309510034339,0.14068003476022137,0.05091265381113007,0.07581250977362204,0.27658436209243287,0.05731951787185049,0.026785090457563002,0.1234502573335699,0.05536529434551757,0.1260737879700739
WP_1896,0.09955765239018657,0.28586637656952385,0.10793841985802231,0.9999999999999987,0.20903936769668272,0.038879874934183725,0.05619929382503434,0.10604443645440792,0.04299271534910115,0.12389605357173492,0.10070397936623585,0.23158447782199404,0.011099109148958897,0.14939386500801152,0.006019728567375957,0.02511805602201709
WP_1242,0.20023353037336308,0.11815114287502321,0.555169048951388,0.20903936769668272,0.9999999999999982,0.5612314471985999,0.5553771807744748,0.265462924941921,0.1608063208755931,0.14324375769372752,0.2442833584436997,0.15291576351364264,0.0660690555237272,0.24032551857066148,0.06555123870509443,0.42486490573215074
WP_0970,0.14690561506781283,0.011956155523543503,0.1857846926029989,0.038879874934183725,0.5612314471985999,0.999999999999998,0.2268309806474806,0.15014406274864314,0.36383177096773656,0.12318027400167716,0.16179832304301914,0.08198088951326078,0.09991963882796528,0.06445673981276176,0.11530113968803933,0.7282801865646086
WP_0376,0.06634860531295331,0.011286341350510218,0.20873095100343383,0.05619929382503434,0.5553771807744748,0.2268309806474806,0.9999999999999991,0.2517928387735185,0.012953923114303831,0.11083643622949842,0.04663819944160196,0.17266950549343224,0.004528866339559668,0.04752261212562028,0.011726007306869906,0.1896291884648371
WP_1377,0.08368517789103803,0.018429924716922685,0.14068003476022137,0.10604443645440799,0.26546292494192075,0.15014406274864317,0.2517928387735187,0.9999999999999989,0.06221954913432309,0.6972286767293359,0.06356973944448581,0.06410866288846165,0.004470977115653443,0.08373882396330913,0.014934633399758618,0.1394895014851124
WP_0829,0.015302890039521505,0.0038377674935113322,0.05091265381113008,0.04299271534910115,0.1608063208755931,0.36383177096773656,0.012953923114303831,0.06221954913432308,0.9999999999999982,0.08728438013437942,0.007620659830624613,0.05736370463802295,0.0033676233064309203,0.005530902497824614,0.01709858776500326,0.613097641181823
WP_0433,0.0051230192606642085,0.0177664115075434,0.07581250977362204,0.12389605357173503,0.14324375769372752,0.12318027400167716,0.11083643622949842,0.6972286767293359,0.08728438013437938,0.9999999999999982,0.06079890382729688,0.016462802027867488,0.0004886713049092109,0.025060228702817097,0.0013511452867547057,0.12333070805579387
WP_0579,0.004115568742024646,0.006373481281038653,0.27658436209243287,0.10070397936623585,0.2442833584436997,0.16179832304301914,0.04663819944160199,0.06356973944448578,0.007620659830624613,0.06079890382729689,0.9999999999999984,0.1116076702231233,0.03129623798034794,0.036762013837308885,0.00753412794756159,0.17456948774883238
WP_1409,0.026663825142187767,0.003298771148372609,0.05731951787185049,0.23158447782199404,0.15291576351364264,0.08198088951326078,0.17266950549343224,0.06410866288846168,0.05736370463802295,0.016462802027867488,0.1116076702231233,0.9999999999999987,0.0016808341124048038,0.015332436296537624,0.0022969767506654756,0.027573329621083772
WP_1720,0.07522604797336399,0.08837811218082622,0.02678509045756302,0.011099109148958898,0.06606905552372717,0.09991963882796528,0.004528866339559671,0.004470977115653443,0.0033676233064309185,0.0004886713049092128,0.031296237980347946,0.0016808341124048033,0.9999999999999987,0.08104529590941519,0.02522774342782017,0.0365384101010967
WP_0101,0.24162619443484987,0.20746016003320022,0.1234502573335699,0.1493938650080116,0.2403255185706616,0.06445673981276179,0.04752261212562025,0.08373882396330913,0.0055309024978246095,0.025060228702817097,0.036762013837308885,0.015332436296537631,0.08104529590941519,0.9999999999999987,0.09792084511511981,0.02046627194359432
WP_1458,0.00031864249314206993,0.05539256031815465,0.05536529434551757,0.00601972856737596,0.06555123870509443,0.11530113968803937,0.011726007306869906,0.014934633399758618,0.01709858776500326,0.0013511452867547035,0.007534127947561588,0.002296976750665475,0.02522774342782017,0.09792084511511981,0.9999999999999987,0.057451139722640744
WP_1713,0.03799791106587986,0.001710327502976303,0.1260737879700739,0.02511805602201709,0.42486490573215063,0.7282801865646086,0.18962918846483715,0.1394895014851124,0.6130976411818228,0.12333070805579383,0.17456948774883246,0.027573329621083772,0.0365384101010967,0.02046627194359432,0.057451139722640744,0.9999999999999982
