Seed,N,Subset_Key,Split_Number,Repeat,Fold,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Fold_SHA256
4524,16,S4524_N16,1,1,1,12,4,6,6,2,2,26a87f7de95d0901be8369c3d8aeff526b6511339db8919d108cf81e8b4dab4e
4524,16,S4524_N16,2,1,2,12,4,6,6,2,2,5d1e7d1581b52d90acbaa149d07cb87e4c35c095d82fe60ef789e81149ec36e8
4524,16,S4524_N16,3,1,3,12,4,6,6,2,2,b8e70c22d1ea22abdb4814cbbc44a3d2dc88ae63fa5ec4256081d33aabf119e4
4524,16,S4524_N16,4,1,4,12,4,6,6,2,2,5cf325148a514933c6f5a728ff8b9fdaaed14c3eef1ccf82324afef47a5a19b0
4524,16,S4524_N16,5,2,1,12,4,6,6,2,2,9dcd73c883dbaea7f03b17cb054541d6b516cccbb0d3f723d139b0f5e4315fdf
4524,16,S4524_N16,6,2,2,12,4,6,6,2,2,5c49c59d5b71f9e9b37897861a8aad8a69bd86d03b7e64415379ea7fef34b194
4524,16,S4524_N16,7,2,3,12,4,6,6,2,2,d9406642f6298b94133acaccc0e52b22db4c739410cb8cf0b5062c1d327fe3b7
4524,16,S4524_N16,8,2,4,12,4,6,6,2,2,62579750e3fdc4fced53468fffaac3b4804a85a53ce63af0b9da1d8497d1c3d7
4524,16,S4524_N16,9,3,1,12,4,6,6,2,2,685d5540a2507b916098c61192032ba963f67a81718960acba1ad5cc44196f85
4524,16,S4524_N16,10,3,2,12,4,6,6,2,2,c10ff8ba141f1b8421e59637c3dda4c2f55aac6efd30b19d98cabe90a50ac6b5
4524,16,S4524_N16,11,3,3,12,4,6,6,2,2,a44345fc41b15a7f715345abad9e843b9d8e8e0d19c161ce1c788b55479b36aa
4524,16,S4524_N16,12,3,4,12,4,6,6,2,2,79b9c52834f976bd9d3918b731b42e243ece6b98da5ddc2e44741078d6056e2e
4524,16,S4524_N16,13,4,1,12,4,6,6,2,2,5cf325148a514933c6f5a728ff8b9fdaaed14c3eef1ccf82324afef47a5a19b0
4524,16,S4524_N16,14,4,2,12,4,6,6,2,2,eb5ba3e0832da9cf233851c10fc25ae048f30c6170b7fd045b1f73b6418bed25
4524,16,S4524_N16,15,4,3,12,4,6,6,2,2,26a87f7de95d0901be8369c3d8aeff526b6511339db8919d108cf81e8b4dab4e
4524,16,S4524_N16,16,4,4,12,4,6,6,2,2,285f3155dae5c60d413c27c8d1bce2575f6feb8f5091b9c41f26ab98883dbd94
4524,16,S4524_N16,17,5,1,12,4,6,6,2,2,f60e75cc0484f9938b91c2852f419f607be1576cdd75e49bb5dd519d856c8634
4524,16,S4524_N16,18,5,2,12,4,6,6,2,2,f3f899e6d4c37ec268ed041b51cc73fae4ca7c2aeddc65467545a83af609f9ad
4524,16,S4524_N16,19,5,3,12,4,6,6,2,2,2d34b59211ae9a75dd297ff1ba764bad40f819a4446636b22520748ce0d50d2f
4524,16,S4524_N16,20,5,4,12,4,6,6,2,2,eb5ba3e0832da9cf233851c10fc25ae048f30c6170b7fd045b1f73b6418bed25
4524,32,S4524_N32,1,1,1,24,8,12,12,4,4,6c29795be671ccfc5f0a78653ef2448302212c1ea3248f82c0ece1c327f3b254
4524,32,S4524_N32,2,1,2,24,8,12,12,4,4,ff9b99a76d6a86b3bbc894d421fa73f879a15259a59ffdfb03504976ab29f3b7
4524,32,S4524_N32,3,1,3,24,8,12,12,4,4,c66ff237a6780393988131bb04af45f4a207151306c949460fb0f5da79ea3e33
4524,32,S4524_N32,4,1,4,24,8,12,12,4,4,cde9d1bc6661530f4741457d8e5375bbac96195e9d88b9745d88b4a6bb261b72
4524,32,S4524_N32,5,2,1,24,8,12,12,4,4,41714e12ac0f22ee3fca09152e68879f052bec1ef504cffae1a1ee9f383b0215
4524,32,S4524_N32,6,2,2,24,8,12,12,4,4,5cbf0b42990d0268aeb21cf8f436e38554e750c5bfa9b2d56a015916394178e1
4524,32,S4524_N32,7,2,3,24,8,12,12,4,4,2e73788f0e64f40f0cc28cb7c461a1e82467c4880f78f69a42994097bd7faf7e
4524,32,S4524_N32,8,2,4,24,8,12,12,4,4,fbec9be8f03dbb4fc55a035362fae08447a6ba72d997c45f539c074e2f80685e
4524,32,S4524_N32,9,3,1,24,8,12,12,4,4,46a3964dda5872e41d23b13b27374d5535135dd4c76fd10b304d1ca508b08e04
4524,32,S4524_N32,10,3,2,24,8,12,12,4,4,c9098a73fa0fd93d276c11b6c473a4229326b05383231ad711d64983c6ea1d47
4524,32,S4524_N32,11,3,3,24,8,12,12,4,4,72c4ef2d170e9539c5cedae531fe90307cc40a73be796be13f4f55a46088012f
4524,32,S4524_N32,12,3,4,24,8,12,12,4,4,bb42671a3c3f1f522369e96028c666d36143ff00519241267dfe1df61405fe4a
4524,32,S4524_N32,13,4,1,24,8,12,12,4,4,7fbfe2c0d67e8ca167dc6dd400a758c06a0a7b1b22ab2c3d68af0b5b2dc9da82
4524,32,S4524_N32,14,4,2,24,8,12,12,4,4,8c0082d41fe53d499091bdbffcde433364bf6be427999299e2bd7262f031a02e
4524,32,S4524_N32,15,4,3,24,8,12,12,4,4,b91c46e64f13e196c422a438bb57868b7f180d4120f8ec3ef6de513c6b8d0b8a
4524,32,S4524_N32,16,4,4,24,8,12,12,4,4,4dd5ceafb80ec3d4bb3daf923f62b84a79c7a00ae40801329b44fc7d4a85d79d
4524,32,S4524_N32,17,5,1,24,8,12,12,4,4,d86471755e3e71f0a6837b25baa464331cff701fa955685de52b4befd7163b32
4524,32,S4524_N32,18,5,2,24,8,12,12,4,4,b23e383ec461be13c9cac8949e939a7fd79c48b7bcde2418f04680ce3726d828
4524,32,S4524_N32,19,5,3,24,8,12,12,4,4,eee0346725bbb04d0f62ea7cf9e1241000697d129d0f3162520e9e66fe2dc78a
4524,32,S4524_N32,20,5,4,24,8,12,12,4,4,bdf03895f3dc0e23ec261ff1cecac4d14f2a2ba297d32afc17bd958b435b4203
4524,64,S4524_N64,1,1,1,48,16,24,24,8,8,9a15b1d6115c1b1015f4af30898e6625e13dc294d8d612b0d9674ddc793f0708
4524,64,S4524_N64,2,1,2,48,16,24,24,8,8,d84059708a0ea3ee511d8a496b93d39dedb9b261ba14b4d675792e29f8ff730b
4524,64,S4524_N64,3,1,3,48,16,24,24,8,8,d722c6b39ba2e3b332c9a0766d9d4f7052c22e28ab52db8f41058b7f69df430f
4524,64,S4524_N64,4,1,4,48,16,24,24,8,8,8e49b88b70bf69090219683e0b9a7a665517cb6a05e9010581a077af1596a64f
4524,64,S4524_N64,5,2,1,48,16,24,24,8,8,af90fee5c9c8c0fee163a799d2b4c35d8e2b288017dfd41a161b14ddb6be546c
4524,64,S4524_N64,6,2,2,48,16,24,24,8,8,79c51c3528d10574c1809d6b7551d17e2285dbd5114754e43dab284e42ae6f3a
4524,64,S4524_N64,7,2,3,48,16,24,24,8,8,78be6dd6edaf8dd79ca6e935997666a53826c92a0712ae1d4d138d8b7cb54bd8
4524,64,S4524_N64,8,2,4,48,16,24,24,8,8,312ffecf74713a85d515a6f0be810ccfe0564de4368e4f8f3ae186b630fbe1ca
4524,64,S4524_N64,9,3,1,48,16,24,24,8,8,dc5cfa2f8246f038a4b3c9268449e2801434da1ea31edf0c821d807b2c5169bf
4524,64,S4524_N64,10,3,2,48,16,24,24,8,8,24da3a48a1767839333dfbed10af5efa45a5239a3a440918396260c2c32c93c3
4524,64,S4524_N64,11,3,3,48,16,24,24,8,8,1d3b8e6a11e4dc5d9f41235690885de08a1c91860de0322cc02ee42da235a0ea
4524,64,S4524_N64,12,3,4,48,16,24,24,8,8,e1eb5398800ec7f25589e1e3ec7749d059223cb81f6a1b510590e9f80d8ff8f1
4524,64,S4524_N64,13,4,1,48,16,24,24,8,8,666079bfade8938f6befc0c92eefdb2c26a1bdb5cfeb9f7d312624c7ccaf50a3
4524,64,S4524_N64,14,4,2,48,16,24,24,8,8,25866af2dedecf7c288ae017f609f0d2c838ac8911857394cd9bc609ec339564
4524,64,S4524_N64,15,4,3,48,16,24,24,8,8,9b6b6194755a23d384ee3dcf3f95e7bb3596d5cc9c7a44ca9fd95c0784ff8969
4524,64,S4524_N64,16,4,4,48,16,24,24,8,8,94407cc33c579753e0e7752a3a3f82af2c0c9fee70ce814ee7536377169a7c08
4524,64,S4524_N64,17,5,1,48,16,24,24,8,8,3ab48d796a89f2cfe6c5994000cbf9492c6f1fd2811989f8853b1600412c096b
4524,64,S4524_N64,18,5,2,48,16,24,24,8,8,54d41ee5e545bbf47cd20492af1c24af5351c2c56d96bc21c6b584c54ab2273d
4524,64,S4524_N64,19,5,3,48,16,24,24,8,8,b3547bb337907b7cdded37820222963a535d1350a9f0002e3898ab45f941de74
4524,64,S4524_N64,20,5,4,48,16,24,24,8,8,615da2a201185385fbf1404444a4919c45f577a22c0137ec3a02c1a3d12b3afc
4525,16,S4525_N16,1,1,1,12,4,6,6,2,2,0b92d9920c33bc0504659a5b37dcff96e73cb89b19ce452d1a50e0fae3714409
4525,16,S4525_N16,2,1,2,12,4,6,6,2,2,65a0980407b604b431a638f408a8ee72076346c7c0590186a9a3043c9e4ac687
4525,16,S4525_N16,3,1,3,12,4,6,6,2,2,53091132fddb0a6d572b426377e67b54c0707b75c2eaa533fa8c9d4dc3859d16
4525,16,S4525_N16,4,1,4,12,4,6,6,2,2,c154359c1180f1fc34b2d3f556a92fcef26e1fb79564407839939d0de49287fd
4525,16,S4525_N16,5,2,1,12,4,6,6,2,2,e31493f4822ccc20008a71a26e87ca823c08e4a4fd90e854870dded46daf5fd4
4525,16,S4525_N16,6,2,2,12,4,6,6,2,2,73d107fea216d99470962d5dd87ad5721a48ba97be6ba7086b854f9b85da06d4
4525,16,S4525_N16,7,2,3,12,4,6,6,2,2,3dd0f5f0c4943e6d84274900fe3b8c72a68cfe08cbd90836b11cadb52f55c1a7
4525,16,S4525_N16,8,2,4,12,4,6,6,2,2,8961e2083a42aa6788f2cc5ad3c31f1a77b9f8d9f2c1ca2653a11678e9c60efe
4525,16,S4525_N16,9,3,1,12,4,6,6,2,2,7fe7de6c29eea4871cb40aa762efbf84769b255cb4f2f2f7a939c86b075349c4
