Seed,N,Subset_Key,Split_Number,Repeat,Fold,Model,Feature_Map,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number,Elapsed_Seconds,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,TN,FP,FN,TP
4524,16,S4524_N16,1,1,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1825326818967767,21.31869870883217,0.0652163028717041,0.25,-0.5773502691896258,0.4,0.0,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,1,1,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2526102516956053,8.53915022205571,0.0532081127166748,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,1,1,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0367524623870849,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,1,1,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0859092526848042,72.92537063665826,0.040154218673706,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,1,1,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2953446143285292,7.820513368098751,0.0550825595855712,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0
4524,16,S4524_N16,2,1,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1389952709759831,28.384261300547315,0.0422084331512451,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,2,1,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2295266906913333,10.61083325755616,0.0595462322235107,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,2,1,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.053469181060791,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,2,1,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0940602726609305,63.88400098115782,0.0349020957946777,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,2,1,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2275381291488219,11.285395922991256,0.0433704853057861,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,3,1,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1664984055073769,24.117010763311644,0.0898835659027099,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,3,1,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2121950604054844,10.700761337121246,0.1157295703887939,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,3,1,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0115461349487304,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,3,1,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0892923880038083,68.26490214414612,0.0305273532867431,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,3,1,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2701293300379907,9.02258779698012,0.0722532272338867,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,4,1,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.1092821129652448,33.26198717863376,0.0785486698150634,0.75,0.5773502691896258,0.6666666666666666,1.0,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,4,1,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.1323451581355319,19.18302341822609,0.0625917911529541,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,4,1,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.0112640857696533,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,4,1,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0611411869708947,101.63044402795433,0.0495336055755615,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
