Seed,N,Subset_Key,Split_Number,Repeat,Fold,Model,Feature_Map,Train_Size,Validation_Size,Train_Class_0,Train_Class_1,Validation_Class_0,Validation_Class_1,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number,Elapsed_Seconds,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,TN,FP,FN,TP
4524,16,S4524_N16,1,1,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.18253268189677674,21.31869870883217,0.0652163028717041,0.25,-0.5773502691896258,0.4,0.0,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,1,1,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2526102516956053,8.53915022205571,0.053208112716674805,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,1,1,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.03675246238708496,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,1,1,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08590925268480427,72.92537063665826,0.040154218673706055,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,1,1,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2953446143285292,7.820513368098751,0.05508255958557129,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0,2,2,0
4524,16,S4524_N16,2,1,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.13899527097598313,28.384261300547315,0.04220843315124512,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,2,1,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.22952669069133333,10.61083325755616,0.05954623222351074,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,2,1,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.053469181060791016,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,2,1,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.09406027266093055,63.88400098115782,0.034902095794677734,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,2,1,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.22753812914882193,11.285395922991256,0.04337048530578613,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,3,1,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.16649840550737696,24.117010763311644,0.08988356590270996,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,3,1,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.21219506040548447,10.700761337121246,0.11572957038879395,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,3,1,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011546134948730469,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,3,1,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08929238800380836,68.26490214414612,0.030527353286743164,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,3,1,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.2701293300379907,9.02258779698012,0.07225322723388672,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,4,1,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.10928211296524487,33.26198717863376,0.07854866981506348,0.75,0.5773502691896258,0.6666666666666666,1.0,1.0,0.5,0.0,2,0,1,1
4524,16,S4524_N16,4,1,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.13234515813553197,19.18302341822609,0.0625917911529541,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,4,1,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.01126408576965332,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,4,1,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.06114118697089471,101.63044402795433,0.04953360557556152,0.75,0.5773502691896258,0.8,1.0,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,4,1,4,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.143220779061655,19.172284852103896,0.04559206962585449,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,5,2,1,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.24833579834083316,14.401020687110707,0.06357145309448242,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0,2
4524,16,S4524_N16,5,2,1,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.19451729131040982,11.415242566825615,0.053223609924316406,0.75,0.5773502691896258,0.8,0.75,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,5,2,1,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011625051498413086,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,5,2,1,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0694625493551767,88.71994524883117,0.02955794334411621,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,5,2,1,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.20272497786109286,11.778206883301829,0.040705204010009766,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,6,2,2,Custom_Domain,Custom_Domain,12,4,6,6,2,2,11,0.14222527930766388,31.262143408819043,0.036466360092163086,0.25,-0.5773502691896258,0.4,0.0,0.0,0.5,1.0,0,2,1,1
4524,16,S4524_N16,6,2,2,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.2192035320071425,12.424519563866372,0.07191920280456543,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,6,2,2,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.02680516242980957,0.75,0.5773502691896258,0.8,0.5,0.5,1.0,0.5,1,1,0,2
4524,16,S4524_N16,6,2,2,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08376887144749524,74.54980631474874,0.04338812828063965,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0,2
4524,16,S4524_N16,6,2,2,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.21539235896877362,12.776780620372234,0.07918095588684082,0.25,-0.5773502691896258,0.0,0.25,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,7,2,3,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.14176226627470886,28.58426888687412,0.033293962478637695,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,7,2,3,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.179133524196431,13.381567305229154,0.05497384071350098,0.25,-0.5773502691896258,0.0,0.0,0.5,0.0,0.5,1,1,2,0
4524,16,S4524_N16,7,2,3,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.011808156967163086,0.5,0.0,0.0,0.25,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,7,2,3,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.08943325259959953,67.98269128539832,0.029283761978149414,0.5,0.0,0.0,0.5,1.0,0.0,0.0,2,0,2,0
4524,16,S4524_N16,7,2,3,ZZ_Linear,ZZ_Linear,12,4,6,6,2,2,12,0.20122852468518926,12.146566236673907,0.04564166069030762,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,Custom_Domain,Custom_Domain,12,4,6,6,2,2,12,0.22722825060411742,16.422711901718095,0.03582596778869629,0.5,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,0,2,0,2
4524,16,S4524_N16,8,2,4,Pauli_Z_YY,Pauli_Z_YY,12,4,6,6,2,2,12,0.17288609701233354,12.579999499693395,0.05319809913635254,0.5,0.0,0.5,0.25,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,SVM_RBF_Fixed,Classical_RBF,12,4,6,6,2,2,12,,,0.010887861251831055,0.5,0.0,0.5,0.75,0.5,0.5,0.5,1,1,1,1
4524,16,S4524_N16,8,2,4,Separable_Control,Separable_Control,12,4,6,6,2,2,12,0.0655501813621812,93.34146787927732,0.028326988220214844,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,0,0,2
