Seed,N,Model,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Sensitivity,Unsafe_Acceptance,Support_Vectors,Kernel_Lambda_Min,Kernel_Condition_Number
4524,16,Custom_Domain,0.5125,0.02113248654051871,0.4066666666666666,,0.575,0.45,0.425,11.95,0.167764443598185,23.840623921349
4524,16,Pauli_Z_YY,0.5125,0.02886751345948129,0.38166666666666665,,0.625,0.4,0.375,12.0,0.19685293554371813,11.919881065345994
4524,16,SVM_RBF_Fixed,0.55,0.11547005383792516,0.42666666666666664,,0.625,0.475,0.375,12.0,,
4524,16,Separable_Control,0.6,0.21547005383792514,0.485,,0.65,0.55,0.35,12.0,0.07655173505400886,81.14854049982105
4524,16,ZZ_Linear,0.35,-0.32320508075688775,0.16166666666666668,,0.55,0.15,0.45,12.0,0.2248538377570164,11.309444972433536
4524,32,Custom_Domain,0.64375,0.30279204076466637,0.6359523809523809,0.68125,0.6375,0.65,0.3625,23.55,0.04375808244072425,174.59248649609742
4524,32,Pauli_Z_YY,0.55625,0.11640343999907661,0.5808946608946608,0.603125,0.475,0.6375,0.525,23.95,0.05520554825516425,82.59648165615701
4524,32,SVM_RBF_Fixed,0.44375,-0.1215718301874638,0.3891810966810967,0.4125,0.475,0.4125,0.525,23.9,,
4524,32,Separable_Control,0.475,-0.060675681597300704,0.4822438672438672,0.49375,0.4,0.55,0.6,23.95,0.020322113598093147,572.9183821392891
4524,32,ZZ_Linear,0.55625,0.12909291749357227,0.579577922077922,0.56875,0.475,0.6375,0.525,23.85,0.06090226248976035,81.46262851898818
4524,64,Custom_Domain,0.63125,0.2706387478928505,0.6057586647099031,0.67421875,0.65625,0.60625,0.34375,44.05,0.0081248551972236,1832.365205205645
4524,64,Pauli_Z_YY,0.475,-0.05084015983343334,0.42774500525274517,0.4953125,0.53125,0.41875,0.46875,46.7,0.0098950548610504,902.6893025150614
4524,64,SVM_RBF_Fixed,0.621875,0.24991915024357403,0.5659333068891892,0.61015625,0.725,0.51875,0.275,46.0,,
4524,64,Separable_Control,0.596875,0.19824537197525002,0.5765696287716412,0.61328125,0.59375,0.6,0.40625,44.3,0.0032369368225344,6914.231291065846
4524,64,ZZ_Linear,0.50625,0.012181829550091557,0.48088313260526877,0.51640625,0.53125,0.48125,0.46875,46.2,0.01084522702228215,909.24592851281
4525,16,Custom_Domain,0.55,0.1,0.47833333333333333,,0.6,0.5,0.4,12.0,0.05523796174350285,80.87455217794542
4525,16,Pauli_Z_YY,0.6625,0.3366025403784439,0.625,,0.725,0.6,0.275,11.75,0.06813710367489034,43.653931314610176
4525,16,SVM_RBF_Fixed,0.6125,0.2366025403784439,0.575,,0.65,0.575,0.35,11.35,,
4525,16,Separable_Control,0.65,0.33094010767585036,0.5916666666666667,,0.7,0.6,0.3,11.9,0.025222116800117697,238.66537110017572
4525,16,ZZ_Linear,0.625,0.27320508075688776,0.5833333333333333,,0.675,0.575,0.325,11.6,0.10914369860533815,29.002288034070745
4525,32,Custom_Domain,0.6125,0.24881103011874975,0.6024098124098124,0.7125,0.575,0.65,0.425,23.65,0.0256517860177774,293.4237720962726
4525,32,Pauli_Z_YY,0.56875,0.150225404034091,0.5660064935064935,0.615625,0.5125,0.625,0.4875,23.3,0.03846832580331575,115.27319651644723
4525,32,SVM_RBF_Fixed,0.66875,0.37533731088174666,0.693997113997114,0.675,0.55,0.7875,0.45,23.7,,
4525,32,Separable_Control,0.475,-0.04647138776104503,0.44305555555555554,0.528125,0.5125,0.4375,0.4875,23.75,0.01030104338704165,1138.0847893992682
4525,32,ZZ_Linear,0.475,-0.04565149878632892,0.47144300144300144,0.590625,0.425,0.525,0.575,23.8,0.037132546343254,129.15702017497935
4525,64,Custom_Domain,0.503125,0.007708031039571112,0.4932074577469314,0.4859375,0.50625,0.5,0.49375,46.55,0.0085416573317031,1623.0445242178491
4525,64,Pauli_Z_YY,0.50625,0.01996822150216272,0.47871730136049023,0.5375,0.51875,0.49375,0.48125,45.35,0.00668230452012475,1206.0226438809282
4525,64,SVM_RBF_Fixed,0.6,0.21767732202481316,0.5672163865546218,0.66328125,0.6375,0.5625,0.3625,45.5,,
4525,64,Separable_Control,0.46875,-0.06294539709651834,0.4493640892131604,0.47421875,0.49375,0.44375,0.50625,46.9,0.0015168244770494,15236.802110340539
4525,64,ZZ_Linear,0.53125,0.07569164727398253,0.5124862542857899,0.58359375,0.5375,0.525,0.4625,45.75,0.0085237724750694,1019.9657837282889
4526,16,Custom_Domain,0.5875,0.20207259421636903,0.545,,0.55,0.625,0.45,12.0,0.0999913616522437,40.371440978409844
4526,16,Pauli_Z_YY,0.675,0.36547005383792514,0.6616666666666666,,0.675,0.675,0.325,12.0,0.12446109125980635,22.27449186352635
4526,16,SVM_RBF_Fixed,0.5125,0.02113248654051871,0.475,,0.525,0.5,0.475,12.0,,
4526,16,Separable_Control,0.4625,-0.08660254037844388,0.3283333333333333,,0.55,0.375,0.45,12.0,0.0498449936410235,118.51464906725951
4526,16,ZZ_Linear,0.575,0.15773502691896257,0.5733333333333334,,0.55,0.6,0.45,12.0,0.14687075472441763,20.299664439772645
