Seed,N,Subset_Key,Subset_Position,Train_Row_Index,Sample_ID,Potability
4524,16,S4524_N16,0,835,WP_0977,1
4524,16,S4524_N16,1,72,WP_1851,0
4524,16,S4524_N16,2,534,WP_0061,0
4524,16,S4524_N16,3,853,WP_1896,0
4524,16,S4524_N16,4,1103,WP_1242,1
4524,16,S4524_N16,5,969,WP_0970,1
4524,16,S4524_N16,6,1133,WP_0376,0
4524,16,S4524_N16,7,242,WP_1377,0
4524,16,S4524_N16,8,1249,WP_0829,0
4524,16,S4524_N16,9,110,WP_0433,1
4524,16,S4524_N16,10,810,WP_0579,0
4524,16,S4524_N16,11,1074,WP_1409,1
4524,16,S4524_N16,12,307,WP_1720,1
4524,16,S4524_N16,13,248,WP_0101,0
4524,16,S4524_N16,14,1314,WP_1458,1
4524,16,S4524_N16,15,661,WP_1713,1
4524,32,S4524_N32,0,13,WP_1410,1
4524,32,S4524_N32,1,72,WP_1851,0
4524,32,S4524_N32,2,835,WP_0977,1
4524,32,S4524_N32,3,969,WP_0970,1
4524,32,S4524_N32,4,4,WP_1651,0
4524,32,S4524_N32,5,534,WP_0061,0
4524,32,S4524_N32,6,827,WP_0331,0
4524,32,S4524_N32,7,248,WP_0101,0
4524,32,S4524_N32,8,1345,WP_1197,1
4524,32,S4524_N32,9,853,WP_1896,0
4524,32,S4524_N32,10,654,WP_0806,0
4524,32,S4524_N32,11,1249,WP_0829,0
4524,32,S4524_N32,12,810,WP_0579,0
4524,32,S4524_N32,13,1536,WP_1138,0
4524,32,S4524_N32,14,856,WP_0534,0
4524,32,S4524_N32,15,706,WP_0888,0
4524,32,S4524_N32,16,152,WP_0469,1
4524,32,S4524_N32,17,1065,WP_1698,1
4524,32,S4524_N32,18,1074,WP_1409,1
4524,32,S4524_N32,19,110,WP_0433,1
4524,32,S4524_N32,20,42,WP_1257,1
4524,32,S4524_N32,21,1314,WP_1458,1
4524,32,S4524_N32,22,1160,WP_0482,1
4524,32,S4524_N32,23,661,WP_1713,1
4524,32,S4524_N32,24,1133,WP_0376,0
4524,32,S4524_N32,25,1151,WP_1915,1
4524,32,S4524_N32,26,242,WP_1377,0
4524,32,S4524_N32,27,307,WP_1720,1
4524,32,S4524_N32,28,760,WP_0827,0
4524,32,S4524_N32,29,197,WP_0145,0
4524,32,S4524_N32,30,415,WP_1496,1
4524,32,S4524_N32,31,1103,WP_1242,1
4524,64,S4524_N64,0,1103,WP_1242,1
4524,64,S4524_N64,1,99,WP_1164,1
4524,64,S4524_N64,2,1378,WP_0873,0
4524,64,S4524_N64,3,13,WP_1410,1
4524,64,S4524_N64,4,1406,WP_0083,0
4524,64,S4524_N64,5,584,WP_0665,0
4524,64,S4524_N64,6,307,WP_1720,1
4524,64,S4524_N64,7,248,WP_0101,0
4524,64,S4524_N64,8,152,WP_0469,1
4524,64,S4524_N64,9,1045,WP_0965,1
4524,64,S4524_N64,10,1536,WP_1138,0
4524,64,S4524_N64,11,827,WP_0331,0
4524,64,S4524_N64,12,835,WP_0977,1
4524,64,S4524_N64,13,1255,WP_0206,1
4524,64,S4524_N64,14,1160,WP_0482,1
4524,64,S4524_N64,15,4,WP_1651,0
4524,64,S4524_N64,16,969,WP_0970,1
4524,64,S4524_N64,17,706,WP_0888,0
4524,64,S4524_N64,18,1249,WP_0829,0
4524,64,S4524_N64,19,1343,WP_0603,0
4524,64,S4524_N64,20,636,WP_1903,0
4524,64,S4524_N64,21,415,WP_1496,1
4524,64,S4524_N64,22,735,WP_1180,1
4524,64,S4524_N64,23,170,WP_0255,1
4524,64,S4524_N64,24,1261,WP_0869,0
4524,64,S4524_N64,25,891,WP_0903,0
4524,64,S4524_N64,26,654,WP_0806,0
4524,64,S4524_N64,27,923,WP_1352,0
4524,64,S4524_N64,28,1389,WP_1332,0
4524,64,S4524_N64,29,242,WP_1377,0
4524,64,S4524_N64,30,96,WP_1165,1
4524,64,S4524_N64,31,1458,WP_0148,0
4524,64,S4524_N64,32,1567,WP_1174,1
4524,64,S4524_N64,33,853,WP_1896,0
4524,64,S4524_N64,34,1151,WP_1915,1
4524,64,S4524_N64,35,558,WP_0729,1
4524,64,S4524_N64,36,916,WP_0382,0
4524,64,S4524_N64,37,131,WP_1335,0
4524,64,S4524_N64,38,661,WP_1713,1
4524,64,S4524_N64,39,1383,WP_1311,0
4524,64,S4524_N64,40,1305,WP_0628,0
4524,64,S4524_N64,41,810,WP_0579,0
4524,64,S4524_N64,42,477,WP_1245,1
4524,64,S4524_N64,43,42,WP_1257,1
4524,64,S4524_N64,44,760,WP_0827,0
4524,64,S4524_N64,45,534,WP_0061,0
4524,64,S4524_N64,46,1545,WP_1219,1
4524,64,S4524_N64,47,866,WP_1235,1
4524,64,S4524_N64,48,1013,WP_1494,1
4524,64,S4524_N64,49,72,WP_1851,0
4524,64,S4524_N64,50,933,WP_0219,1
4524,64,S4524_N64,51,1349,WP_1495,1
4524,64,S4524_N64,52,197,WP_0145,0
4524,64,S4524_N64,53,1314,WP_1458,1
4524,64,S4524_N64,54,830,WP_0188,1
4524,64,S4524_N64,55,1133,WP_0376,0
4524,64,S4524_N64,56,635,WP_1340,0
4524,64,S4524_N64,57,442,WP_1794,0
4524,64,S4524_N64,58,1074,WP_1409,1
4524,64,S4524_N64,59,1345,WP_1197,1
4524,64,S4524_N64,60,1065,WP_1698,1
4524,64,S4524_N64,61,856,WP_0534,0
4524,64,S4524_N64,62,110,WP_0433,1
4524,64,S4524_N64,63,243,WP_0254,1
4525,16,S4525_N16,0,1109,WP_0039,0
4525,16,S4525_N16,1,1010,WP_0349,0
4525,16,S4525_N16,2,411,WP_1719,1
4525,16,S4525_N16,3,333,WP_0617,0
4525,16,S4525_N16,4,607,WP_1901,0
4525,16,S4525_N16,5,1166,WP_1434,1
4525,16,S4525_N16,6,271,WP_0767,0
4525,16,S4525_N16,7,387,WP_1997,1
4525,16,S4525_N16,8,160,WP_1155,0
4525,16,S4525_N16,9,1078,WP_0203,1
4525,16,S4525_N16,10,458,WP_0697,1
4525,16,S4525_N16,11,882,WP_1441,1
4525,16,S4525_N16,12,697,WP_1485,1
4525,16,S4525_N16,13,878,WP_1073,0
4525,16,S4525_N16,14,751,WP_0863,0
4525,16,S4525_N16,15,898,WP_1975,1
4525,32,S4525_N32,0,1078,WP_0203,1
4525,32,S4525_N32,1,1393,WP_1769,0
4525,32,S4525_N32,2,841,WP_0120,0
4525,32,S4525_N32,3,705,WP_0886,0
4525,32,S4525_N32,4,1010,WP_0349,0
4525,32,S4525_N32,5,333,WP_0617,0
4525,32,S4525_N32,6,1528,WP_1681,1
4525,32,S4525_N32,7,1109,WP_0039,0
4525,32,S4525_N32,8,920,WP_1009,1
4525,32,S4525_N32,9,160,WP_1155,0
4525,32,S4525_N32,10,16,WP_0128,0
4525,32,S4525_N32,11,458,WP_0697,1
4525,32,S4525_N32,12,122,WP_0337,0
4525,32,S4525_N32,13,751,WP_0863,0
4525,32,S4525_N32,14,387,WP_1997,1
4525,32,S4525_N32,15,607,WP_1901,0
4525,32,S4525_N32,16,898,WP_1975,1
4525,32,S4525_N32,17,271,WP_0767,0
4525,32,S4525_N32,18,1572,WP_1741,1
4525,32,S4525_N32,19,172,WP_1971,1
4525,32,S4525_N32,20,697,WP_1485,1
4525,32,S4525_N32,21,610,WP_1482,1
4525,32,S4525_N32,22,411,WP_1719,1
4525,32,S4525_N32,23,1248,WP_0996,1
4525,32,S4525_N32,24,1318,WP_0964,1
4525,32,S4525_N32,25,1453,WP_1059,0
4525,32,S4525_N32,26,878,WP_1073,0
4525,32,S4525_N32,27,882,WP_1441,1
4525,32,S4525_N32,28,495,WP_0251,1
4525,32,S4525_N32,29,483,WP_1835,0
4525,32,S4525_N32,30,1529,WP_0273,0
4525,32,S4525_N32,31,1166,WP_1434,1
4525,64,S4525_N64,0,115,WP_1005,1
4525,64,S4525_N64,1,1428,WP_1275,0
4525,64,S4525_N64,2,1453,WP_1059,0
4525,64,S4525_N64,3,841,WP_0120,0
4525,64,S4525_N64,4,116,WP_0842,0
4525,64,S4525_N64,5,898,WP_1975,1
4525,64,S4525_N64,6,1248,WP_0996,1
4525,64,S4525_N64,7,1053,WP_1507,1
4525,64,S4525_N64,8,1010,WP_0349,0
4525,64,S4525_N64,9,411,WP_1719,1
4525,64,S4525_N64,10,494,WP_1462,1
4525,64,S4525_N64,11,25,WP_1190,1
4525,64,S4525_N64,12,1166,WP_1434,1
4525,64,S4525_N64,13,751,WP_0863,0
4525,64,S4525_N64,14,964,WP_1825,0
4525,64,S4525_N64,15,902,WP_1095,0
4525,64,S4525_N64,16,1529,WP_0273,0
4525,64,S4525_N64,17,932,WP_1511,1
4525,64,S4525_N64,18,160,WP_1155,0
4525,64,S4525_N64,19,1075,WP_0714,1
4525,64,S4525_N64,20,458,WP_0697,1
4525,64,S4525_N64,21,1195,WP_0051,0
4525,64,S4525_N64,22,1393,WP_1769,0
4525,64,S4525_N64,23,878,WP_1073,0
4525,64,S4525_N64,24,122,WP_0337,0
4525,64,S4525_N64,25,882,WP_1441,1
4525,64,S4525_N64,26,907,WP_0984,1
4525,64,S4525_N64,27,483,WP_1835,0
4525,64,S4525_N64,28,1082,WP_1476,1
4525,64,S4525_N64,29,607,WP_1901,0
4525,64,S4525_N64,30,333,WP_0617,0
4525,64,S4525_N64,31,705,WP_0886,0
4525,64,S4525_N64,32,209,WP_1557,0
4525,64,S4525_N64,33,1572,WP_1741,1
4525,64,S4525_N64,34,624,WP_0271,0
4525,64,S4525_N64,35,1318,WP_0964,1
4525,64,S4525_N64,36,530,WP_0847,0
4525,64,S4525_N64,37,610,WP_1482,1
4525,64,S4525_N64,38,172,WP_1971,1
4525,64,S4525_N64,39,860,WP_1339,0
4525,64,S4525_N64,40,1342,WP_1767,0
4525,64,S4525_N64,41,387,WP_1997,1
4525,64,S4525_N64,42,920,WP_1009,1
4525,64,S4525_N64,43,1389,WP_1332,0
4525,64,S4525_N64,44,697,WP_1485,1
4525,64,S4525_N64,45,271,WP_0767,0
4525,64,S4525_N64,46,1037,WP_0223,1
4525,64,S4525_N64,47,933,WP_0219,1
4525,64,S4525_N64,48,631,WP_1938,1
4525,64,S4525_N64,49,16,WP_0128,0
4525,64,S4525_N64,50,55,WP_0240,1
4525,64,S4525_N64,51,1008,WP_0104,0
4525,64,S4525_N64,52,1078,WP_0203,1
4525,64,S4525_N64,53,1498,WP_0499,1
4525,64,S4525_N64,54,537,WP_1240,1
4525,64,S4525_N64,55,1056,WP_1418,1
4525,64,S4525_N64,56,1528,WP_1681,1
4525,64,S4525_N64,57,388,WP_0066,0
4525,64,S4525_N64,58,1359,WP_1882,0
4525,64,S4525_N64,59,1109,WP_0039,0
4525,64,S4525_N64,60,1057,WP_1067,0
4525,64,S4525_N64,61,60,WP_1974,1
4525,64,S4525_N64,62,1161,WP_1269,0
4525,64,S4525_N64,63,495,WP_0251,1
4526,16,S4526_N16,0,1476,WP_1460,1
4526,16,S4526_N16,1,616,WP_1238,1
4526,16,S4526_N16,2,608,WP_0747,1
4526,16,S4526_N16,3,1439,WP_1167,1
4526,16,S4526_N16,4,999,WP_0566,0
4526,16,S4526_N16,5,899,WP_1211,1
4526,16,S4526_N16,6,25,WP_1190,1
4526,16,S4526_N16,7,210,WP_0368,0
4526,16,S4526_N16,8,549,WP_0993,1
4526,16,S4526_N16,9,1350,WP_1826,0
4526,16,S4526_N16,10,717,WP_1346,0
4526,16,S4526_N16,11,548,WP_0307,0
4526,16,S4526_N16,12,607,WP_1901,0
4526,16,S4526_N16,13,413,WP_0753,1
4526,16,S4526_N16,14,953,WP_1372,0
4526,16,S4526_N16,15,904,WP_0301,0
4526,32,S4526_N32,0,927,WP_0520,0
4526,32,S4526_N32,1,1101,WP_0191,1
4526,32,S4526_N32,2,968,WP_1939,1
4526,32,S4526_N32,3,899,WP_1211,1
4526,32,S4526_N32,4,717,WP_1346,0
4526,32,S4526_N32,5,607,WP_1901,0
4526,32,S4526_N32,6,1317,WP_0065,0
4526,32,S4526_N32,7,210,WP_0368,0
4526,32,S4526_N32,8,413,WP_0753,1
4526,32,S4526_N32,9,507,WP_0010,0
4526,32,S4526_N32,10,25,WP_1190,1
4526,32,S4526_N32,11,1180,WP_0457,1
4526,32,S4526_N32,12,1114,WP_0409,1
4526,32,S4526_N32,13,1573,WP_1166,1
4526,32,S4526_N32,14,545,WP_1976,1
4526,32,S4526_N32,15,904,WP_0301,0
4526,32,S4526_N32,16,1009,WP_1092,0
4526,32,S4526_N32,17,1353,WP_0315,0
4526,32,S4526_N32,18,999,WP_0566,0
4526,32,S4526_N32,19,548,WP_0307,0
4526,32,S4526_N32,20,608,WP_0747,1
4526,32,S4526_N32,21,1476,WP_1460,1
4526,32,S4526_N32,22,616,WP_1238,1
4526,32,S4526_N32,23,1350,WP_1826,0
4526,32,S4526_N32,24,953,WP_1372,0
4526,32,S4526_N32,25,448,WP_0588,0
4526,32,S4526_N32,26,93,WP_0374,0
4526,32,S4526_N32,27,14,WP_0693,1
4526,32,S4526_N32,28,549,WP_0993,1
4526,32,S4526_N32,29,1439,WP_1167,1
4526,32,S4526_N32,30,951,WP_0267,0
4526,32,S4526_N32,31,1106,WP_0209,1
4526,64,S4526_N64,0,1180,WP_0457,1
4526,64,S4526_N64,1,126,WP_0717,1
4526,64,S4526_N64,2,93,WP_0374,0
4526,64,S4526_N64,3,202,WP_1330,0
4526,64,S4526_N64,4,972,WP_0480,1
4526,64,S4526_N64,5,1121,WP_0563,0
4526,64,S4526_N64,6,14,WP_0693,1
4526,64,S4526_N64,7,198,WP_1514,1
4526,64,S4526_N64,8,545,WP_1976,1
4526,64,S4526_N64,9,283,WP_0794,0
4526,64,S4526_N64,10,1053,WP_1507,1
4526,64,S4526_N64,11,1009,WP_1092,0
4526,64,S4526_N64,12,205,WP_0689,1
4526,64,S4526_N64,13,1106,WP_0209,1
4526,64,S4526_N64,14,1,WP_1593,0
4526,64,S4526_N64,15,549,WP_0993,1
