Seed,N,Subset_Key,Class_0,Class_1,Unique_IDs,Folds,Order_SHA256,Membership_SHA256,Test_Overlap
4524,16,S4524_N16,8,8,16,20,340fcdb6ef2c7f7c2fdfa1817fd993900919f6bcaf8671e506e98f2bdf1f252f,0efbad7be0054912e2de863173b574f706b68df810d271622acc07a62db257ba,0
4524,32,S4524_N32,16,16,32,20,e8eea1b3c0d2803cf9db25ad0edb80e08a031cd4ae323a2d725f135936c03948,28dfb415e36613d78e1dd3a5a05fc2e04a0e75e283857ae414885e939695ee25,0
4524,64,S4524_N64,32,32,64,20,29321d6b2a8ece141f5487e340993d42e45a6e2c1ee92b2d0b549bc37de4d29a,c7defe216c1c02672fcd8e14e0db99c819f7153104d7f73341b8aaf372256768,0
4525,16,S4525_N16,8,8,16,20,0168ed9e9c16e7f6a2181f28899db6947e4575b06304d339825330e136caa50d,692461f42edab573b9968154df6cb74cf00386224baba8b943e19d7219ae85d1,0
4525,32,S4525_N32,16,16,32,20,2f0cd639812ff2fc253d0fc594f5923346af6fd9eab952cec37d8a91a830c022,dd53d40b0ceaaebc01a11921e79ce168ef2dbccee5208116d6473e236408b3d9,0
4525,64,S4525_N64,32,32,64,20,05e4f4caa9b6d863f12d64adfc9b8009acb153ed03c4a8f6bd3773911b89a58a,4e56229fcb91bf9317c8b6ab35a15ef87e7e6b38cff991ab2ab87ad419cfe8fc,0
4526,16,S4526_N16,8,8,16,20,bb0028798ece483da5be2641e6bccd965c9652af472b7811961e2bd6e2093a5e,3b5cd63ef0c7eee502b1ace174602a28d9726eed9c04bbd0e212ed589feaf793,0
4526,32,S4526_N32,16,16,32,20,ee4247544cf7b85d69ca8065bd3018c788d200bd7f800ac7215bbb700b967248,2d6c07a1be2202da8f622a6447b33093ca683341fb6dbbc86a50f3b7c6d1721e,0
4526,64,S4526_N64,32,32,64,20,e6be0f52f3e8265de2f1603e8252e0a65773bfbeb180eff393a95233b0cf4f36,372e0289b59d89469f0247e2e7084274433caefe0c8974476e1a71f9ebc58cb7,0
4527,16,S4527_N16,8,8,16,20,7e2ec2bc3623f83e06954eb9bb8eb1c8a1c4deec46ff59c262081b0c695e0c4d,1cad6c7a8c85bb017552c3cd4f27aa56f0db13dc7d6bf6d71922796d55b78236,0
4527,32,S4527_N32,16,16,32,20,8958934ba724b6a6d05ba669ad58e758b1d0942c3be3d79bd927248db3473493,1f245d7da8309d0d330e5d7eaee6ea5f4072805c75e75ab05422c9da6cc1f1a8,0
4527,64,S4527_N64,32,32,64,20,bfb6c5dbc7e4560c51e78d5d2d08ddfaff0e8abd1cb2ee9d94de789121213922,653c24822b876db6d56f93b476825f093ec6e5ee0454f70ec68dfd1705061550,0
4528,16,S4528_N16,8,8,16,20,3902fc5f3c39109518e04485258771da85e9e241da36a6b9a94ffbebafe2a8a2,cf3b292d26a7d9789e1ed4c2787fb95a766b7fc1d07baad8b381aab62693fd11,0
4528,32,S4528_N32,16,16,32,20,0e469d6d37a18bd06bb104f1a6cf1863df4e894bd70fab805e4cec5def9e3845,53f6b423b82297b2f2c4233626f001682f677269a79303e319af761f5086865a,0
4528,64,S4528_N64,32,32,64,20,42da7efd503fc0461ad5bc99d4b31cc69abdb4c04ee556720594df1a9e1f9c7e,296c90b90b6b06a4b3b7ca33dc762dae85055cf72e6b02313d66013db50f89cc,0
4529,16,S4529_N16,8,8,16,20,51389f9b3f926f73441c4d5a151d49fdc6d15f543f5d67744c2aff1265cf12d8,78abcad7efd4426b7fb4bbc2dd2635868c6e71679f04dd803f890d9df8a2f5c9,0
4529,32,S4529_N32,16,16,32,20,a8ec5b7974a810dda467c55b78c4664c9124d6ae231aa608cd2b16341c0a3959,90f485152ede75f451b6d779bb815980011f141e6d74339b730f3836d8e6f36b,0
