N,Kernel_A,Kernel_B,Similarity_Mean,Similarity_SD
16,Pauli_Z_YY,Custom_Domain,0.8591924644397896,0.023690892170936947
16,Separable_Control,Custom_Domain,0.7515554325351813,0.03575653085774201
16,Separable_Control,Pauli_Z_YY,0.8228309532962041,0.026603510500847322
16,Separable_Control,ZZ_Linear,0.8155843181838829,0.023082873101808732
16,ZZ_Linear,Custom_Domain,0.8657633806944739,0.022796244827066988
16,ZZ_Linear,Pauli_Z_YY,0.9759285729372813,0.007621164066415798
32,Pauli_Z_YY,Custom_Domain,0.7349971994246242,0.01858746967026159
32,Separable_Control,Custom_Domain,0.6785484245089328,0.031670106392612064
32,Separable_Control,Pauli_Z_YY,0.7154218352550104,0.023835760718240586
32,Separable_Control,ZZ_Linear,0.7153897359036371,0.022385431808951292
32,ZZ_Linear,Custom_Domain,0.7508077554413595,0.023356020367885005
32,ZZ_Linear,Pauli_Z_YY,0.9591108015666272,0.005903200857609554
64,Pauli_Z_YY,Custom_Domain,0.6596743739292565,0.021118397175662038
64,Separable_Control,Custom_Domain,0.6022473014218839,0.017758442153989362
64,Separable_Control,Pauli_Z_YY,0.6045741745919483,0.01185643228665774
64,Separable_Control,ZZ_Linear,0.5993247690471335,0.011410380469952257
64,ZZ_Linear,Custom_Domain,0.6695448487037845,0.02100015856862243
64,ZZ_Linear,Pauli_Z_YY,0.9350519447560304,0.007684815243538774
