Seed,N,Split_Number,Feature_Map,C,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Unsafe_Acceptance,Elapsed_Seconds,RBF_Balanced_Accuracy,RBF_MCC,RBF_F1,RBF_Specificity,RBF_Unsafe_Acceptance,Delta_BA_vs_RBF,Delta_MCC_vs_RBF,Win_vs_RBF,Tie_vs_RBF
4524,16,1,Separable_Control,1.0,0.5,0.0,0.5,,0.5,0.5,0.017489194869995117,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,1,ZZ_Linear,1.0,0.0,-1.0,0.0,,0.0,1.0,0.018557310104370117,0.5,0.0,0.5,0.5,0.5,-0.5,-1.0,0,0
4524,16,1,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.024925708770751953,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,1,Custom_Domain,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.0162813663482666,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,2,Separable_Control,1.0,0.5,0.0,0.5,,0.5,0.5,0.01430821418762207,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,2,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.019479751586914062,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,2,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.02344536781311035,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,2,Custom_Domain,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.01591014862060547,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,3,Separable_Control,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.014153003692626953,0.5,0.0,0.0,1.0,0.0,-0.25,-0.5773502691896258,0,0
4524,16,3,ZZ_Linear,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.017776966094970703,0.5,0.0,0.0,1.0,0.0,0.25,0.5773502691896258,1,0
4524,16,3,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.026219844818115234,0.5,0.0,0.0,1.0,0.0,0.25,0.5773502691896258,1,0
4524,16,3,Custom_Domain,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.017457962036132812,0.5,0.0,0.0,1.0,0.0,0.25,0.5773502691896258,1,0
4524,16,4,Separable_Control,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.01403188705444336,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,4,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.017737388610839844,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,4,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.022621631622314453,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,4,Custom_Domain,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.015528440475463867,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,5,Separable_Control,1.0,0.5,0.0,0.5,,0.5,0.5,0.015523910522460938,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,5,ZZ_Linear,1.0,0.5,0.0,0.5,,0.5,0.5,0.021292924880981445,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,5,Pauli_Z_YY,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.021996498107910156,0.75,0.5773502691896258,0.8,0.5,0.5,0.0,0.0,0,1
4524,16,5,Custom_Domain,1.0,1.0,1.0,1.0,,1.0,0.0,0.015686750411987305,0.75,0.5773502691896258,0.8,0.5,0.5,0.25,0.42264973081037416,1,0
4524,16,6,Separable_Control,1.0,1.0,1.0,1.0,,1.0,0.0,0.01407003402709961,0.75,0.5773502691896258,0.8,0.5,0.5,0.25,0.42264973081037416,1,0
4524,16,6,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.017368793487548828,0.75,0.5773502691896258,0.8,0.5,0.5,-0.5,-1.1547005383792517,0,0
4524,16,6,Pauli_Z_YY,1.0,0.5,0.0,0.5,,0.5,0.5,0.022362470626831055,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,6,Custom_Domain,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.016388654708862305,0.75,0.5773502691896258,0.8,0.5,0.5,-0.5,-1.1547005383792517,0,0
4524,16,7,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.016025543212890625,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,7,ZZ_Linear,1.0,0.5,0.0,0.5,,0.5,0.5,0.017818927764892578,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,7,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.022569894790649414,0.5,0.0,0.0,1.0,0.0,-0.25,-0.5773502691896258,0,0
4524,16,7,Custom_Domain,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.015830278396606445,0.5,0.0,0.0,1.0,0.0,-0.25,-0.5773502691896258,0,0
4524,16,8,Separable_Control,1.0,1.0,1.0,1.0,,1.0,0.0,0.013948440551757812,0.5,0.0,0.5,0.5,0.5,0.5,1.0,1,0
4524,16,8,ZZ_Linear,1.0,0.5,0.0,0.5,,0.5,0.5,0.01798725128173828,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,8,Pauli_Z_YY,1.0,0.5,0.0,0.5,,0.5,0.5,0.022233963012695312,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,8,Custom_Domain,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.020789146423339844,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0,1
4524,16,9,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.013584613800048828,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,9,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.01780867576599121,0.5,0.0,0.0,1.0,0.0,-0.25,-0.5773502691896258,0,0
4524,16,9,Pauli_Z_YY,1.0,0.5,0.0,0.0,,1.0,0.0,0.021904945373535156,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,9,Custom_Domain,1.0,0.5,0.0,0.0,,1.0,0.0,0.01675271987915039,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1
4524,16,10,Separable_Control,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.013842105865478516,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0,1
4524,16,10,ZZ_Linear,1.0,0.0,-1.0,0.0,,0.0,1.0,0.018282651901245117,0.5,0.0,0.6666666666666666,0.0,1.0,-0.5,-1.0,0,0
4524,16,10,Pauli_Z_YY,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.0233762264251709,0.5,0.0,0.6666666666666666,0.0,1.0,-0.25,-0.5773502691896258,0,0
4524,16,10,Custom_Domain,1.0,0.75,0.5773502691896258,0.6666666666666666,,1.0,0.0,0.017607688903808594,0.5,0.0,0.6666666666666666,0.0,1.0,0.25,0.5773502691896258,1,0
4524,16,11,Separable_Control,1.0,0.5,0.0,0.0,,1.0,0.0,0.014789819717407227,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,11,ZZ_Linear,1.0,0.5,0.0,0.0,,1.0,0.0,0.019346952438354492,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,11,Pauli_Z_YY,1.0,0.5,0.0,0.0,,1.0,0.0,0.023059606552124023,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,11,Custom_Domain,1.0,0.5,0.0,0.5,,0.5,0.5,0.02467489242553711,0.25,-0.5773502691896258,0.0,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,12,Separable_Control,1.0,0.5,0.0,0.5,,0.5,0.5,0.01885056495666504,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,12,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.4,,0.0,1.0,0.017972469329833984,0.75,0.5773502691896258,0.8,0.5,0.5,-0.5,-1.1547005383792517,0,0
4524,16,12,Pauli_Z_YY,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.02260279655456543,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,12,Custom_Domain,1.0,0.5,0.0,0.6666666666666666,,0.0,1.0,0.01611161231994629,0.75,0.5773502691896258,0.8,0.5,0.5,-0.25,-0.5773502691896258,0,0
4524,16,13,Separable_Control,1.0,0.75,0.5773502691896258,0.8,,0.5,0.5,0.015279054641723633,0.5,0.0,0.5,0.5,0.5,0.25,0.5773502691896258,1,0
4524,16,13,ZZ_Linear,1.0,0.25,-0.5773502691896258,0.0,,0.5,0.5,0.01901841163635254,0.5,0.0,0.5,0.5,0.5,-0.25,-0.5773502691896258,0,0
