Seed,N,Subset_Position,Train_Row_Index,Sample_ID,Potability
4524,16,0,835,WP_0977,1
4524,16,1,72,WP_1851,0
4524,16,2,534,WP_0061,0
4524,16,3,853,WP_1896,0
4524,16,4,1103,WP_1242,1
4524,16,5,969,WP_0970,1
4524,16,6,1133,WP_0376,0
4524,16,7,242,WP_1377,0
4524,16,8,1249,WP_0829,0
4524,16,9,110,WP_0433,1
4524,16,10,810,WP_0579,0
4524,16,11,1074,WP_1409,1
4524,16,12,307,WP_1720,1
4524,16,13,248,WP_0101,0
4524,16,14,1314,WP_1458,1
4524,16,15,661,WP_1713,1
4524,32,0,13,WP_1410,1
4524,32,1,72,WP_1851,0
4524,32,2,835,WP_0977,1
4524,32,3,969,WP_0970,1
4524,32,4,4,WP_1651,0
4524,32,5,534,WP_0061,0
4524,32,6,827,WP_0331,0
4524,32,7,248,WP_0101,0
4524,32,8,1345,WP_1197,1
4524,32,9,853,WP_1896,0
4524,32,10,654,WP_0806,0
4524,32,11,1249,WP_0829,0
4524,32,12,810,WP_0579,0
4524,32,13,1536,WP_1138,0
4524,32,14,856,WP_0534,0
4524,32,15,706,WP_0888,0
4524,32,16,152,WP_0469,1
4524,32,17,1065,WP_1698,1
4524,32,18,1074,WP_1409,1
4524,32,19,110,WP_0433,1
4524,32,20,42,WP_1257,1
4524,32,21,1314,WP_1458,1
4524,32,22,1160,WP_0482,1
4524,32,23,661,WP_1713,1
4524,32,24,1133,WP_0376,0
4524,32,25,1151,WP_1915,1
4524,32,26,242,WP_1377,0
4524,32,27,307,WP_1720,1
4524,32,28,760,WP_0827,0
4524,32,29,197,WP_0145,0
4524,32,30,415,WP_1496,1
4524,32,31,1103,WP_1242,1
4524,64,0,1103,WP_1242,1
4524,64,1,99,WP_1164,1
4524,64,2,1378,WP_0873,0
4524,64,3,13,WP_1410,1
4524,64,4,1406,WP_0083,0
4524,64,5,584,WP_0665,0
4524,64,6,307,WP_1720,1
4524,64,7,248,WP_0101,0
4524,64,8,152,WP_0469,1
4524,64,9,1045,WP_0965,1
4524,64,10,1536,WP_1138,0
4524,64,11,827,WP_0331,0
4524,64,12,835,WP_0977,1
4524,64,13,1255,WP_0206,1
4524,64,14,1160,WP_0482,1
4524,64,15,4,WP_1651,0
4524,64,16,969,WP_0970,1
4524,64,17,706,WP_0888,0
4524,64,18,1249,WP_0829,0
4524,64,19,1343,WP_0603,0
4524,64,20,636,WP_1903,0
4524,64,21,415,WP_1496,1
4524,64,22,735,WP_1180,1
4524,64,23,170,WP_0255,1
4524,64,24,1261,WP_0869,0
4524,64,25,891,WP_0903,0
4524,64,26,654,WP_0806,0
4524,64,27,923,WP_1352,0
4524,64,28,1389,WP_1332,0
4524,64,29,242,WP_1377,0
4524,64,30,96,WP_1165,1
4524,64,31,1458,WP_0148,0
4524,64,32,1567,WP_1174,1
4524,64,33,853,WP_1896,0
4524,64,34,1151,WP_1915,1
4524,64,35,558,WP_0729,1
4524,64,36,916,WP_0382,0
4524,64,37,131,WP_1335,0
4524,64,38,661,WP_1713,1
4524,64,39,1383,WP_1311,0
4524,64,40,1305,WP_0628,0
4524,64,41,810,WP_0579,0
4524,64,42,477,WP_1245,1
4524,64,43,42,WP_1257,1
4524,64,44,760,WP_0827,0
4524,64,45,534,WP_0061,0
4524,64,46,1545,WP_1219,1
4524,64,47,866,WP_1235,1
4524,64,48,1013,WP_1494,1
4524,64,49,72,WP_1851,0
4524,64,50,933,WP_0219,1
4524,64,51,1349,WP_1495,1
4524,64,52,197,WP_0145,0
4524,64,53,1314,WP_1458,1
4524,64,54,830,WP_0188,1
4524,64,55,1133,WP_0376,0
4524,64,56,635,WP_1340,0
4524,64,57,442,WP_1794,0
4524,64,58,1074,WP_1409,1
4524,64,59,1345,WP_1197,1
4524,64,60,1065,WP_1698,1
4524,64,61,856,WP_0534,0
4524,64,62,110,WP_0433,1
4524,64,63,243,WP_0254,1
