Seed,N,Split_Number,Balanced_Accuracy,MCC,F1,ROC_AUC,Specificity,Unsafe_Acceptance
4524,16,1,0.5,0.0,0.5,0.5,0.5,0.5
4524,16,2,0.5,0.0,0.5,0.25,0.5,0.5
4524,16,3,0.5,0.0,0.0,0.75,1.0,0.0
4524,16,4,0.75,0.5773502691896258,0.8,0.5,0.5,0.5
4524,16,5,0.75,0.5773502691896258,0.8,0.5,0.5,0.5
4524,16,6,0.75,0.5773502691896258,0.8,0.5,0.5,0.5
4524,16,7,0.5,0.0,0.0,0.25,1.0,0.0
4524,16,8,0.75,0.5773502691896258,0.6666666666666666,0.75,1.0,0.0
4524,16,9,0.25,-0.5773502691896258,0.0,0.25,0.5,0.5
4524,16,10,0.5,0.0,0.6666666666666666,0.0,0.0,1.0
4524,16,11,0.25,-0.5773502691896258,0.0,0.5,0.5,0.5
4524,16,12,0.75,0.5773502691896258,0.8,0.5,0.5,0.5
4524,16,13,0.75,0.5773502691896258,0.8,0.5,0.5,0.5
4524,16,14,0.5,0.0,0.0,0.75,1.0,0.0
4524,16,15,0.5,0.0,0.5,0.5,0.5,0.5
4524,16,16,0.5,0.0,0.5,0.5,0.5,0.5
4524,16,17,0.75,0.5773502691896258,0.8,0.75,0.5,0.5
4524,16,18,0.75,0.5773502691896258,0.6666666666666666,0.5,1.0,0.0
4524,16,19,0.5,0.0,0.5,0.25,0.5,0.5
4524,16,20,0.5,0.0,0.0,0.75,1.0,0.0
4524,32,1,0.375,-0.2581988897471611,0.2857142857142857,0.375,0.5,0.5
4524,32,2,0.625,0.2581988897471611,0.5714285714285714,0.75,0.75,0.25
4524,32,3,0.5,0.0,0.0,0.0625,1.0,0.0
4524,32,4,0.375,-0.2581988897471611,0.4444444444444444,0.3125,0.25,0.75
4524,32,5,0.5,0.0,0.6,0.3125,0.25,0.75
4524,32,6,0.25,-0.5773502691896258,0.0,0.1875,0.5,0.5
4524,32,7,0.625,0.3779644730092272,0.4,0.5625,1.0,0.0
4524,32,8,0.625,0.2581988897471611,0.5714285714285714,0.5625,0.75,0.25
4524,32,9,0.75,0.5773502691896258,0.6666666666666666,0.625,1.0,0.0
4524,32,10,0.375,-0.2581988897471611,0.4444444444444444,0.4375,0.25,0.75
4524,32,11,0.375,-0.2581988897471611,0.2857142857142857,0.375,0.5,0.5
4524,32,12,0.625,0.3779644730092272,0.4,0.5625,1.0,0.0
4524,32,13,0.375,-0.3779644730092272,0.0,0.3125,0.75,0.25
4524,32,14,0.25,-0.5773502691896258,0.0,0.125,0.5,0.5
4524,32,15,0.5,0.0,0.6,0.6875,0.25,0.75
4524,32,16,0.375,-0.2581988897471611,0.2857142857142857,0.4375,0.5,0.5
4524,32,17,0.5,0.0,0.3333333333333333,0.375,0.75,0.25
4524,32,18,0.625,0.3779644730092272,0.4,0.8125,1.0,0.0
4524,32,19,0.5,0.0,0.5,0.625,0.5,0.5
4524,32,20,0.625,0.3779644730092272,0.4,0.4375,1.0,0.0
4524,64,1,0.625,0.25,0.625,0.671875,0.625,0.375
4524,64,2,0.5625,0.16012815380508713,0.36363636363636365,0.65625,0.875,0.125
4524,64,3,0.625,0.2886751345948129,0.5,0.625,0.875,0.125
4524,64,4,0.5,0.0,0.42857142857142855,0.421875,0.625,0.375
4524,64,5,0.5625,0.1259881576697424,0.5333333333333333,0.5625,0.625,0.375
4524,64,6,0.625,0.2581988897471611,0.5714285714285714,0.796875,0.75,0.25
4524,64,7,0.6875,0.40451991747794525,0.6153846153846154,0.609375,0.875,0.125
4524,64,8,0.5625,0.1259881576697424,0.5882352941176471,0.53125,0.5,0.5
4524,64,9,0.5625,0.1259881576697424,0.5333333333333333,0.5625,0.625,0.375
4524,64,10,0.5625,0.13483997249264842,0.46153846153846156,0.65625,0.75,0.25
4524,64,11,0.6875,0.3779644730092272,0.6666666666666666,0.671875,0.75,0.25
4524,64,12,0.6875,0.3779644730092272,0.6666666666666666,0.59375,0.75,0.25
4524,64,13,0.8125,0.629940788348712,0.8,0.828125,0.875,0.125
4524,64,14,0.625,0.2581988897471611,0.5714285714285714,0.625,0.75,0.25
4524,64,15,0.8125,0.629940788348712,0.8235294117647058,0.734375,0.75,0.25
4524,64,16,0.4375,-0.16012815380508713,0.18181818181818182,0.28125,0.75,0.25
4524,64,17,0.75,0.5,0.75,0.765625,0.75,0.25
4524,64,18,0.625,0.2581988897471611,0.5714285714285714,0.5625,0.75,0.25
4524,64,19,0.5625,0.1259881576697424,0.5333333333333333,0.5625,0.625,0.375
4524,64,20,0.5625,0.1259881576697424,0.5333333333333333,0.484375,0.625,0.375
