External_ID,IRCACH_example,PDF_page,AYA_ID,system_type,system_name,sampling_point,sampling_date,ph,Hardness,Sulfate,Conductivity,IRCACH_score,IRCACH_risk_level,IRCACH_quality,Potability
CR_IRCACH_003,3,38,AYA-ID-06812-2016,No clorado,SAN LUIS Y CAIMITOS DE FLORENCIA DE SAN CARLOS,RED 2,2016-07-12,7.08,56.00,2.13,103.00,27,Riesgo alto,No apta para ingesta,0
CR_IRCACH_004,4,39,AYA-ID-08736-2016,Clorado,CH-A-38-PAPAGAYO SUR: HERMOSA - CACIQUE,PANAMÁ,2016-09-05,7.47,6367.00,297.33,11090.00,44,Riesgo muy alto,No apta para ingesta,0
CR_IRCACH_005,5,40,AYA-ID-09104-2016,Clorado,LA ISLA DE CIUDAD QUESADA,RED 3,2016-09-13,6.83,46.00,2.02,126.00,6,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_009,9,44,AYA-ID-07500-2016,Clorado,SANTA CECILIA DE SAN MARCOS DE TARRAZÚ,RED 3,2016-08-03,4.65,10.00,17.29,115.00,43,Riesgo muy alto,No apta para ingesta,0
CR_IRCACH_010,10,45,AYA-ID-06567-2016,No clorado,CALLE EL ALTO DE ESCAZÚ (No clorado),RED 2,2016-06-29,7.72,22.00,22.10,76.00,27,Riesgo alto,No apta para ingesta,0
CR_IRCACH_011,11,46,AYA-ID-05086-2016,No clorado,CALLE HIGUERONES DE ESCAZÚ (No clorado),SECTOR CALLE A LA NACIENTE,2016-05-27,7.85,46.00,7.24,100.00,35,Riesgo muy alto,No apta para ingesta,0
CR_IRCACH_012,12,47,AYA-ID-08915-2016,No clorado,ME-A-25.4-CALLE EL ALTO DE ESCAZÚ (NO CLORADO),RED 1,2016-09-09,7.44,34.00,23.40,112.00,6,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_014,14,49,AYA-ID-09089-2016,Clorado,CIUDAD QUESADA DE SAN CARLOS,LA MARGARITA,2016-09-12,6.89,50.00,2.31,114.00,6,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_016,16,51,AYA-ID-08935-2016,No clorado,NARANJAL DE BELÉN DE NOSARITA DE NICOYA,Red 1,2016-09-08,6.99,89.00,2.34,171.00,6,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_017,17,52,AYA-ID-07493-2016,Clorado,SANTA CECILIA DE SAN MARCOS DE TARRAZÚ,RED 2,2016-08-03,4.46,6.00,17.99,101.00,43,Riesgo muy alto,No apta para ingesta,0
CR_IRCACH_018,18,53,AYA-ID-07403-2016,Clorado,GUAYABO DE MORA,GUAYABO,2016-07-29,7.65,91.00,6.58,181.00,0,Riesgo muy bajo,Apta para ingesta,1
CR_IRCACH_019,19,54,AYA-ID-00745-2016,Clorado,BAGACES,CENTRO 1,2016-02-02,6.56,38.00,4.80,133.00,0,Riesgo muy bajo,Apta para ingesta,1
CR_IRCACH_020,20,55,AYA-ID-09974-2016,No clorado,ME-A-25.4-CALLE EL ALTO DE ESCAZÚ (NO CLORADO),RED 3,2016-09-29,7.48,34.00,4.96,77.00,6,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_021,21,56,AYA-ID-02133-2016,Clorado,TIERRA BLANCA DE CARTAGO,SAN RAMÓN,2016-03-10,7.53,69.00,28.33,178.00,6,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_022,22,57,AYA-ID-01428-2016,Clorado,BARBUDAL DE COLORADO,RED 2,2016-02-22,7.62,337.00,17.05,705.00,7,Riesgo bajo,Apta para ingesta,1
CR_IRCACH_023,23,58,AYA-ID-08939-2016,Clorado,"CH-A-28-COLORADO, RAIZAL E HIGUERILLA",RAIZAL,2016-09-08,7.76,195.00,8.66,448.00,3,Riesgo muy bajo,Apta para ingesta,1
CR_IRCACH_024,24,59,AYA-ID-03720-2016,Clorado,PAPAGAYO SUR-SISTEMA EL DUENDE,RED 2,2016-04-21,7.15,1088.00,55.50,2251.00,34,Riesgo muy alto,No apta para ingesta,0
CR_IRCACH_025,25,60,AYA-ID-08735-2016,Clorado,CH-A-38-PAPAGAYO SUR: HERMOSA - CACIQUE,HERMOSA,2016-09-05,8.24,228.00,6.64,413.00,4,Riesgo muy bajo,Apta para ingesta,1
CR_IRCACH_026,26,61,AYA-ID-05156-2016,Clorado,TRES RÍOS,LA GRANJA (SAN PEDRO),2016-05-30,6.31,28.00,27.10,132.00,3,Riesgo muy bajo,Apta para ingesta,1
CR_IRCACH_027,27,62,AYA-ID-08247-2016,Clorado,CH-A-56-CURUBANDÉ DE LIBERIA,RED 1,2016-08-22,5.50,95.00,101.81,263.00,38,Riesgo muy alto,No apta para ingesta,0
CR_IRCACH_028,28,63,AYA-ID-07791-2016,Clorado,HA-A-01-ACUEDUCTO INTEGRADO HONE CREEK – PUERTO VIEJO,PUERTO VIEJO,2016-08-10,7.69,157.00,11.62,763.00,14,Riesgo intermedio,No apta para ingesta,0
